#Name                             Obsid  type         z            flux             err           power             err             lum             err      surv
# --                                 --    --        --              Jy              Jy        10^40e/s        10^40e/s        10^40e/s        10^40e/s        --
7ZW700                             4194    NF  0.027400       0.0025000       0.0002500       0.0059970       0.0005997       0.0275182       0.0027518      NVSS
ESO495-021                         2075     F  0.002900       0.0838000       0.0034000       0.0021673       0.0000879       0.0099451       0.0004035      NVSS
IC_4296                            3394     F  0.012500       4.0328002       0.1278000       1.9673691       0.0623462       9.0276507       0.2860875      NVSS
NGC_0315                            855     F  0.016500       2.1925001       0.0886000       1.8753417       0.0757835       8.6053652       0.3477470      NVSS
NGC_0507                            317     F  0.016500       0.0988000       0.0046000       0.0845080       0.0039346       0.3877811       0.0180546      NVSS
NGC_0777                           5001     F  0.016700       0.0070000       0.0005000       0.0061353       0.0004382       0.0281532       0.0020109      NVSS
NGC_1316                           2022     F  0.005900      84.3298111       0.0311000       9.0705236       0.0033451      41.6218387       0.0153497      NVSS
NGC_1553                            783     F  0.003600       0.0068000       0.0011000       0.0002713       0.0000439       0.0012450       0.0002014      NVSS
NGC_1600                           4371     F  0.015600       0.0616000       0.0026000       0.0470320       0.0019851       0.2158154       0.0091091      NVSS
NGC_3077                           2076     F  0.000047       0.0290000       0.0015000       0.0000002       0.0000000       0.0000009       0.0000000      NVSS
NGC_3608                           2073    NF  0.004200       0.0025000       0.0002500       0.0001359       0.0000136       0.0006236       0.0000624      NVSS
NGC_4261                           9569     F  0.007500      10.4384003       0.3203000       1.8188689       0.0558116       8.3462291       0.2561022      NVSS
NGC_4325                           3232    NF  0.025700       0.0025000       0.0002500       0.0052621       0.0005262       0.0241463       0.0024146      NVSS
NGC_4374                            803     F  0.003500       6.0974002       0.2074000       0.2299200       0.0078206       1.0550319       0.0358864      NVSS
NGC_4472                            322     F  0.003300       0.2559000       0.0102000       0.0085754       0.0003418       0.0393500       0.0015685      NVSS
NGC_4552                           2072     F  0.001100       0.1001000       0.0030000       0.0003714       0.0000111       0.0017043       0.0000511      NVSS
NGC_4636                           4415     F  0.003100       0.0778000       0.0028000       0.0023000       0.0000828       0.0105539       0.0003798      NVSS
NGC_4782                           3220     F  0.015400       7.7105999       0.2430000       5.7353222       0.1807490      26.3176268       0.8294015      NVSS
NGC_5044                           9399     F  0.009000       0.0347000       0.0011000       0.0087274       0.0002767       0.0400475       0.0012695      NVSS
NGC_5252                           4054     F  0.023000       0.0163000       0.0006000       0.0273649       0.0010073       0.1255689       0.0046222      NVSS
NGC_5253                           7154     F  0.001400       0.0847000       0.0034000       0.0005093       0.0000204       0.0023371       0.0000938      NVSS
NGC_5813                           5907     F  0.006600       0.0148000       0.0010000       0.0019942       0.0001347       0.0091510       0.0006183      NVSS
NGC_5845                           4009    NF  0.004800       0.0025000       0.0002500       0.0001777       0.0000178       0.0008153       0.0000815      NVSS
NGC_5846                           7923     F  0.005700       0.0210000       0.0013000       0.0021076       0.0001305       0.0096709       0.0005987      NVSS
NGC_6269                           4972     F  0.034800       0.0500000       0.0019000       0.1956690       0.0074354       0.8978647       0.0341189      NVSS
NGC_6338                           4194     F  0.027400       0.0570000       0.0018000       0.1367307       0.0043178       0.6274150       0.0198131      NVSS
NGC_7619                           3955     F  0.012600       0.0310000       0.0022000       0.0153684       0.0010907       0.0705211       0.0050047      NVSS
NGC_7626                           2074     F  0.011400       0.8424000       0.0314000       0.3412229       0.0127189       1.5657669       0.0583631      NVSS
UGC_0408                           4053     F  0.014700       1.2773000       0.0407000       0.8647314       0.0275539       3.9679862       0.1264363      NVSS
