#Name                             Obsid  type         z            flux             err           power             err             lum             err      surv
# --                                 --    --        --              Jy              Jy        10^40e/s        10^40e/s        10^40e/s        10^40e/s        --
7ZW700                             4194    NF  0.027400       0.0025000       0.0002500       0.0059866       0.0005987       0.0276198       0.0027620      NVSS
ESO495-021                         2075     F  0.002900       0.0838000       0.0034000       0.0021741       0.0000882       0.0099819       0.0004050      NVSS
IC_4296                            3394     F  0.012500       7.8899999       0.7000000       3.8536970       0.3418996      17.7274170       1.5727746      NVSS
NGC_0315                            855     F  0.016500       6.6300001       0.6005000       5.6732675       0.5138457      26.1182235       2.3656097      NVSS
NGC_0507                            317     F  0.016500       0.0988000       0.0046000       0.0845428       0.0039362       0.3892127       0.0181212      NVSS
NGC_0777                           5001     F  0.016700       0.0070000       0.0005000       0.0061376       0.0004384       0.0282572       0.0020184      NVSS
#NGC_1316_O                           2022     F  0.005900      84.3298035       0.0311000       9.0933053       0.0033535      41.7754975       0.0154064      NVSS
NGC_1316                           2022     F  0.005900       0.2547000       0.0099000       0.0273354       0.0010625       0.1261739       0.0049043      NVSS
NGC_1553                            783     F  0.003600       0.0068000       0.0011000       0.0002721       0.0000440       0.0012496       0.0002021      NVSS
NGC_1600                           4371     F  0.015600       0.0616000       0.0026000       0.0470597       0.0019863       0.2166121       0.0091427      NVSS
NGC_3077                           2076     F  0.000047       0.0290000       0.0015000       0.0000002       0.0000000       0.0000009       0.0000000      NVSS
NGC_3608                           2073    NF  0.004200       0.0025000       0.0002500       0.0001363       0.0000136       0.0006259       0.0000626      NVSS
NGC_4261                           9569     F  0.007500      10.4384003       0.3203000       1.8228577       0.0559340       8.3770419       0.2570477      NVSS
NGC_4325                           3232    NF  0.025700       0.0025000       0.0002500       0.0052548       0.0005255       0.0242355       0.0024235      NVSS
NGC_4374                            803     F  0.003500       6.0973997       0.2074000       0.2306076       0.0078440       1.0589268       0.0360189      NVSS
NGC_4472                            322     F  0.003300       0.2559000       0.0102000       0.0086014       0.0003428       0.0394953       0.0015743      NVSS
NGC_4552                           2072     F  0.001100       0.1001000       0.0030000       0.0003727       0.0000112       0.0017106       0.0000513      NVSS
NGC_4636                           4415     F  0.003100       0.0778000       0.0028000       0.0023070       0.0000830       0.0105928       0.0003812      NVSS
NGC_4782                           3220     F  0.015400       7.7105999       0.2430000       5.7389281       0.1808626      26.4147877       0.8324636      NVSS
NGC_5044                           9399     F  0.009000       0.0347000       0.0011000       0.0087440       0.0002772       0.0401953       0.0012742      NVSS
NGC_5252                           4054     F  0.023000       0.0163000       0.0006000       0.0273413       0.0010064       0.1260325       0.0046392      NVSS
NGC_5253                           7154     F  0.001400       0.0847000       0.0034000       0.0005111       0.0000205       0.0023457       0.0000942      NVSS
NGC_5813                           5907     F  0.006600       0.0148000       0.0010000       0.0019990       0.0001351       0.0091847       0.0006206      NVSS
NGC_5845                           4009    NF  0.004800       0.0025000       0.0002500       0.0001782       0.0000178       0.0008183       0.0000818      NVSS
NGC_5846                           7923     F  0.005700       0.0210000       0.0013000       0.0021129       0.0001308       0.0097066       0.0006009      NVSS
NGC_6269                           4972     F  0.034800       0.0500000       0.0019000       0.1950523       0.0074120       0.9011795       0.0342448      NVSS
NGC_6338                           4194     F  0.027400       0.0570000       0.0018000       0.1364955       0.0043104       0.6297313       0.0198863      NVSS
NGC_7619                           3955     F  0.012600       0.0310000       0.0022000       0.0153866       0.0010920       0.0707814       0.0050232      NVSS
NGC_7626                           2074     F  0.011400       0.8424000       0.0314000       0.3417071       0.0127369       1.5715474       0.0585786      NVSS
UGC_0408                           4053     F  0.014700       1.2773000       0.0407000       0.8653944       0.0275750       3.9826354       0.1269030      NVSS
