#Name                             Obsid  type         z            flux             err           power             err             lum             err      surv
# --                                 --    --        --              Jy              Jy        10^40e/s        10^40e/s        10^40e/s        10^40e/s        --
IC_4296                            3394     F  0.012500     155.4870148      12.8299999      22.1594401       1.8294357     131.9995579      10.8771082      WENSS
NGC_0315                            855     F  0.016500       5.4220004       0.5422000       1.0805778       0.1080578       7.7925053       0.7792505      WENSS
NGC_0507                            317     F  0.016500       0.6800000       0.0680000       0.1355206       0.0135521       0.8328049       0.0832805      WENSS
NGC_0777                           5001     F  0.016700       0.0240000       0.0024000       0.0049013       0.0004901       0.0301194       0.0030119      WENSS
NGC_1316                           2022     F  0.005900    1677.5999756     130.9400024      52.7803424       4.1196102     304.4898979      23.3443599      WENSS
NGC_1553                            783     F  0.003600       1.2000000       0.4000000       0.0140050       0.0046683       0.0822368       0.0274123      WENSS
NGC_3077                           2076     F  0.000100       0.0360000       0.0036000       0.0000003       0.0000001       0.0000019       0.0000002      WENSS
NGC_3608                           2073     F  0.004200       0.1300000       0.0000000       0.0020671       0.0010000       0.0101184       0.0000000      WENSS
NGC_4261                           9569     F  0.007500     124.5100021      13.2700005       6.3460606       0.6763491      37.2637609       3.9714891      WENSS
NGC_4374                            803     F  0.003500     160.0819855      14.9259996       1.7293955       0.1671930      10.1671320       0.9572508      WENSS
NGC_4472                            322     F  0.003300       0.7000000       0.1000000       0.0068615       0.0009802       0.0449643       0.0064235      WENSS
NGC_4636                           4415     F  0.003100       0.8000000       0.0000000       0.0069178       0.0010000       0.0406208       0.0000000      WENSS
NGC_4782                           3220     F  0.015400      17.8010006       1.7801000       3.0851039       0.3085104      22.7420217       2.2742021      WENSS
NGC_5044                           9399     F  0.009000       0.0330000       0.0033000       0.0019339       0.0001934       0.0118840       0.0011884      WENSS
NGC_5253                           7154     F  0.001400       0.2000000       0.0000000       0.0003518       0.0001000       0.0017220       0.0000000      WENSS
NGC_5813                           5907     F  0.006600       0.6300000       0.1000000       0.0257233       0.0041539       0.1458046       0.0231436      WENSS
NGC_5846                           7923     F  0.005700       0.2000000       0.0000000       0.0058711       0.0010000       0.0359543       0.0000000      WENSS
NGC_6338                              0     F  0.027400       0.0810000       0.0081000       0.0452722       0.0045272       0.3337268       0.0333727      WENSS
UGC_0408                           4053     F  0.014700      16.5070000       0.4550000       3.0490013       0.0789456      17.7802106       0.4738127      WENSS
