#Name                             Obsid  type         z            flux             err           power             err             lum             err      surv
# --                                 --    --        --              Jy              Jy        10^40e/s        10^40e/s        10^40e/s        10^40e/s        --
IC_4296                            3394     F  0.012500     155.4870148      12.8299999      21.8858656       1.8068500     131.9995579      10.8771082     WENSS
NGC_0315                            855     F  0.016500      10.3610992       0.1236000       2.0581683       0.0245524      40.8165160       0.4869099      NVSS
NGC_0507                            317     F  0.016500       0.6800000       0.0680000       0.1333208       0.0133321       0.8328049       0.0832805     WENSS
NGC_0777                           5001     F  0.016700       0.0240000       0.0024000       0.0048208       0.0004821       0.0301194       0.0030119     WENSS
NGC_1316                           2022     F  0.005900       0.2100000       0.0510000       0.0060100       0.0009100       0.0378100       0.0087100     WENSS
NGC_1553                            783     F  0.003600       1.2000000       0.4000000       0.0139548       0.0046516       0.0822368       0.0274123     WENSS
NGC_3077                           2076     F  0.000100       0.0360000       0.0036000       0.0000003       0.0000000       0.0000019       0.0000002     WENSS
NGC_3608                           2073     F  0.004200       0.1300000       0.0000000       0.0020584       0.0000000       0.0101184       0.0000000     WENSS
NGC_4261                           9569     F  0.007500     124.5100021      13.2700005       6.2988192       0.6713142      37.2637609       3.9714891     WENSS
NGC_4374                            803     F  0.003500      14.1800003       0.5700000       0.1214760       0.0048830       2.4626207       0.0989911     WENSS
NGC_4472                            322     F  0.003300       0.7000000       0.1000000       0.0068389       0.0009770       0.0449643       0.0064235     WENSS
NGC_4636                           4415     F  0.003100       0.8000000       0.0000000       0.0068964       0.0000000       0.0406208       0.0000000     WENSS
NGC_4782                           3220     F  0.015400      35.6009979       3.5592999       6.6622274       0.6660730      40.1069428       4.0097860     WENSS
NGC_5044                           9399     F  0.009000       0.0330000       0.0033000       0.0019166       0.0001917       0.0118840       0.0011884     WENSS
NGC_5253                           7154     F  0.001400       0.2000000       0.0000000       0.0003513       0.0000000       0.0017220       0.0000000     WENSS
NGC_5813                           5907     F  0.006600       0.6300000       0.1000000       0.0255546       0.0041267       0.1458046       0.0231436     WENSS
NGC_5846                           7923     F  0.005700       0.2000000       0.0000000       0.0058379       0.0000000       0.0359543       0.0000000     WENSS
NGC_6338                              0     F  0.027400       0.0810000       0.0081000       0.0440649       0.0044065       0.3337268       0.0333727     WENSS
UGC_0408                           4053     F  0.014700       4.0300002       0.2100000       0.6129926       0.0319425       3.8390341       0.2000489     WENSS
