# Name                          P_cav            loerr            hierr           L_1400              err            L_300              err
# --                       1e42 erg/s       1e42 erg/s       1e42 erg/s       1e40 erg/s       1e40 erg/s       1e40 erg/s       1e40 erg/s
2A_0335+096               24.09000000       6.61000000      23.24000000       0.10402000       0.00510000       0.60150000       0.03900000
ABELL_0133               616.00000000      23.73000000     264.73000000       1.17550000       0.05300000      34.04000000       1.46000000
ABELL_0262                 9.68000000       2.60000000       7.53000000       0.02740000       0.00231000       0.17220000       0.00720000
ABELL_0478               103.60000000      24.29000000      77.51000000       0.13670000       0.03100000       1.85080000       0.16700000
ABELL_1795               161.20000000      53.83000000     227.34000000       6.84630000       0.39704000      32.16470000       1.30790000
ABELL_1835              1780.00000000     614.86000000    1888.56000000       2.25140000       0.40010000      18.54700000       1.41300000
ABELL_2052               146.80000000      69.07000000     197.93000000      14.95500000       0.70000000      87.57000000       3.50600000
ABELL_2199               272.80000000      60.72000000     246.23000000       7.21220000       0.27460000      49.58000000       1.98660000
ABELL_2597                67.20000000      28.82000000      87.23000000      27.30900000       1.57300000     150.17600000       6.00740000
ABELL_4059                95.88000000      34.50000000      89.09000000       6.83001000       0.27340000      52.76900000       2.11800000
CENTAURUS                  7.44000000       1.77000000       5.83000000       0.81500000       0.04600000       3.57200000       0.14330000
CYGNUS_A                1328.00000000     235.34000000    1119.20000000    9035.80000000     501.59000000   32973.20000000    1459.50000000
HCG_0062                   3.86000000       2.29000000       6.13000000       0.00051000       0.00022000       0.00350000       0.00080000
HYDRA_A                 1082.80000000     138.19000000     501.70000000     447.02000000      14.30400000    1214.28000000     108.32500000
M84                        0.98000000       0.58000000       1.45000000       0.14440000       0.00630000       0.29820000       0.01230000
M87                        6.00000000       0.90000000       4.21000000       5.46800000       0.21800000       4.89600000       0.19500000
MACSJ1423               1380.00000000     905.12000000    2508.70000000       5.74400000       0.25322000      34.90100000       2.48370000
MKW3S                    412.00000000      44.32000000     423.16000000       0.42600000       0.02010000      22.48800000       0.85570000
MS0735                  6948.00000000    2600.08000000    7618.87000000       2.37400000       0.24100000     113.83000000       4.82500000
PERSEUS                  153.08000000      30.40000000      96.92000000      16.79000000       0.67180000      17.72700000       0.71100000
RBS_797                 1184.00000000     534.03000000    1688.41000000       4.16139000       0.70216000      43.10000000       2.26000000
SERSIC_159               783.20000000     256.71000000     822.48000000       1.47270000       0.08540000      12.26700000       0.51890000
ZW2701                  5980.00000000    3460.00000000    8940.00000000       2.61694000       0.07629000      28.57800000       1.38790000
ZW3146                  5812.00000000    1466.51000000    6792.90000000       2.67613000       0.01171000       7.81710000       0.90020000

# inside and outside comps of hyda
# HYDRA_AI                 425.60000000      54.32000000     197.20000000     251.56000000      10.13700000     977.56000000      39.02500000
# HYDRA_AO                 657.20000000      83.87000000     304.50000000     195.46000000       4.16700000     236.72000000      69.30000000

# in raff 06 but missing here
# 3C388                    200.00000000      80.00000000     280.00000000     165.38950000       6.11000000     467.02000000       0.00000000
# 3C401                    650.00000000     420.00000000    1200.00000000     782.65990000      17.42000000    2271.77000000       0.00000000
# 4C55.16                  420.00000000     160.00000000     440.00000000    2023.00500000     182.61500000    2310.92000000       0.00000000
# A85                       37.00000000      11.00000000      37.00000000       1.19000000       0.04896000       0.00000000       0.00000000
# A2029                     87.00000000       4.00000000      49.00000000      10.49700000       0.36600000       0.00000000       0.00000000
# HERCA                    310.00000000      90.00000000     400.00000000    4134.13646280     189.19527190   14968.00000000     748.40000000
# PKS0745-191             1700.00000000     300.00000000    1400.00000000      87.97000000       3.10000000       0.00000000       0.00000000
# PKS1404-267               20.00000000       9.00000000      26.00000000       0.97110000       0.03400000       0.00000000       0.00000000

# from my analysis
# IRAS_09104+4109            335.00000000     255.00000000     415.00000000     16.73000       0.012       0.00000000       0.00000000

# from croston 09, Cen A
# CenA                         6.60000000       1.00000000       1.00000000       2.85             0.239            0.00000000       0.00000000

# from Wilson et al. including shocks
# CYGNUS_A                 24000.00000000     235.34000000    1119.20000000    9035.80000000     501.59000000   32973.20000000    1459.50000000

# from Nulsen et al. including shocks
# HERCA                    16000.00000000   14400.00000000   17600.00000000    4134.13646280     189.19527190   14968.00000000     748.40000000
