#Name                             z              D             kT           Ecav            tcs           Pcav            err          P1400            err
#--                              --            kpc            keV            erg              s          erg/s          erg/s          erg/s          erg/s
3C_31                        0.0170            307           1.50       1.77E+58       7.62E+15       2.32E+42       2.32E+41       4.84E+40       2.03E+39
3C_66B                       0.0215            296           1.73       1.12E+59       6.84E+15       1.63E+43       1.63E+42       1.45E+41       7.19E+39
3C_76.1                      0.0320            126           0.91       2.50E+58       4.02E+15       6.22E+42       6.22E+41       9.87E+40       3.20E+39
3C_296                       0.0240            212           0.90       1.85E+58       6.80E+15       1.20E+43       1.20E+42       8.18E+40       2.33E+39
3C_449                       0.0171            533           0.98       2.44E+58       1.64E+16       1.49E+42       1.49E+41       3.45E+40       1.81E+39
NGC_1044                     0.0210            306           1.13       6.89E+57       8.75E+15       7.87E+41       7.87E+40       1.78E+40       1.37E+39
NGC_6251                     0.0244           1900           1.60       1.77E+59       4.57E+16       3.87E+42       3.87E+41       4.89E+40       5.57E+39

# I have these
# NGC_0315                     0.0160           1000           1.30       5.10E+58       2.67E+16       1.91E+42       1.91E+41       5.26E+40       4.76E+39
# NGC_4261                     0.0073             81           1.45       5.73E+57       2.05E+15       2.80E+42       2.80E+41       3.24E+40       3.29E+39
