#Name                             Obsid  type            dl            flux             err           power             err             lum             err      surv
# --                                 --    --           Mpc              Jy              Jy        10^40e/s        10^40e/s        10^40e/s        10^40e/s        --
IC_4296                            3394     F     54.335999     132.7870026       8.4200001      19.0626457       1.2091795       0.0000000       0.0000000      CATS
NGC_0315                            855     F     73.123001      10.3610992       0.7436000       2.1472740       0.1541065       0.0000000       0.0000000      CATS
NGC_0507                            317     F     83.865997       0.6800000       0.0680000       0.1853764       0.0185376       0.0000000       0.0000000      CATS
NGC_0777                           5001     F     63.588001       0.0240000       0.0024000       0.0037611       0.0003761       0.0000000       0.0000000      CATS
NGC_1316                           2022     F     21.555000       0.2100000       0.0000000       0.0047575       0.0000000       0.0000000       0.0000000      CATS
NGC_1553                            783     F     18.591000       1.2000000       0.4000000       0.0202324       0.0067441       0.0000000       0.0000000      CATS
NGC_3077                           2076     F   -999.000000       0.0360000       0.0036000       1.3970754       0.1397075       0.0000000       0.0000000      CATS
NGC_3608                           2073     F     23.032000       0.1300000       0.0000000       0.0033637       0.0000000       0.0000000       0.0000000      CATS
NGC_4261                           9569     F     31.809000     124.5100021      13.2700005       6.1408309       0.6544762       0.0000000       0.0000000      CATS
NGC_4374                            803     F     18.451000      14.2600002       1.4600000       0.2716524       0.0278129       0.0000000       0.0000000      CATS
NGC_4472                            322     F     16.364000       0.7000000       0.1000000       0.0091446       0.0013064       0.0000000       0.0000000      CATS
NGC_4636                           4415     F     14.696000       0.8000000       0.0000000       0.0084293       0.0000000       0.0000000       0.0000000      CATS
NGC_4782                           3220     F     66.872002      35.6009979       3.5592999       6.6846365       0.6683134       0.0000000       0.0000000      CATS
NGC_5044                           9399     F     31.361000       0.0330000       0.0033000       0.0012598       0.0001260       0.0000000       0.0000000      CATS
NGC_5253                           7154     F   -999.000000       0.2000000       0.0000000       9.7411747       0.0000000       0.0000000       0.0000000      CATS
NGC_5813                           5907     F     32.402000       0.6300000       0.1000000       0.0334058       0.0053945       0.0000000       0.0000000      CATS
NGC_5846                           7923     F     24.997999       0.2000000       0.0000000       0.0060942       0.0000000       0.0000000       0.0000000      CATS
NGC_6338                              0     F    119.930000       0.0810000       0.0081000       0.0450597       0.0045060       0.0000000       0.0000000      CATS
UGC_0408                           4053     F     63.480999       5.0690002       0.2570000       0.7984404       0.0403529       0.0000000       0.0000000      CATS
