#Object		D	logLrad	logLX	logMBH	logLkin	hi	lo	PBondi	hi	lo	References
#--		Mpc	erg/s	erg/s	Msol	erg/s	erg/s	erg/s	erg/s	erg/s	erg/s	--
3C218_HydraA	242	40.91	42.17	8.96	44.63	0.16	0.10	44.90	0	0	23-24-4
3C388		416	40.69	41.69	9.18	44.30	0.38	0.30	44.80	0	0	25-4
CygA		247	41.43	44.22	9.40	45.41	0.19	0.1	45.24	0	0	1-2-3-4-5
IC4374		94.5	40.27	41.37	8.57	43.30	0.36	0.26	44.37	0	0	20-4
NGC1275_PerA	77.1	40.74	43.40	8.64	44.33	0.17	0.14	44.31	0	0	6-9-4-10
NGC4374_M84	17	38.43	40.34	8.80	42.59	0.6	0.5	43.69	0.30	0.29	6-11-8-4
NGC4472		17	36.69	38.46	8.90	42.91	0.14	0.23	43.79	0.25	0.23	6-7-8
NGC4486_M87	17	38.88	40.55	9.48	43.44	0.5	0.5	44.15	0.28	0.40	6-12-13-4-8-14
NGC4552_M89	17	38.23	39.33	8.57	42.20	0.14	0.21	43.37	0.22	0.21	6-7-8
NGC4636		17	36.40	38.40	8.20	42.65	0.11	0.15	42.29	0.24	0.24	6-15-8-16
NGC4696		44.9	39.10	40.26	8.60	42.89	0.22	0.22	43.40	0.56	0.55	17-4-8
NGC507		71.4	38.80	39.90	8.90	44.01	0.16	0.26	44.41	0.09	0.09	6-7-8
NGC5846		24.6	36.50	38.37	8.59	41.86	0.18	0.29	42.85	0.43	0.43	6-7-8
NGC6166		135.6	39.95	40.56	8.92	43.82	0.5	0.4	43.49	0.34	0.26	18-19-4-8
UGC9799		152	40.55	41.89	8.58	44.18	0.36	0.28	43.92	0	0	21-22-4
