#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   freq  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
7ZW700                   4194    17:15:22.94    +57:24:40.5    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0274   1400   NVSS
ESO495-021               2075    08:36:15.19    -26:24:34.5    1.240   21.1   18.8  -31.7      83.80       3.40        F   0.0029   1400   NVSS
IC_4296                  3394    13:35:39.58     -33:52:9.5  818.000  127.2  102.9   11.9     756.20      23.30        F   0.0125   1400   NVSS
IC_4296                  3394    13:35:48.60     -33:52:2.9  721.000  127.3  127.2   89.2     679.70      21.10        F   0.0125   1400   NVSS
IC_4296                  3394    13:35:54.08    -33:53:35.5  618.000   65.6   47.2   -1.1     176.70       6.00        F   0.0125   1400   NVSS
IC_4296                  3394    13:37:11.24    -34:02:22.6  480.000   71.4   65.9  -17.4       7.40       1.50        F   0.0125   1400   NVSS
IC_4296                  3394    13:36:15.24    -33:55:25.9  332.000   57.6   15.9  -86.5      72.90       2.60        F   0.0125   1400   NVSS
IC_4296                  3394    13:36:20.13    -33:55:59.6  263.000   39.0   33.9    0.0       5.70       0.50        F   0.0125   1400   NVSS
IC_4296                  3394    13:36:27.58    -33:56:29.6  167.000  127.3   19.5  -63.3     319.30       9.80        F   0.0125   1400   NVSS
IC_4296                  3394    13:36:35.59    -33:57:19.8   56.900   42.5   17.2  -56.0     546.60      17.80        F   0.0125   1400   NVSS
IC_4296                  3394    13:36:43.16    -33:58:39.5   66.500  127.4   19.2  -45.1    1341.70      40.60        F   0.0125   1400   NVSS
IC_4296                  3394    13:36:51.18    -34:00:22.8  210.000  112.4   20.8  -37.5     126.60       4.60        F   0.0125   1400   NVSS
NGC_0315                  855    00:56:33.21    +30:26:31.6 1031.000   93.9   37.0    0.0       4.90       0.50        F   0.0165   1400   NVSS
NGC_0315                  855    00:56:36.20    +30:24:57.4  968.000  126.8  126.4    0.2      74.20       4.60        F   0.0165   1400   NVSS
NGC_0315                  855    00:56:39.90    +30:29:43.3 1030.000  126.9  126.5   -2.8      83.10       4.80        F   0.0165   1400   NVSS
NGC_0315                  855    00:56:40.33    +30:27:42.6  970.000  112.0   77.0    0.0       4.40       0.60        F   0.0165   1400   NVSS
NGC_0315                  855    00:56:45.86    +30:32:34.2 1065.000  127.0   43.3   58.6     105.50       4.00        F   0.0165   1400   NVSS
NGC_0315                  855    00:56:46.43    +30:19:48.9  812.000   79.4   51.6    0.0       4.40       0.50        F   0.0165   1400   NVSS
NGC_0315                  855    00:56:51.97     +30:20:4.9  740.000   79.8   54.4  -50.0      13.90       2.10        F   0.0165   1400   NVSS
NGC_0315                  855    00:56:53.28    +30:31:58.7  969.000  127.1   71.3  -56.7     174.50       6.10        F   0.0165   1400   NVSS
