#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   type  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
7ZW700                   4194    17:12:57.58    +57:25:49.1 1176.000   17.8   14.5    0.0      63.30       1.90        F   0.0274     na     na
7ZW700                   4194    17:13:29.91    +57:26:58.4  923.000   21.7   17.5    0.0      27.40       0.90        F   0.0274     na     na
7ZW700                   4194    17:13:47.13    +57:28:10.3  802.000   47.4   44.2    0.0       3.30       0.40        F   0.0274     na     na
7ZW700                   4194    17:13:50.18    +57:29:54.4  812.000   29.7   25.7    0.0       8.20       0.50        F   0.0274     na     na
7ZW700                   4194     17:14:0.32    +57:20:39.8  710.000   60.6   56.1    0.0       2.30       0.40        F   0.0274     na     na
7ZW700                   4194    17:14:29.67    +57:15:21.9  706.000   73.3   46.4    0.0       3.70       0.50        F   0.0274     na     na
7ZW700                   4194    17:14:31.81    +57:07:21.0 1119.000   76.9   53.5    0.0       2.50       0.40        F   0.0274     na     na
7ZW700                   4194    17:14:46.73    +57:21:51.0  338.000   20.6   14.5    0.0      60.00       1.80        F   0.0274     na     na
7ZW700                   4194    17:14:47.61    +57:24:15.9  287.000   35.0   26.6    0.0       7.80       0.50        F   0.0274     na     na
7ZW700                   4194    17:14:51.59    +57:34:23.0  635.000   55.2   52.2    0.0       2.50       0.40        F   0.0274     na     na
7ZW700                   4194    17:15:19.69     +57:36:3.9  684.000   56.2   52.2    0.0       2.60       0.40        F   0.0274     na     na
7ZW700                   4194    17:15:22.94    +57:24:40.5    0.380   19.2   15.5    0.0      57.00       1.80        F   0.0274     na     na
7ZW700                   4194    17:15:25.79     +57:29:4.3  265.000   53.6   50.2    0.0       2.70       0.40        F   0.0274     na     na
7ZW700                   4194    17:15:25.89    +57:19:32.4  309.000  104.0   48.0    0.0       3.20       0.50        F   0.0274     na     na
7ZW700                   4194    17:15:35.70    +57:34:22.0  591.000   77.5   57.4    0.0       2.30       0.40        F   0.0274     na     na
7ZW700                   4194    17:15:38.40    +57:23:22.8  147.000   61.4   26.7   52.7      11.20       1.10        F   0.0274     na     na
7ZW700                   4194    17:15:39.08    +57:41:52.5 1040.000   71.6   38.2    9.8       6.10       1.20        F   0.0274     na     na
7ZW700                   4194    17:15:42.69    +57:13:56.0  664.000   45.6   34.9    0.0       4.90       0.40        F   0.0274     na     na
7ZW700                   4194    17:15:47.11    +57:34:48.0  638.000   87.6   50.8    0.0       2.80       0.50        F   0.0274     na     na
7ZW700                   4194    17:16:21.99     +57:16:2.9  704.000   22.0   25.1  -39.6      19.20       1.00        F   0.0274     na     na
7ZW700                   4194    17:16:46.44    +57:39:52.7 1133.000   42.0   39.5    0.0       3.90       0.40        F   0.0274     na     na
7ZW700                   4194    17:16:52.76     +57:25:3.7  726.000   28.7   20.5    0.0      13.50       0.60        F   0.0274     na     na
7ZW700                   4194    17:16:56.33    +57:28:39.5  791.000   98.5   64.0    0.0       4.10       0.60        F   0.0274     na     na
7ZW700                   4194     17:17:4.13    +57:21:53.9  835.000   41.1   34.1    0.0       5.00       0.40        F   0.0274     na     na
7ZW700                   4194    17:17:14.24    +57:25:30.3  900.000   42.8   39.7    0.0       3.90       0.40        F   0.0274     na     na
7ZW700                   4194    17:17:16.01    +57:22:11.9  926.000   37.5   33.1    0.0       5.20       0.40        F   0.0274     na     na
7ZW700                   4194    17:17:26.54    +57:35:38.9 1194.000   21.5   15.9    1.2      36.10       1.40        F   0.0274     na     na
7ZW700                   4194    17:17:29.74    +57:27:44.3 1040.000   26.6   24.6    0.0       9.00       0.50        F   0.0274     na     na
ESO495-021               2075    08:34:53.81    -26:20:25.7 1121.000   16.5   14.7    0.0      51.40       1.60        F   0.0029     na     na
ESO495-021               2075     08:35:1.58    -26:18:12.2 1060.000   22.9   22.1    0.0      11.40       0.60        F   0.0029     na     na
ESO495-021               2075     08:35:3.85    -26:26:33.8  965.000   38.9   24.3   27.5      20.50       1.50        F   0.0029     na     na
ESO495-021               2075    08:35:17.93    -26:24:58.8  769.000   17.8   15.6    0.0      32.50       1.10        F   0.0029     na     na
ESO495-021               2075    08:35:24.54    -26:30:36.4  770.000   71.0   52.8    0.0       3.40       0.50        F   0.0029     na     na
ESO495-021               2075    08:35:33.46    -26:26:27.1  571.000   30.7   21.3    0.0      12.50       0.60        F   0.0029     na     na
ESO495-021               2075    08:35:52.78    -26:23:37.6  305.000   62.1   41.9    0.0       4.00       0.50        F   0.0029     na     na
ESO495-021               2075    08:35:56.34    -26:35:26.3  700.000   14.6   14.2    0.0      93.80       2.80        F   0.0029     na     na
ESO495-021               2075    08:35:56.69    -26:26:11.0  266.000   56.2   41.8    0.0       6.80       0.60        F   0.0029     na     na
ESO495-021               2075     08:36:3.90    -26:38:37.7  857.000  104.0   58.3    0.0       2.60       0.50        F   0.0029     na     na
ESO495-021               2075     08:36:7.49    -26:37:57.8  811.000   43.9   34.1    0.0       5.20       0.50        F   0.0029     na     na
ESO495-021               2075    08:36:15.19    -26:24:34.5    1.240   21.1   18.8  -31.7      83.80       3.40        F   0.0029     na     na
ESO495-021               2075    08:36:15.87    -26:31:32.4  419.000   36.5   31.5    0.0       5.90       0.50        F   0.0029     na     na
ESO495-021               2075    08:36:22.93     -26:43:3.3 1115.000   72.2   64.6   -6.7       8.30       1.50        F   0.0029     na     na
ESO495-021               2075    08:36:33.71    -26:21:32.8  308.000   52.7   33.6    0.0       5.40       0.50        F   0.0029     na     na
ESO495-021               2075    08:36:55.37    -26:39:11.9 1031.000   36.7   27.1    0.0       8.10       0.50        F   0.0029     na     na
ESO495-021               2075    08:36:59.73    -26:38:53.7 1048.000   23.6   21.2    0.0      12.80       0.60        F   0.0029     na     na
ESO495-021               2075    08:37:17.25    -26:23:11.0  839.000   46.0   40.0    0.0       6.30       0.50        F   0.0029     na     na
ESO495-021               2075    08:37:20.57    -26:32:41.9 1005.000   21.0   16.6    0.0      25.70       0.90        F   0.0029     na     na
IC_4296                  3394    13:35:14.21    -34:00:58.9 1070.000  113.0  107.0    0.0       3.20       0.70        F   0.0125     na     na
IC_4296                  3394    13:35:17.29    -34:02:24.3 1051.000   85.8   37.3    0.0       5.40       0.60        F   0.0125     na     na
IC_4296                  3394    13:35:38.95    -33:45:48.1 1045.000   93.3   65.6   31.4      13.00       2.80        F   0.0125     na     na
IC_4296                  3394    13:35:39.58     -33:52:9.5  818.000  127.2  102.9   11.9     756.20      23.30        F   0.0125     na     na
IC_4296                  3394    13:35:39.77    -33:43:19.8 1147.000   85.7  124.0  -84.0       7.40       1.80        F   0.0125     na     na
IC_4296                  3394    13:35:41.62    -34:02:39.2  767.000  126.2  123.3   89.3      16.30       4.60        F   0.0125     na     na
IC_4296                  3394    13:35:48.60     -33:52:2.9  721.000  127.3  127.2   89.2     679.70      21.10        F   0.0125     na     na
IC_4296                  3394    13:35:54.08    -33:53:35.5  618.000   65.6   47.2   -1.1     176.70       6.00        F   0.0125     na     na
IC_4296                  3394    13:36:10.42    -33:42:41.3  983.000  124.9   63.3  -16.7      11.10       2.10        F   0.0125     na     na
IC_4296                  3394    13:36:10.98    -34:02:17.9  435.000  126.1  101.2  -74.4      16.60       4.20        F   0.0125     na     na
IC_4296                  3394    13:36:15.24    -33:55:25.9  332.000   57.6   15.9  -86.5      72.90       2.60        F   0.0125     na     na
IC_4296                  3394    13:36:15.51     -34:09:3.4  727.000  113.8   79.3  -28.8      14.20       3.40        F   0.0125     na     na
IC_4296                  3394    13:36:16.98    -34:13:39.0  981.000  125.2  114.0   45.1       9.80       2.20        F   0.0125     na     na
IC_4296                  3394    13:36:17.69    -33:43:17.5  919.000   81.5   32.0  -70.3      33.30       2.30        F   0.0125     na     na
IC_4296                  3394    13:36:20.13    -33:55:59.6  263.000   39.0   33.9    0.0       5.70       0.50        F   0.0125     na     na
IC_4296                  3394    13:36:24.72    -33:44:55.7  802.000  121.8   46.9  -53.5      40.90       3.10        F   0.0125     na     na
IC_4296                  3394    13:36:27.58    -33:56:29.6  167.000  127.3   19.5  -63.3     319.30       9.80        F   0.0125     na     na
IC_4296                  3394    13:36:35.59    -33:57:19.8   56.900   42.5   17.2  -56.0     546.60      17.80        F   0.0125     na     na
IC_4296                  3394    13:36:43.16    -33:58:39.5   66.500  127.4   19.2  -45.1    1341.70      40.60        F   0.0125     na     na
IC_4296                  3394    13:36:51.18    -34:00:22.8  210.000  112.4   20.8  -37.5     126.60       4.60        F   0.0125     na     na
IC_4296                  3394    13:36:52.41    -34:12:14.9  873.000  126.7   39.1  -65.4      27.20       2.80        F   0.0125     na     na
IC_4296                  3394    13:36:53.74    -34:10:34.7  779.000   67.0   47.7    0.0       5.80       0.60        F   0.0125     na     na
IC_4296                  3394    13:36:56.37     -33:53:9.7  360.000   58.0   51.0    0.0       2.90       0.50        F   0.0125     na     na
IC_4296                  3394    13:36:57.24    -34:11:33.7  847.000   83.9   37.7  -62.6       7.70       1.50        F   0.0125     na     na
IC_4296                  3394    13:36:58.93    -33:44:30.0  845.000  109.0   45.3    0.0       3.90       0.60        F   0.0125     na     na
IC_4296                  3394     13:37:3.05    -34:12:53.6  945.000  126.5   77.4   75.6      11.60       2.20        F   0.0125     na     na
IC_4296                  3394     13:37:8.84    -33:51:30.0  537.000   71.4   67.1  -29.9       7.70       1.50        F   0.0125     na     na
IC_4296                  3394    13:37:11.24    -34:02:22.6  480.000   71.4   65.9  -17.4       7.40       1.50        F   0.0125     na     na
IC_4296                  3394    13:37:24.98    -34:06:55.2  785.000   74.1   52.3    0.0       2.90       0.50        F   0.0125     na     na
IC_4296                  3394    13:37:32.47    -34:09:41.0  967.000   98.4   26.9  -89.7      15.50       1.70        F   0.0125     na     na
IC_4296                  3394    13:37:33.69    -34:12:50.2 1122.000   36.7   24.7  -66.1      11.70       1.00        F   0.0125     na     na
IC_4296                  3394    13:37:34.43    -34:08:52.3  950.000   48.8   31.3    0.0       6.60       0.60        F   0.0125     na     na
IC_4296                  3394    13:37:37.49    -34:11:21.1 1083.000  127.3  127.0   78.2     290.70      10.00        F   0.0125     na     na
IC_4296                  3394    13:37:38.72    -34:07:23.2  933.000   38.9   33.5    0.0       5.90       0.50        F   0.0125     na     na
IC_4296                  3394    13:37:38.85    -33:50:39.1  864.000  116.0   53.9    0.0       3.10       0.60        F   0.0125     na     na
IC_4296                  3394    13:37:40.57    -34:08:46.0 1003.000  127.2  126.8   88.9     166.60       7.00        F   0.0125     na     na
IC_4296                  3394    13:37:41.53     -33:52:0.5  856.000   51.3   35.8    0.0       5.20       0.50        F   0.0125     na     na
IC_4296                  3394    13:37:45.32    -34:03:10.2  882.000  140.0   63.1    0.0       3.30       0.70        F   0.0125     na     na
IC_4296                  3394    13:37:45.46    -34:11:15.9 1148.000  127.2   66.3   36.9     253.60       8.40        F   0.0125     na     na
IC_4296                  3394    13:37:47.67    -34:08:58.3 1079.000   29.0   25.9    0.0       8.90       0.60        F   0.0125     na     na
IC_4296                  3394    13:37:50.71    -34:06:48.1 1037.000  126.8   74.7  -55.5      64.10       4.10        F   0.0125     na     na
IC_4296                  3394    13:37:51.13     -34:10:3.6 1153.000   36.3   20.4  -11.4      17.50       1.10        F   0.0125     na     na
IC_4296                  3394    13:37:52.96    -34:08:10.4 1105.000   91.3   19.0    5.5      29.80       1.80        F   0.0125     na     na
IC_4296                  3394    13:37:57.66    -33:57:19.3  979.000   49.2   43.6    0.0       3.80       0.50        F   0.0125     na     na
IC_4296                  3394     13:38:1.29     -33:58:6.4 1023.000  126.0   44.5  -58.8       8.90       1.90        F   0.0125     na     na
