#Search radius of 500" used around X-ray centroid
#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   type  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
7ZW700                   4194    17:14:46.73    +57:21:51.0  338.000   20.6   14.5    0.0      60.00       1.80        F   0.0274     na     na
7ZW700                   4194    17:14:47.61    +57:24:15.9  287.000   35.0   26.6    0.0       7.80       0.50        F   0.0274     na     na
7ZW700                   4194    17:15:25.79     +57:29:4.3  265.000   53.6   50.2    0.0       2.70       0.40        F   0.0274     na     na
7ZW700                   4194    17:15:25.89    +57:19:32.4  309.000  104.0   48.0    0.0       3.20       0.50        F   0.0274     na     na
7ZW700                   4194    17:15:38.40    +57:23:22.8  147.000   61.4   26.7   52.7      11.20       1.10        F   0.0274     na     na
7ZW700                   4194    17:15:22.94    +57:24:40.5    0.380   19.2   15.5    0.0      57.00       1.80        F   0.0274     na     na
ESO495-021               2075    08:35:52.78    -26:23:37.6  305.000   62.1   41.9    0.0       4.00       0.50        F   0.0029     na     na
ESO495-021               2075    08:35:56.69    -26:26:11.0  266.000   56.2   41.8    0.0       6.80       0.60        F   0.0029     na     na
ESO495-021               2075    08:36:15.19    -26:24:34.5    1.240   21.1   18.8  -31.7      83.80       3.40        F   0.0029     na     na
ESO495-021               2075    08:36:15.87    -26:31:32.4  419.000   36.5   31.5    0.0       5.90       0.50        F   0.0029     na     na
ESO495-021               2075    08:36:33.71    -26:21:32.8  308.000   52.7   33.6    0.0       5.40       0.50        F   0.0029     na     na
IC_4296                  3394    13:36:10.98    -34:02:17.9  435.000  126.1  101.2  -74.4      16.60       4.20        F   0.0125     na     na
IC_4296                  3394    13:36:15.24    -33:55:25.9  332.000   57.6   15.9  -86.5      72.90       2.60        F   0.0125     na     na
IC_4296                  3394    13:36:20.13    -33:55:59.6  263.000   39.0   33.9    0.0       5.70       0.50        F   0.0125     na     na
IC_4296                  3394    13:36:27.58    -33:56:29.6  167.000  127.3   19.5  -63.3     319.30       9.80        F   0.0125     na     na
IC_4296                  3394    13:36:35.59    -33:57:19.8   56.900   42.5   17.2  -56.0     546.60      17.80        F   0.0125     na     na
IC_4296                  3394    13:36:43.16    -33:58:39.5   66.500  127.4   19.2  -45.1    1341.70      40.60        F   0.0125     na     na
IC_4296                  3394    13:36:51.18    -34:00:22.8  210.000  112.4   20.8  -37.5     126.60       4.60        F   0.0125     na     na
IC_4296                  3394    13:36:56.37     -33:53:9.7  360.000   58.0   51.0    0.0       2.90       0.50        F   0.0125     na     na
IC_4296                  3394    13:37:11.24    -34:02:22.6  480.000   71.4   65.9  -17.4       7.40       1.50        F   0.0125     na     na
NGC_0315                  855    00:57:28.23    +30:24:37.0  338.000   81.6   34.8  -47.0      56.90       2.60        F   0.0165     na     na
NGC_0315                  855    00:57:35.12    +30:23:22.4  222.000   61.5   25.5  -44.8      65.70       2.60        F   0.0165     na     na
NGC_0315                  855    00:57:44.36    +30:21:55.9   74.800  127.3   27.2  -55.2     583.80      18.50        F   0.0165     na     na
NGC_0315                  855    00:57:48.34    +30:21:14.4    8.710   39.1   13.9  -48.9     772.10      25.30        F   0.0165     na     na
NGC_0315                  855    00:57:56.63    +30:19:41.6  133.000  114.8   40.0  -52.6     159.80       5.50        F   0.0165     na     na
NGC_0315                  855     00:58:6.70    +30:18:22.1  285.000   69.3   33.4   -6.7      23.40       1.80        F   0.0165     na     na
NGC_0507                  317     01:23:2.30    +33:17:18.3  486.000   43.6   36.0    0.0       4.80       0.40        F   0.0165     na     na
NGC_0507                  317    01:23:21.95    +33:21:21.5  424.000   38.6   36.8    0.0       4.50       0.40        F   0.0165     na     na
NGC_0507                  317    01:23:37.99    +33:15:34.0   26.700   45.5   30.3  -44.9      61.70       2.50        F   0.0165     na     na
NGC_0507                  317    01:23:41.41    +33:17:47.7  146.000   26.2   25.4    0.0       8.80       0.50        F   0.0165     na     na
NGC_0507                  317    01:23:43.43     +33:15:0.9   49.100   69.9   34.5    3.8      37.10       2.10        F   0.0165     na     na
NGC_0507                  317    01:23:44.23    +33:12:11.0  199.000   38.9   36.6    0.0       4.60       0.40        F   0.0165     na     na
NGC_0507                  317    01:23:47.80     +33:10:9.9  328.000   88.5   52.8    0.0       4.30       0.50        F   0.0165     na     na
NGC_0507                  317    01:23:51.54     +33:11:9.4  292.000   52.6   36.5    0.0       4.90       0.50        F   0.0165     na     na
NGC_0507                  317    01:24:10.44    +33:13:54.3  393.000   57.7   38.8    0.0       4.40       0.50        F   0.0165     na     na
NGC_0777                 5001    01:59:46.01    +31:22:58.6  406.000   21.8   16.9  -71.7     256.30       8.90        F   0.0167     na     na
NGC_0777                 5001    02:00:14.88    +31:25:45.5    0.390   37.0   27.9    0.0       7.00       0.50        F   0.0167     na     na
NGC_0777                 5001    02:00:20.28    +31:22:19.5  217.000   15.2   15.2    0.0      66.20       2.00        F   0.0167     na     na
NGC_0777                 5001    02:00:40.38    +31:28:26.0  363.000  112.0   70.4    0.0       3.10       0.50        F   0.0167     na     na
NGC_1316                 2022     03:22:5.21    -37:12:27.6  436.000   63.2   34.9   10.8      54.30       2.50        F   0.0059     na     na
