#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   type  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
7ZW700                   4194    17:15:22.94    +57:24:40.5    0.380   19.2   15.5    0.0      57.00       1.80        F   0.0274     na     na
ESO495-021               2075    08:35:17.93    -26:24:58.8  769.000   17.8   15.6    0.0      32.50       1.10        F   0.0029     na     na
ESO495-021               2075    08:35:24.54    -26:30:36.4  770.000   71.0   52.8    0.0       3.40       0.50        F   0.0029     na     na
ESO495-021               2075    08:35:33.46    -26:26:27.1  571.000   30.7   21.3    0.0      12.50       0.60        F   0.0029     na     na
ESO495-021               2075    08:35:52.78    -26:23:37.6  305.000   62.1   41.9    0.0       4.00       0.50        F   0.0029     na     na
ESO495-021               2075    08:35:56.34    -26:35:26.3  700.000   14.6   14.2    0.0      93.80       2.80        F   0.0029     na     na
ESO495-021               2075    08:35:56.69    -26:26:11.0  266.000   56.2   41.8    0.0       6.80       0.60        F   0.0029     na     na
ESO495-021               2075     08:36:7.49    -26:37:57.8  811.000   43.9   34.1    0.0       5.20       0.50        F   0.0029     na     na
ESO495-021               2075    08:36:15.19    -26:24:34.5    1.240   21.1   18.8  -31.7      83.80       3.40        F   0.0029     na     na
ESO495-021               2075    08:36:15.87    -26:31:32.4  419.000   36.5   31.5    0.0       5.90       0.50        F   0.0029     na     na
ESO495-021               2075    08:36:33.71    -26:21:32.8  308.000   52.7   33.6    0.0       5.40       0.50        F   0.0029     na     na
IC_4296                  3394    13:36:27.58    -33:56:29.6  167.000  127.3   19.5  -63.3     319.30       9.80        F   0.0125     na     na
IC_4296                  3394    13:36:35.59    -33:57:19.8   56.900   42.5   17.2  -56.0     546.60      17.80        F   0.0125     na     na
IC_4296                  3394    13:36:43.16    -33:58:39.5   66.500  127.4   19.2  -45.1    1341.70      40.60        F   0.0125     na     na
NGC_0315                  855    00:57:44.36    +30:21:55.9   74.800  127.3   27.2  -55.2     583.80      18.50        F   0.0165     na     na
NGC_0315                  855    00:57:48.34    +30:21:14.4    8.710   39.1   13.9  -48.9     772.10      25.30        F   0.0165     na     na
NGC_0315                  855    00:57:56.63    +30:19:41.6  133.000  114.8   40.0  -52.6     159.80       5.50        F   0.0165     na     na
NGC_0507                  317    01:23:37.99    +33:15:34.0   26.700   45.5   30.3  -44.9      61.70       2.50        F   0.0165     na     na
NGC_0507                  317    01:23:41.41    +33:17:47.7  146.000   26.2   25.4    0.0       8.80       0.50        F   0.0165     na     na
NGC_0507                  317    01:23:43.43     +33:15:0.9   49.100   69.9   34.5    3.8      37.10       2.10        F   0.0165     na     na
NGC_0777                 5001    02:00:14.88    +31:25:45.5    0.390   37.0   27.9    0.0       7.00       0.50        F   0.0167     na     na
NGC_1316                 2022    03:22:28.06    -37:17:20.4  334.000  117.8   43.7    2.1       7.90       1.80        F   0.0059     na     na
NGC_1316                 2022    03:22:41.24     -37:15:7.2  159.000  125.8   77.5    8.9      39.40       3.80        F   0.0059     na     na
NGC_1316                 2022    03:22:41.63    -37:12:25.6    3.230   21.4   14.1  -74.6     254.70       9.90        F   0.0059     na     na
NGC_1316                 2022    03:22:43.37    -37:09:17.2  193.000  126.3   75.7   49.7      35.70       3.70        F   0.0059     na     na
NGC_1316                 2022    03:22:44.16    -37:19:18.3  411.000   52.0   32.1    0.0       6.40       0.60        F   0.0059     na     na
NGC_1316                 2022    03:23:13.28    -37:12:28.2  377.000  126.0   65.6   58.2      12.20       2.10        F   0.0059     na     na
NGC_1553                  783    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0036     na     na
NGC_1600                 4371    04:31:39.80    -05:05:12.4    2.760   20.1   17.6   -9.7      61.60       2.60        F   0.0156     na     na
NGC_1600                 4371    04:31:44.61    -05:03:39.0  115.000   54.1   33.8    3.3       8.30       1.10        F   0.0156     na     na
NGC_1600                 4371    04:31:50.19    -05:05:38.1  156.000   65.1   57.0    0.0       2.50       0.40        F   0.0156     na     na
NGC_3077                 2076    09:58:20.30    +68:37:57.5 1670.000   57.6   51.5    0.0       2.70       0.40        F   0.0001     na     na
NGC_3077                 2076    09:58:31.82    +68:37:39.2 1613.000   94.8   56.5    0.0       3.10       0.50        F   0.0001     na     na
NGC_3077                 2076    09:58:56.90     +68:46:3.6 1431.000   62.8   47.9    0.0       5.80       0.50        F   0.0001     na     na
NGC_3077                 2076     09:59:0.20    +68:32:23.6 1578.000   19.4   17.5   42.7      33.50       1.40        F   0.0001     na     na
NGC_3077                 2076    09:59:16.42    +68:34:53.4 1434.000   49.8   44.1    0.0       3.50       0.40        F   0.0001     na     na
NGC_3077                 2076    09:59:18.97    +68:33:53.8 1446.000   33.4   17.0  -15.0      56.70       2.10        F   0.0001     na     na
NGC_3077                 2076    09:59:31.96    +68:51:32.6 1312.000   23.0   19.7  -55.9      23.10       1.10        F   0.0001     na     na
NGC_3077                 2076    09:59:33.48     +68:44:7.9 1228.000   23.9   20.7  -53.5      17.60       1.00        F   0.0001     na     na
NGC_3077                 2076     10:00:0.40    +68:31:24.6 1324.000   20.8   16.8    0.0      40.00       1.30        F   0.0001     na     na
NGC_3077                 2076     10:00:6.08    +68:57:51.6 1334.000   38.2   34.3    0.0       5.10       0.40        F   0.0001     na     na
NGC_3077                 2076     10:00:8.71     +68:32:9.8 1261.000   16.8   17.7   49.9      97.60       3.50        F   0.0001     na     na
NGC_3077                 2076    10:00:11.76     +69:05:1.9 1615.000   64.6   46.2    0.0       4.40       0.50        F   0.0001     na     na
NGC_3077                 2076    10:00:17.40     +68:39:8.6 1033.000   37.3   27.8  -12.6       8.50       0.90        F   0.0001     na     na
NGC_3077                 2076    10:00:18.84    +69:04:10.9 1552.000   94.6   52.6    0.0       3.30       0.50        F   0.0001     na     na
NGC_3077                 2076    10:00:30.15    +68:35:40.6 1050.000   31.3   22.5    0.0      11.00       0.50        F   0.0001     na     na
NGC_3077                 2076     10:01:7.13     +68:50:2.8  802.000   19.5   18.0    0.0     136.50       4.10        F   0.0001     na     na
NGC_3077                 2076    10:01:21.34    +68:39:30.5  697.000   86.7   46.8    0.0       4.50       0.50        F   0.0001     na     na
NGC_3077                 2076     10:02:9.13    +68:58:36.0  952.000   28.2   18.5    0.0      17.70       0.70        F   0.0001     na     na
