# Name                     type           NED_z             D_L            flux             err            nu_0
# --                         --              --             Mpc              Jy              Jy              Hz
IC_4296                       F        0.012500      5.4336e+01       7.8899999       0.7000000       1.400e+09
NGC_0315                      F        0.016500      7.3123e+01       6.6300001       0.6005000       1.400e+09
NGC_0507                      F        0.016500      8.3866e+01       0.0988000       0.0046000       1.400e+09
NGC_0777                      F        0.016700      6.3588e+01       0.0070000       0.0005000       1.400e+09
NGC_1316                      F        0.005900      2.1555e+01       0.2547000       0.0099000       1.400e+09
NGC_1553                      F        0.003600      1.8591e+01       0.0068000       0.0011000       1.400e+09
NGC_1600                      F        0.015600      5.8008e+01       0.0616000       0.0026000       1.400e+09
NGC_3608                     NF        0.004200      2.3032e+01       0.0025000       0.0002500       1.400e+09
NGC_4261                      F        0.007500      3.1809e+01      10.4384003       0.3203000       1.400e+09
NGC_4374                      F        0.003500      1.8451e+01       6.0973997       0.2074000       1.400e+09
NGC_4472                      F        0.003300      1.6364e+01       0.2559000       0.0102000       1.400e+09
NGC_4552                      F        0.001100      1.5401e+01       0.1001000       0.0030000       1.400e+09
NGC_4636                      F        0.003100      1.4696e+01       0.0778000       0.0028000       1.400e+09
NGC_4782                      F        0.015400      6.6872e+01       7.7105999       0.2430000       1.400e+09
NGC_5044                      F        0.009000      3.1361e+01       0.0347000       0.0011000       1.400e+09
NGC_5813                      F        0.006600      3.2402e+01       0.0148000       0.0010000       1.400e+09
NGC_5846                      F        0.005700      2.4998e+01       0.0210000       0.0013000       1.400e+09
NGC_6269                      F        0.034800      1.5451e+02       0.0500000       0.0019000       1.400e+09
NGC_6338                      F        0.027400      1.1993e+02       0.0570000       0.0018000       1.400e+09
NGC_7626                      F        0.011400      5.1680e+01       0.8424000       0.0314000       1.400e+09
UGC_0408                      F        0.014700      6.3481e+01       1.2773000       0.0407000       1.400e+09

## dwarfs no cavs whatever
## 7ZW700                       NF        0.027400      0.0000e+00       0.0025000       0.0002500       1.400e+09
## ESO495-021                    F        0.002900      0.0000e+00       0.0838000       0.0034000       1.400e+09
## NGC_3077                      F        0.000047      0.0000e+00       0.0290000       0.0015000       1.400e+09
## NGC_4325                     NF        0.025700      0.0000e+00       0.0025000       0.0002500       1.400e+09
## NGC_5252                      F        0.023000      0.0000e+00       0.0163000       0.0006000       1.400e+09
## NGC_5253                      F        0.001400      0.0000e+00       0.0847000       0.0034000       1.400e+09
## NGC_5845                     NF        0.004800      0.0000e+00       0.0025000       0.0002500       1.400e+09
## NGC_7619                      F        0.012600      0.0000e+00       0.0310000       0.0022000       1.400e+09
