#Name		4pV	lo	hi	P_buoy	lo	hi	L_X	lo	hi	Md_cool	lo	hi	L_cool	lo      hi	r_cool
#----		-----10^58 erg----	----10^42 erg/s---	----10^42 erg/s---	-----M_sol/yr-----	----10^42 erg/s---	kpc
2A0335+096	1.1	0.3	1.0	24	6	23	338	2	2	29	5	7	13	4	4	135
3C388		5.2	2.1	7.5	200	80	280	27	3	2	3	0	0	2	0	0	55
3C401		11	7	20	650	420	1200	37	7	2	12	6	5	7	3	3	62
4C55.16		12	4	12	420	160	440	640	20	20	70	30	30	70	20	20	162
ABELL_0085	1.2	0.4	1.2	37	11	37	365	20	20	18	9	13	30	10	20	142
ABELL_0133	24	1	11	620	20	260	106	2	2	5	3	3	3	2	2	93
ABELL_0262	0.13	0.03	0.10	9.7	2.6	7.5	11.1	0.3	0.4	0.7	0	0	0.3	0	0	57
ABELL_0478	1.5	0.4	1.1	100	20	80	1440	10	10	40	20	40	40	20	50	150
ABELL_1795	4.7	1.6	6.6	160	50	230	625	11	6	8	7	13	10	9	14	135
ABELL_1835	47	16	50	1800	600	1900	3160	90	60	0	0	0	0	0	0	156
ABELL_2029	4.8	0.1	2.7	87	4	49	1160	10	10	1.9	0	0	3	0	0	140
ABELL_2052	1.7	0.7	2.3	150	70	200	97	1	1	7.0	0.4	0.9	3.4	0.2	0.5	87
ABELL_2199	7.5	1.5	6.6	270	60	250	142	1	1	3	0	0	3	0	0	91
ABELL_2597	3.6	1.5	4.6	67	29	87	470	17	8	30	20	30	30	20	30	128
ABELL_4059	3.0	0.9	2.5	96	35	89	93	1	1	3	2	2	2	1	1	85
Centaurus	0.060	0.015	0.051	7.4	1.8	5.8	28.1	0.3	0.3	2.7	0.1	0.2	4.3	0.2	0.2	54
CygnusA		84	14	70	1300	200	1100	420	4	4	31	6	7	50	10	10	91
HCG62		0.046	0.028	0.073	3.9	2.3	6.1	1.8	0.2	0.2	0.3	0	0	0.1	0	0	33
HerculesA	31	9	40	310	90	400	210	20	10	58	0	0	46	0	0	104
HydraA		64	11	48	430	50	200	282	2	2	16	5	5	13	4	4	109
M84		0.003	0.002	0.005	1.0	0.6	1.5	0.07	0.01	0.01	0.038	0.002	0.002	0.012	0.001	0.003	10
M87		0.020	0.003	0.014	6.0	0.9	4.2	8.30	0.04	0.03	1.2	0.3	0.1	1.1	0.2	0.1	26
MACSJ1423	29	19	52	1400	900	2500	2290	30	30	140	90	110	90	60	70	187
MKW3S		38	4	39	410	44	420	104	2	2	5	2	3	5	2	3	120
MS0735.6+7421	1600	600	1700	6900	2600	7600	450	10	10	20	10	20	12	8	13	141
Perseus		19	5	20	150	30	100	554	2	2	20	8	9	21	7	8	90
PKS0745-191	69	10	56	1700	300	1400	2300	30	30	170	90	90	230	120	120	176
PKS1404-267	0.12	0.05	0.15	20	9	26	27	1	1	5	2	2	3	1	1	83
RBS797		38	15	50	1200	500	1700	3100	130	100	200	180	490	250	220	400	185
Sersic159/03	25	8	26	780	260	820	220	6	6	15	9	9	9	5	5	136
Zw2701		350	200	530	6000	3500	8900	430	30	20	8	0	0	6	0	0	135
Zw3146		380	110	460	5800	1500	6800	3010	90	70	590	170	190	680	150	170	186
