           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    5.66000E-03    1.13200E-02    8.91309E-02    9.52100E-03    3.04000E+00    9.50000E-01    1.67958E-23    5.92828E-01    1.95783E-01    3.55697E-01    1.17470E-01
    1.13200E-02    1.69800E-02    8.13689E-02    6.04944E-03    3.28442E+00    8.05921E-01    1.75516E-23    6.71379E-01    1.72136E-01    4.02827E-01    1.03282E-01
    1.69800E-02    2.26400E-02    7.49155E-02    4.33629E-03    3.77892E+00    5.14428E-01    1.83074E-23    8.04365E-01    1.18986E-01    4.82619E-01    7.13917E-02
    2.26400E-02    2.83100E-02    6.04388E-02    3.72158E-03    4.20854E+00    4.43842E-01    1.90645E-23    1.06628E+00    1.30217E-01    6.39770E-01    7.81303E-02
    2.83100E-02    3.39700E-02    4.72664E-02    3.34241E-03    4.58958E+00    5.37723E-01    1.98222E-23    1.43005E+00    1.95700E-01    8.58032E-01    1.17420E-01
    3.39700E-02    3.96300E-02    3.98253E-02    3.09045E-03    4.87113E+00    6.82609E-01    2.07304E-23    1.72244E+00    2.75910E-01    1.03347E+00    1.65546E-01
    3.96300E-02    4.52900E-02    3.54220E-02    2.78223E-03    5.12178E+00    8.43406E-01    2.16858E-23    1.94651E+00    3.55129E-01    1.16791E+00    2.13077E-01
    4.52900E-02    5.09500E-02    3.36602E-02    2.27675E-03    5.30058E+00    8.71395E-01    2.16609E-23    2.12234E+00    3.77282E-01    1.27340E+00    2.26369E-01
    5.09500E-02    5.66100E-02    2.78267E-02    2.14792E-03    5.44036E+00    8.27255E-01    2.11036E-23    2.70454E+00    4.61201E-01    1.62272E+00    2.76721E-01
    5.66100E-02    6.22700E-02    2.25799E-02    1.96748E-03    5.58014E+00    7.83114E-01    2.05463E-23    3.51134E+00    5.80036E-01    2.10680E+00    3.48021E-01
    6.22700E-02    6.79300E-02    1.87231E-02    1.95023E-03    5.81378E+00    9.00281E-01    2.07386E-23    4.37104E+00    8.15747E-01    2.62262E+00    4.89448E-01
    6.79300E-02    7.35900E-02    1.48790E-02    2.23613E-03    6.05454E+00    1.02969E+00    2.09878E-23    5.66010E+00    1.28461E+00    3.39606E+00    7.70763E-01
    7.35900E-02    7.92600E-02    1.55491E-02    1.84571E-03    6.29552E+00    1.15922E+00    2.12372E-23    5.56561E+00    1.21931E+00    3.33936E+00    7.31583E-01
    7.92600E-02    8.49200E-02    1.35063E-02    1.87581E-03    6.51212E+00    1.29561E+00    2.16482E-23    6.50200E+00    1.57761E+00    3.90120E+00    9.46565E-01
