# Model: wabs(mekal) for r200-core spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = yes; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
IRAS_09104+4109            10445  0.508  5.400  1.42  0.00  0.00 20.61 11.95 43.22  0.38  0.00  0.00   8.37e-04   7.78e-04   9.47e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.0000  0.0000  0.070   15.8   1.18    510
# Model: wabs(mekal) for r500-core spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = yes; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
IRAS_09104+4109            10445  0.508  3.410  1.42  0.00  0.00  9.98  7.96 13.11  0.38  0.00  0.00   7.80e-04   7.52e-04   8.08e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.0000  0.0000  0.065   27.6   1.09    332
# Model: wabs(mekal) for r1000-core spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = yes; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
IRAS_09104+4109            10445  0.508  2.410  1.42  0.00  0.00  8.58  7.19 10.47  0.38  0.00  0.00   7.36e-04   7.12e-04   7.61e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.0000  0.0000  0.060   38.8   1.04    246
# Model: wabs(mekal) for r2500-core spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = yes; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
IRAS_09104+4109            10445  0.508  1.530  1.42  0.00  0.00  8.91  7.50 10.80  0.38  0.00  0.00   6.00e-04   5.81e-04   6.20e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.0000  0.0000  0.050   56.1   1.20    162
# Model: wabs(mekal) for r5000-core spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = yes; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
IRAS_09104+4109            10445  0.508  1.080  1.42  0.00  0.00  7.63  6.56  9.10  0.38  0.00  0.00   4.63e-04   4.46e-04   4.81e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.0000  0.0000  0.037   67.9   1.12    110
# Model: wabs(mekal) for r7500-core spectra; Fit Range = 0.5 - 8.0; Count Rates = 0.5 - 8.0 keV
# Nh frozen = yes; Fe frozen = yes; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
