#ResultsfromquerytoNASA/IPACExtragalacticDatabase(NED),
#whichisoperatedbytheJetPropulsionLaboratory,CaliforniaInstituteof
#Technology,undercontractwiththeNationalAeronauticsandSpaceAdministration.
#queryDateTime:2009-12-03T16:26:02PST
#PhotometricDataforUGC08058
#No.	ObservedPassband	PhotometryMeasurement	Uncertainty	Units	Frequency	NEDPhotometryMeasurement	NEDUncertainty	NEDUnits	Refcode	Significance	Publishedfrequency	FrequencyMode	CoordinatesTargeted	SpatialMode	Qualifiers	Comments
1	2-10keV(ASCA)	6.8E-13		ergss-1cm-2	1.45E+18	4.69E-08		Jy	2005ApJS161185U	nouncertaintyreported	6keV	Broad-bandmeasurement	194.052756.8699(J2000)	Fromfittingtomap		Fromnewrawdata;Extinction-correctedforMilkyWay;NEDfrequencyassignedtomid-pointofbandinkeV
2	0.5-10keVBeppoSAX	7.9E-13		ergs/cm2/s	1.27E+18	6.22E-08		Jy	2004A&A42079B	nouncertaintyreported	5.25keV	Broad-bandmeasurement		Modelleddatum	Reflection-dominatedmodel	Fromnewrawdata;NEDfrequencyassignedtomid-pointofbandinkeV
3	0.5-10keVBeppoSAX	8.2E-13		ergs/cm2/s	1.27E+18	6.46E-08		Jy	2004A&A42079B	nouncertaintyreported	5.25keV	Broad-bandmeasurement		Modelleddatum	Scattering-dominatedmodel	Fromnewrawdata;NEDfrequencyassignedtomid-pointofbandinkeV
4	0.5-10keVBeppoSAX	6.3E-13		ergs/cm2/s	1.27E+18	4.96E-08		Jy	2004A&A42079B	nouncertaintyreported	5.25keV	Broad-bandmeasurement		Modelleddatum	AGNflux;reflection-dominatedmodel	Fromnewrawdata;NEDfrequencyassignedtomid-pointofbandinkeV
5	0.5-10keVBeppoSAX	5.0E-13		ergs/cm2/s	1.27E+18	3.94E-08		Jy	2004A&A42079B	nouncertaintyreported	5.25keV	Broad-bandmeasurement		Modelleddatum	AGNflux;scattering-dominatedmodel	Fromnewrawdata;NEDfrequencyassignedtomid-pointofbandinkeV
6	0.5-10keVBeppoSAX	1.6E-13		ergs/cm2/s	1.27E+18	1.26E-08		Jy	2004A&A42079B	nouncertaintyreported	5.25keV	Broad-bandmeasurement		Modelleddatum	Sbrstflux;reflection-dominatedmodel	Fromnewrawdata;NEDfrequencyassignedtomid-pointofbandinkeV
7	0.5-10keVBeppoSAX	3.2E-13		ergs/cm2/s	1.27E+18	2.52E-08		Jy	2004A&A42079B	nouncertaintyreported	5.25keV	Broad-bandmeasurement		Modelleddatum	Sbrstflux;scattering-dominatedmodel	Fromnewrawdata;NEDfrequencyassignedtomid-pointofbandinkeV
8	0.7-7keV(ASCA)	5.0E-13		ergss-1cm-2	9.31E+17	5.37E-08		Jy	2005ApJS161185U	nouncertaintyreported	3.85keV	Broad-bandmeasurement	194.052756.8699(J2000)	Fromfittingtomap		Fromnewrawdata;Extinction-correctedforMilkyWay;NEDfrequencyassignedtomid-pointofbandinkeV
9	0.7-2keV(ASCA)	0.9E-13		ergss-1cm-2	3.26E+17	2.76E-08		Jy	2005ApJS161185U	nouncertaintyreported	1.35keV	Broad-bandmeasurement	194.052756.8699(J2000)	Fromfittingtomap		Fromnewrawdata;Extinction-correctedforMilkyWay;NEDfrequencyassignedtomid-pointofbandinkeV
10	ROSAT(0.2-2.4keV)	30.9		nJy	3.15E+17	3.09E-08		Jy	1996MNRAS.278.1049R	nouncertaintyreported	1.3keV	Broad-bandmeasurement;syntheticband	125614.24+565225.13(J2000)	Fluxintegratedfrommap		Fromnewrawdata
11	F330W(HST/ACS)	14.54		mag	9.08E+14	5.55E-03		Jy	2007AJ.134648M	nouncertaintyreported	3300A	Broad-bandmeasurement		Fluxinfixedaperture	0.3"radiusaperture	Fromreprocessedrawdata
12	F330W(HST/ACS)	14.43		mag	9.08E+14	6.14E-03		Jy	2007AJ.134648M	nouncertaintyreported	3300A	Broad-bandmeasurement		Fluxinfixedaperture	1"radiusaperture	Fromreprocessedrawdata
13	F330W(HST/ACS)	14.18		mag	9.08E+14	7.73E-03		Jy	2007AJ.134648M	nouncertaintyreported	3300A	Broad-bandmeasurement		Fluxinfixedaperture	4.59"radiusaperture	Fromreprocessedrawdata
14	u(SDSSPSF)AB	15.165	0.016	asinhmag	8.36E+14	3.24E-03	4.77E-05	Jy	2007SDSS6.C0000:	basedoncountstatisticsonly	3585A	Broad-bandmeasurement	194.059295552556.8736997947(J2000)	Modelleddatum	SDSSflags:CHILD-objectispartofablendedparentobject;BAD_RADIAL-somelowS/Nradialpoints;DEBLENDED_AS_PSF-childobjectisunresolved;BINNED1-detectedat>=5sigmainoriginalimagingframe;	Fromnewrawdata
15	U(U_T0)	14.02		mag	8.19E+14	4.46E-03		Jy	1991RC3.9.C0000d	nouncertaintyreported	3660A	Broad-bandmeasurement	125405.0+57837(B1950)	Frommulti-aperturedata		Homogenizedfromnewandpreviouslypublisheddata;Extinction-correctedforinternalandMilkyWayandK-correctionapplied;StandardJohnsonUBVRIfiltersassumed
16	U(Total)	14.1	0.2	mag	8.19E+14	4.15E-03	8.39E-04	Jy	2000AJ.120604S	rmsuncertainty	3660A	Broad-bandmeasurement	125614.2+565226.1(J2000)	Fluxintegratedfrommap		Fromnewrawdata
17	U(U_T)	14.54	0.17	mag	8.19E+14	2.77E-03	4.77E-04	Jy	1991RC3.9.C0000d	rmsuncertainty	3660A	Broad-bandmeasurement	125405.0+57837(B1950)	Frommulti-aperturedata		Homogenizedfromnewandpreviouslypublisheddata;StandardJohnsonUBVRIfiltersassumed
