#ResultsfromquerytoNASA/IPACExtragalacticDatabaseNED,
#whichisoperatedbytheJetPropulsionLaboratory,CaliforniaInstituteof
#Technology,undercontractwiththeNationalAeronauticsandSpaceAdministration.
#queryDateTime2009-06-10T082217PDT
#PhotometricDatafor2MASSiJ0913454+405628
#No.	ObservedPassband	PhotometryMeasurement	Uncertainty	Units	Frequency	NEDPhotometryMeasurement	NEDUncertainty	NEDUnits	Refcode	Significance	Publishedfrequency	FrequencyMode	CoordinatesTargeted	SpatialMode	Qualifiers	Comments
1	6.4keVFeKalpha	8.18		ergscm-2s-1	1.55E+18	5.28E-09		Jy	2000MNRAS.316234R	nouncertaintyreported	6.4keV	Linemeasurementfluxintegratedoverlinelinesmeasuredinemission		Notreportedinpaper		RecalibrateddataOBJ_NAMEmodifiedfrompublishedvalue
2	0.5-10keVXMM	-11.7		logerg/cm2/s	1.27E+18	1.57E-07		Jy	2007A&A471775R	nouncertaintyreported	5.25keV	Broad-bandmeasurement	091345.4+405628J2000	Fluxintegratedfrommap		FromreprocessedrawdataNEDfrequencyassignedtomid-pointofbandinkeV
3	0.5-10keVASCA	2.72		ergscm-2s-1	1.21E+18	2.25E-07		Jy	2000MNRAS.316234R	nouncertaintyreported	5.0keV	Broad-bandmeasurementbroad-bandfluxderivedbyintegrationoverspectrumsyntheticband		Notreportedinpaper		RecalibrateddataExtinction-correctedforinternalandMilkyWayandK-correctionappliedOBJ_NAMEmodifiedfrompublishedvalueNEDfrequencyassignedtomid-pointofbandinkeV
4	uSDSSPSFAB	19.779	0.038	asinhmag	8.36E+14	4.62E-05	1.60E-06	Jy	2007SDSS6.C0000	basedoncountstatisticsonly	3585A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
5	uSDSSCModelAB	19.266		asinhmag	8.36E+14	7.14E-05		Jy	2007SDSS6.C0000	nouncertaintyreported	3585A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
6	uSDSSModelAB	19.032	0.034	asinhmag	8.36E+14	9.19E-05	2.84E-06	Jy	2007SDSS6.C0000	basedoncountstatisticsonly	3585A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
7	gSDSSPSFAB	19.350	0.019	asinhmag	6.17E+14	6.61E-05	1.13E-06	Jy	2007SDSS6.C0000	basedoncountstatisticsonly	4858A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
8	gSDSSCModelAB	18.767		asinhmag	6.17E+14	1.13E-04		Jy	2007SDSS6.C0000	nouncertaintyreported	4858A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
9	gSDSSModelAB	18.530	0.009	asinhmag	6.17E+14	1.41E-04	1.17E-06	Jy	2007SDSS6.C0000	basedoncountstatisticsonly	4858A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildren	Fromnewrawdata
10	rSDSSCModelAB	18.144		asinhmag	4.77E+14	2.01E-04		Jy	2007SDSS6.C0000	nouncertaintyreported	6290A	Broad-bandmeasurement	138.439538110740.9411735897J2000	Modelleddatum	SDSSflagsCHILD-objectispartofablendedparentobjectBAD_RADIAL-somelowS/NradialpointsBINNED1-detectedat>=5sigmainoriginalimagingframeBINNED_CENTER-imagewasbinnedwhilecentroidingBRIGHTEST_GALAXY_CHILD-brightestchildamongoneparent'schildrenCANONICAL_BAND-thisbandwasprimaryusuallyr	Fromnewrawdata
