# Model: proj(wabs(mekal+mekal)) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
IRAS_09104+4109        10445+509 0.0164   0.05  1.58  0.00  0.00  3.00  2.65  4.01  0.31  0.19  0.76   3.36e-04   3.05e-04   3.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.024   0.00   0.94    508
IRAS_09104+4109        10445+509   0.05   0.08  1.58  0.00  0.00  3.35  2.81  4.08  0.39  0.02  0.91   3.20e-04   2.66e-04   3.85e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.020   0.00   0.94    508
IRAS_09104+4109        10445+509   0.08   0.11  1.58  0.00  0.00  4.15  3.32  5.43  0.46  0.06  1.00   3.71e-04   3.13e-04   4.35e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.017   0.00   0.94    508
IRAS_09104+4109        10445+509   0.11   0.15  1.58  0.00  0.00  5.09  3.68  8.31  0.81  0.21  1.70   2.71e-04   2.16e-04   3.21e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.016   0.00   0.94    508
IRAS_09104+4109        10445+509   0.15   0.20  1.58  0.00  0.00  5.95  4.30  8.72  0.31  0.00  0.87   3.17e-04   2.67e-04   3.70e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.016   0.00   0.94    508
IRAS_09104+4109        10445+509   0.20   0.26  1.58  0.00  0.00  5.69  4.42  7.70  0.23  0.00  0.62   4.15e-04   3.64e-04   4.68e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.015   0.00   0.94    508
IRAS_09104+4109        10445+509   0.26   0.36  1.58  0.00  0.00  6.09  4.81  8.54  0.67  0.16  1.24   3.08e-04   2.65e-04   3.52e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.014   0.00   0.94    508
IRAS_09104+4109        10445+509   0.36   0.51  1.58  0.00  0.00 10.56  7.05 16.14  0.00  0.00  0.49   3.42e-04   3.06e-04   3.69e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.014   0.00   0.94    508
IRAS_09104+4109        10445+509   0.51   0.71  1.58  0.00  0.00  6.61  5.06  9.42  0.69  0.34  1.27   2.73e-04   2.34e-04   3.14e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.012   0.00   0.94    508
IRAS_09104+4109        10445+509   0.71   0.95  1.58  0.00  0.00  6.62  5.36  8.91  0.28  0.00  0.68   3.57e-04   3.22e-04   3.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.008   0.00   0.94    508
