# Model: wabs(mekal) for annuli spectra using Abund angr; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                       ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
IRAS_09104+4109             10445+509   0.0164 0.05  1.58  0.00  0.00  3.04  2.95  3.99  0.51  0.39  0.76   3.36e-04   3.05e-04   3.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.024   99.7   1.36     69
IRAS_09104+4109             10445+509   0.05   0.08  1.58  0.00  0.00  3.99  3.66  4.38  0.46  0.28  0.68   4.17e-04   3.84e-04   4.56e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.027   99.5   1.10     68
IRAS_09104+4109             10445+509   0.08   0.11  1.58  0.00  0.00  4.68  4.21  5.24  0.49  0.20  0.71   3.51e-04   3.21e-04   3.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.024   99.0   1.13     67
IRAS_09104+4109             10445+509   0.11   0.15  1.58  0.00  0.00  5.21  4.52  6.11  0.69  0.35  0.91   3.16e-04   2.86e-04   3.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.021   98.5   0.99     60
IRAS_09104+4109             10445+509   0.15   0.20  1.58  0.00  0.00  5.59  4.95  6.37  0.31  0.13  0.63   3.46e-04   3.19e-04   3.70e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.024   97.3   0.92     64
IRAS_09104+4109             10445+509   0.20   0.26  1.58  0.00  0.00  6.39  5.44  7.60  0.24  0.06  0.56   3.23e-04   3.00e-04   3.48e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.020   95.3   0.94     62
IRAS_09104+4109             10445+509   0.26   0.36  1.58  0.00  0.00  7.36  6.19  9.25  0.43  0.09  0.90   3.02e-04   2.75e-04   3.24e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.020   92.2   1.01     63
IRAS_09104+4109             10445+509   0.36   0.51  1.58  0.00  0.00  9.72  7.92 12.54  0.13  0.00  0.56   3.06e-04   2.83e-04   3.30e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.021   86.3   0.98     68
IRAS_09104+4109             10445+509   0.51   0.71  1.58  0.00  0.00  9.81  7.89 12.86  0.55  0.09  1.14   2.46e-04   2.21e-04   2.67e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.023   78.2   1.74     67
IRAS_09104+4109             10445+509   0.71   0.95  1.58  0.00  0.00 10.85  9.26 17.72  0.17  0.00  0.92   1.83e-04   1.57e-04   1.98e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.020   65.2   2.70     61

#bad ann
#IRAS_09104+4109             10445+509   0.0164 0.05  1.58  0.00  0.00  2.94  1.65  3.99  1.04  0.69  1.46   3.36e-04   3.05e-04   3.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.024   99.7   1.36     69
#IRAS_09104+4109             10445+509   0.95   1.25  1.58  0.00  0.00  9.65  8.26 12.72  0.11  0.00  2.12   1.23e-04   0.97e-04   1.48e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.018   51.2   2.70     61
#IRAS_09104+4109             10445+509   1.25   1.85  1.58  0.00  0.00  7.45  4.26 12.72  0.07  0.00  2.12   0.83e-04   0.57e-04   1.18e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.017   31.2   2.70     61
