           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    5.66000E-03    1.13300E-02    9.18824E-02    8.86557E-03    4.77000E+00    4.10000E-01    2.16550E-23    6.99860E-01    9.04366E-02    4.19916E-01    5.42619E-02
    1.13300E-02    1.69900E-02    8.74409E-02    5.17361E-03    4.77245E+00    4.10000E-01    2.17500E-23    7.32572E-01    7.64168E-02    4.39543E-01    4.58501E-02
    1.69900E-02    2.26500E-02    7.06350E-02    3.96015E-03    4.80141E+00    4.10000E-01    2.18450E-23    9.08407E-01    9.27955E-02    5.45044E-01    5.56773E-02
    2.26500E-02    2.83100E-02    5.95666E-02    3.12410E-03    4.83037E+00    4.10000E-01    2.19399E-23    1.07901E+00    1.07659E-01    6.47407E-01    6.45957E-02
    2.83100E-02    3.39800E-02    4.10844E-02    3.26302E-03    4.85935E+00    4.10000E-01    2.20350E-23    1.56701E+00    1.81576E-01    9.40208E-01    1.08946E-01
    3.39800E-02    3.96400E-02    3.44642E-02    3.01180E-03    4.88834E+00    4.10000E-01    2.21300E-23    1.87109E+00    2.26639E-01    1.12266E+00    1.35983E-01
    3.96400E-02    4.53000E-02    3.85062E-02    2.10915E-03    4.96879E+00    4.22315E-01    2.22386E-23    1.69393E+00    1.71281E-01    1.01636E+00    1.02769E-01
    4.53000E-02    5.09600E-02    2.72986E-02    2.29859E-03    5.20204E+00    4.71172E-01    2.23877E-23    2.48490E+00    3.07301E-01    1.49094E+00    1.84381E-01
    5.09600E-02    5.66300E-02    2.82798E-02    1.74774E-03    5.43550E+00    5.20072E-01    2.25369E-23    2.48973E+00    2.83592E-01    1.49384E+00    1.70155E-01
    5.66300E-02    6.22900E-02    2.32334E-02    1.67507E-03    5.66896E+00    5.68972E-01    2.26861E-23    3.13989E+00    3.88020E-01    1.88393E+00    2.32812E-01
    6.22900E-02    6.79500E-02    1.34354E-02    2.35893E-03    5.90222E+00    6.17829E-01    2.28352E-23    5.61620E+00    1.14802E+00    3.36972E+00    6.88811E-01
    6.79500E-02    7.36100E-02    1.67495E-02    1.64724E-03    6.13547E+00    6.66686E-01    2.29843E-23    4.65262E+00    6.81876E-01    2.79157E+00    4.09126E-01
    7.36100E-02    7.92800E-02    1.31154E-02    1.79826E-03    6.36893E+00    7.15586E-01    2.31335E-23    6.12811E+00    1.08630E+00    3.67686E+00    6.51782E-01
    7.92800E-02    8.49400E-02    1.33100E-02    1.55039E-03    6.63434E+00    8.04706E-01    2.35058E-23    6.19054E+00    1.04105E+00    3.71433E+00    6.24632E-01
    8.49400E-02    9.06000E-02    1.18922E-02    1.46698E-03    6.90270E+00    8.97734E-01    2.38998E-23    7.08999E+00    1.27089E+00    4.25399E+00    7.62537E-01
    9.06000E-02    9.62600E-02    1.05049E-02    1.44716E-03    7.17105E+00    9.90763E-01    2.42938E-23    8.20310E+00    1.60048E+00    4.92186E+00    9.60287E-01
    9.62600E-02    1.01930E-01    7.45707E-03    1.72016E-03    7.43964E+00    1.08387E+00    2.46882E-23    1.17972E+01    3.21862E+00    7.07829E+00    1.93117E+00
    1.01930E-01    1.07590E-01    8.81162E-03    1.34624E-03    7.70822E+00    1.17698E+00    2.50826E-23    1.01814E+01    2.19921E+00    6.10887E+00    1.31952E+00
    1.07590E-01    1.13250E-01    7.79782E-03    1.28916E-03    7.97658E+00    1.27001E+00    2.54766E-23    1.17215E+01    2.69040E+00    7.03293E+00    1.61424E+00
    1.13250E-01    1.18910E-01    6.26669E-03    1.38980E-03    8.24493E+00    1.36304E+00    2.58707E-23    1.48465E+01    4.10674E+00    8.90791E+00    2.46405E+00
    1.18910E-01    1.24580E-01    7.30869E-03    1.12198E-03    8.51352E+00    1.45615E+00    2.62650E-23    1.29472E+01    2.97562E+00    7.76830E+00    1.78537E+00
    1.24580E-01    1.30240E-01    5.62484E-03    1.22889E-03    8.78210E+00    1.54926E+00    2.66594E-23    1.70971E+01    4.80097E+00    1.02582E+01    2.88058E+00
    1.30240E-01    1.35900E-01    5.04739E-03    1.21797E-03    9.05046E+00    1.64229E+00    2.70534E-23    1.93493E+01    5.84196E+00    1.16096E+01    3.50518E+00
    1.35900E-01    1.41570E-01    5.64383E-03    9.95744E-04    9.31904E+00    1.73540E+00    2.74478E-23    1.75620E+01    4.50511E+00    1.05372E+01    2.70307E+00
    1.41570E-01    1.47230E-01    2.84068E-03    1.23223E-03    9.46312E+00    1.82359E+00    2.76367E-23    3.51892E+01    1.67028E+01    2.11135E+01    1.00217E+01
    1.47230E-01    1.52890E-01    4.89185E-03    8.83832E-04    9.56241E+00    1.90992E+00    2.77517E-23    2.05631E+01    5.53818E+00    1.23379E+01    3.32291E+00
    1.52890E-01    1.58550E-01    4.99694E-03    9.11490E-04    9.66170E+00    1.99626E+00    2.78666E-23    2.02558E+01    5.58279E+00    1.21535E+01    3.34967E+00
    1.58550E-01    1.64220E-01    4.56437E-03    3.80468E-04    9.76108E+00    2.08268E+00    2.79817E-23    2.23114E+01    5.11087E+00    1.33868E+01    3.06652E+00
