# Model: wabs(mekal) for r2500-core spectra; Fit Range = 0.6 - 10.0; Count Rates = 0.6 - 10.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 1.00; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
2PIGG_J0011.5-2850          5797  2.140  6.380  2.18  0.00  0.00  5.76  5.54  5.99  0.36  0.29  0.44   7.13e-03   6.99e-03   7.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0753  0.0000  0.0000  0.903   70.9   1.28    398
2PIGG_J2227.0-3041          5798  1.525  4.540  1.11  0.00  0.00  3.34  3.22  3.48  0.48  0.40  0.56   3.59e-03   3.48e-03   3.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.0000  0.0000  0.460   71.3   1.17    252
3C_28.0                     3233  0.722  2.160  5.71  0.00  0.00  7.08  6.77  7.42  0.27  0.21  0.34   2.32e-03   2.28e-03   2.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.0000  0.0000  0.248   85.3   1.05    265
3C_295                      2254  0.443  1.310  1.35  0.00  0.00  5.86  5.33  6.48  0.30  0.00  0.00   3.64e-04   3.53e-04   3.73e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.0000  0.0000  0.030   75.9   1.08    108
3C_388                      5295  1.369  4.090  6.11  0.00  0.00  3.36  3.16  3.58  0.57  0.44  0.73   1.16e-03   1.10e-03   1.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.0000  0.0000  0.146   63.3   1.37    221
4C_55.16                    4940  0.623  1.850  4.00  0.00  0.00  5.39  5.20  5.60  0.35  0.29  0.41   1.42e-03   1.40e-03   1.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.0000  0.0000  0.197   46.1   1.05    355
ABELL_0068                  3250  0.820  2.440  4.60  0.00  0.00  7.73  6.97  8.65  0.57  0.39  0.76   2.34e-03   2.25e-03   2.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.0000  0.0000  0.245   77.8   1.17     90
ABELL_0141                  9410  0.730  2.170  1.67  0.00  0.00  9.39  8.51 10.51  0.27  0.12  0.42   1.99e-03   1.93e-03   2.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.0000  0.0000  0.219   81.2   0.99    154
ABELL_0222                  4967  0.730  2.160  2.30  0.00  0.00  4.22  4.01  4.46  0.30  0.22  0.39   1.30e-03   1.26e-03   1.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.0000  0.0000  0.116   70.5   0.90    180
ABELL_0223                 49671  0.795  2.380  2.20  0.00  0.00  6.38  5.88  6.95  0.31  0.19  0.43   9.77e-04   9.45e-04   1.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2070  0.0000  0.0000  0.103   64.3   1.10    189
ABELL_0368                  9412  0.779  2.330  1.75  0.00  0.00 11.88 10.43 13.94  0.95  0.68  1.27   1.88e-03   1.80e-03   1.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.0000  0.0000  0.238   80.0   1.54    124
ABELL_0370                   515  0.558  1.660  3.37  0.00  0.00 12.12 11.22 13.20  0.30  0.00  0.00   1.65e-03   1.63e-03   1.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.0000  0.0000  0.230   76.0   1.16    323
ABELL_0383                  2321  0.754  2.250  4.07  0.00  0.00  5.05  4.79  5.34  0.50  0.39  0.61   2.06e-03   2.00e-03   2.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.0000  0.0000  0.339   53.3   0.96    208
