# Model: wabs(mekal) for total spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.2 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm   Tx2  Tlo2  Thi2      Norm2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   4.10  4.36  0.00  0.00  9.48  7.73 12.25  0.52  0.23  0.84   2.20e-03  0.00  0.00  0.00   0.00e+00  0.5700  0.145   1.16    137
3C_220.1                     839   2.38  1.91  0.00  0.00  2.83  1.46  7.00  0.00  0.00  2.22   3.37e-04  0.00  0.00  0.00   0.00e+00  0.6100  0.031   0.91     43
3C_28.0                     3233   4.10  5.71  0.00  0.00  6.59  6.27  6.95  0.12  0.06  0.19   6.10e-03  0.00  0.00  0.00   0.00e+00  0.1952  0.558   1.07    350
3C_346                      3129   0.98  5.67  0.00  0.00  2.45  1.88  3.21  0.35  0.05  0.73   2.06e-04  0.00  0.00  0.00   0.00e+00  0.1620  0.031   1.07     23
4C_55.16                    4940   2.95  4.00  0.00  0.00  4.41  4.22  4.61  0.29  0.22  0.36   3.09e-03  0.00  0.00  0.00   0.00e+00  0.2420  0.390   1.24    329
ABELL_0133                  2203   2.57  1.56  0.00  0.00  4.26  4.09  4.44  0.36  0.29  0.44   4.51e-03  0.00  0.00  0.00   0.00e+00  0.0558  0.974   1.09    271
ABELL_0267                  3580   4.10  2.74  0.00  0.00  7.91  7.13  8.86  0.26  0.13  0.40   4.85e-03  0.00  0.00  0.00   0.00e+00  0.2300  0.462   1.21    221
ABELL_0370                   515   2.38  3.37  0.00  0.00  7.36  6.84  7.93  0.45  0.36  0.56   2.85e-03  0.00  0.00  0.00   0.00e+00  0.3747  0.461   1.60    293
ABELL_0383                  2321   2.94  4.07  0.00  0.00  4.93  4.58  5.33  0.38  0.26  0.53   4.06e-03  0.00  0.00  0.00   0.00e+00  0.1871  0.689   1.06    191
ABELL_0399                  3230   4.10 11.51  0.00  0.00  7.04  6.81  7.28  0.23  0.18  0.28   1.25e-02  0.00  0.00  0.00   0.00e+00  0.0716  1.317   1.23    403
ABELL_0401                   518   4.10 12.48  0.00  0.00  8.14  7.81  8.48  0.46  0.38  0.54   2.73e-02  0.00  0.00  0.00   0.00e+00  0.0745  3.363   1.53    374
ABELL_0478                  1669   3.39 15.48  0.00  0.00 17.04 16.41 17.83  0.18  0.11  0.22   3.75e-02  0.00  0.00  0.00   0.00e+00  0.0883  4.921   7.45    426
ABELL_0478                  6102   4.10 15.48  0.00  0.00 15.96 14.74 17.45  0.48  0.34  0.61   3.53e-02  0.00  0.00  0.00   0.00e+00  0.0883  3.548   2.09    366
ABELL_0520                  4215   3.84  7.84  0.00  0.00  7.30  7.02  7.60  0.25  0.20  0.30   8.70e-03  0.00  0.00  0.00   0.00e+00  0.2020  0.783   1.16    395
ABELL_0521                   430   3.47  6.17  0.00  0.00  6.10  5.71  6.52  0.36  0.27  0.46   5.84e-03  0.00  0.00  0.00   0.00e+00  0.2533  0.858   1.23    271
ABELL_0576                  3289   3.85  5.57  0.00  0.00  4.00  3.85  4.16  0.27  0.21  0.34   6.77e-03  0.00  0.00  0.00   0.00e+00  0.0385  1.133   1.07    296
