# Model: wabs(mekal) for total spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   0.00  4.36  0.00  0.00  7.69  5.65 11.17  0.44  0.20  0.80   2.47e-03   2.04e-03   3.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.050   1.46     73
3C_220.1                     839   0.16   0.00  1.91  0.00  0.00  1.79  0.56  7.76  0.00  0.00 1000.00   1.51e-03   0.00e+00   3.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.003   0.78     23
3C_28.0                     3233   0.43   0.00  5.71  0.00  0.00  6.31  5.70  7.02  0.10  0.04  0.17   6.28e-03   6.00e-03   6.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.179   1.11    261
3C_346                      3129   0.52   0.00  5.67  0.00  0.00  1.30  0.76  3.74  0.00  0.00 1000.00   7.36e-04   0.00e+00   1.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.004   1.49      4
4C_55.16                    4940   0.35   0.00  4.00  0.00  0.00  3.68  3.35  4.06  0.20  0.12  0.28   3.79e-03   3.52e-03   4.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.085   1.13    240
ABELL_0133                  2203   1.46   0.00  1.56  0.00  0.00  3.95  3.58  4.39  0.42  0.30  0.56   4.64e-03   4.36e-03   4.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.170   1.19    182
ABELL_0267                  3580   0.37   0.00  2.74  0.00  0.00  8.46  6.78 10.90  0.22  0.07  0.38   4.86e-03   4.50e-03   5.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.154   1.20    133
ABELL_0370                   515   0.24   0.00  3.37  0.00  0.00  9.29  7.89 11.17  0.38  0.27  0.51   2.98e-03   2.81e-03   3.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.096   1.08    204
ABELL_0383                  2321   0.45   0.00  4.07  0.00  0.00  4.48  3.80  5.40  0.43  0.27  0.62   4.29e-03   3.85e-03   4.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.135   0.89    102
ABELL_0399                  3230   1.14   0.00 11.51  0.00  0.00  6.53  6.13  6.97  0.22  0.17  0.27   1.30e-02   1.27e-02   1.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.466   1.27    314
ABELL_0401                   518   1.10   0.00 12.48  0.00  0.00  9.27  8.47 10.29  0.40  0.32  0.49   2.73e-02   2.67e-02   2.80e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  1.093   1.01    285
ABELL_0478                  1669   0.93   0.00 15.48  0.00  0.00  6.70  6.47  6.94  0.27  0.25  0.30   4.30e-02   4.24e-02   4.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  1.694   1.36    337
