# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   4.10  4.36  0.00  0.00  9.79  7.97 12.66  0.52  0.52  0.52   2.19e-03   2.10e-03   2.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.146   1.12    144
3C_220.1                     839   0.16   2.38  1.91  0.00  0.00  2.98  1.97  5.66  0.30  0.30  0.30   2.77e-04   2.35e-04   3.32e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.027   0.88     50
3C_28.0                     3233   0.43   4.10  5.71  0.00  0.00  6.76  6.43  7.11  0.12  0.12  0.12   6.05e-03   5.98e-03   6.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.554   1.14    364
3C_346                      3129   0.52   0.98  5.67  0.00  0.00  2.43  2.04  3.01  0.35  0.35  0.35   2.06e-04   1.90e-04   2.22e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.029   0.96     27
4C_55.16                    4940   0.35   2.95  4.00  0.00  0.00  4.74  4.53  4.96  0.29  0.29  0.29   3.00e-03   2.97e-03   3.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.385   1.50    343
ABELL_0133                  2203   1.46   2.57  1.56  0.00  0.00  4.48  4.33  4.65  0.64  0.64  0.64   4.17e-03   4.13e-03   4.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.887   1.19    285
ABELL_0267                  3580   0.37   4.10  2.74  0.00  0.00  7.92  7.14  8.84  0.26  0.26  0.26   4.84e-03   4.75e-03   4.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.459   1.18    234
ABELL_0370                   515   0.24   2.38  3.37  0.00  0.00  7.27  6.77  7.82  0.39  0.39  0.39   2.90e-03   2.86e-03   2.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.412   1.61    307
ABELL_0383                  2321   0.45   2.94  4.07  0.00  0.00  4.98  4.64  5.36  0.38  0.38  0.38   4.05e-03   3.97e-03   4.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.638   1.03    205
ABELL_0399                  3230   1.14   4.10 11.51  0.00  0.00  7.09  6.87  7.34  0.23  0.23  0.23   1.25e-02   1.24e-02   1.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.309   1.23    417
ABELL_0401                   518   1.10   4.10 12.48  0.00  0.00  8.00  7.70  8.32  0.46  0.46  0.46   2.73e-02   2.71e-02   2.75e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  3.333   1.66    388
ABELL_0478                  1669   0.93   3.39 15.48  0.00  0.00 28.23  0.00  0.00  0.31  0.31  0.31   3.81e-02   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.887  14.89    440
ABELL_0478                  6102   0.93   4.10 15.48  0.00  0.00 19.21 17.54 21.04  0.31  0.31  0.31   3.63e-02   3.58e-02   3.68e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.538   2.58    376
ABELL_0520                  4215   0.42   3.84  7.84  0.00  0.00  7.29  7.02  7.58  0.25  0.25  0.25   8.69e-03   8.62e-03   8.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.777   1.17    409
ABELL_0521                   430   0.34   3.47  6.17  0.00  0.00  5.87  5.51  6.27  0.19  0.19  0.19   6.14e-03   6.05e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.811   1.27    285
ABELL_0576                  3289   2.10   3.85  5.57  0.00  0.00  4.19  4.04  4.34  0.46  0.46  0.46   6.33e-03   6.26e-03   6.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.095   1.15    310
ABELL_0644                  2211   1.17   4.10  6.31  0.00  0.00  8.71  8.43  9.00  0.29  0.29  0.29   2.40e-02   2.39e-02   2.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  2.786   1.37    424
ABELL_0665                  3586   0.46   4.10  4.24  0.00  0.00  8.07  7.68  8.50  0.19  0.19  0.19   1.12e-02   1.11e-02   1.13e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  1.084   0.90    364
ABELL_0697                  4217   0.30   4.10  3.34  0.00  0.00  9.89  9.10 10.79  0.23  0.23  0.23   8.91e-03   8.78e-03   9.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.783   1.18    287
ABELL_0773                  5006   0.39   4.10  1.46  0.00  0.00  8.91  8.20  9.74  0.34  0.34  0.34   6.98e-03   6.87e-03   7.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.680   1.01    273
ABELL_0907                  3185   0.54   4.10  5.69  0.00  0.00  5.78  5.56  6.01  0.25  0.25  0.25   7.29e-03   7.21e-03   7.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.722   1.14    380
ABELL_0963                   903   0.41   2.98  1.39  0.00  0.00  6.46  6.15  6.76  0.34  0.34  0.34   6.04e-03   5.99e-03   6.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.980   1.14    328
ABELL_1068                  1652   0.61   3.08  0.71  0.00  0.00  4.70  4.51  4.91  0.42  0.42  0.42   5.38e-03   5.32e-03   5.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.960   1.14    281
