# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   4.10 10.99  6.07 16.28  7.63  6.06 10.10  0.43  0.20  0.70   2.46e-03   2.20e-03   2.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.146   1.10    142
3C_220.1                     839   0.16   2.38 15.38  0.00 39.92  1.62  0.90  4.66  0.24  0.00  1.21   5.07e-04   0.00e+00   1.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.027   0.88     48
3C_28.0                     3233   0.43   4.10  8.32  7.18  9.50  6.08  5.70  6.50  0.14  0.08  0.20   6.30e-03   6.14e-03   6.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.554   1.10    362
3C_346                      3129   0.52   0.98  1.76  0.00  7.18  2.82  2.11  3.88  0.50  0.11  1.47   1.74e-04   1.27e-04   2.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.029   0.98     25
4C_55.16                    4940   0.35   2.95  8.36  7.51  9.23  3.86  3.67  4.07  0.34  0.27  0.40   3.31e-03   3.21e-03   3.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.385   1.28    341
ABELL_0133                  2203   1.46   2.57  2.01  1.41  2.63  4.21  4.00  4.43  0.35  0.28  0.43   4.55e-03   4.41e-03   4.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.887   1.09    283
ABELL_0267                  3580   0.37   4.10  0.73  0.00  2.78  8.77  7.55 10.18  0.27  0.12  0.43   4.70e-03   4.52e-03   4.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.459   1.18    232
ABELL_0370                   515   0.24   2.38  1.06  0.38  1.80  8.93  7.97  9.99  0.50  0.38  0.62   2.71e-03   2.63e-03   2.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.412   1.53    305
ABELL_0383                  2321   0.45   2.94  4.16  3.00  5.34  4.96  4.53  5.47  0.40  0.27  0.55   4.03e-03   3.82e-03   4.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.638   1.04    203
ABELL_0399                  3230   1.14   4.10 12.38 11.63 13.13  6.86  6.58  7.17  0.23  0.18  0.28   1.26e-02   1.24e-02   1.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.309   1.23    415
