# Model: wabs(mekal) for r2500 spectra; Fit Range = 0.3 - 9.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   0.61  4.36  0.00  0.00 10.61  8.62 13.44  0.38  0.09  0.69   1.25e-03   1.17e-03   1.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.091   93.5   1.29     56
3C_220.1                     839   0.00   0.59  1.91  0.00  0.00  6.80  5.67  8.29  0.00  0.00  0.13   8.65e-04   8.26e-04   9.01e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.108   86.3   1.07     57
3C_28.0                     3233   0.00   1.23  5.71  0.00  0.00  3.90  3.76  4.05  0.41  0.34  0.49   3.20e-03   3.11e-03   3.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.332   92.3   1.17    258
3C_346                      3129   0.00   0.98  5.67  0.00  0.00  4.10  3.70  4.55  0.20  0.05  0.36   8.47e-04   8.00e-04   8.97e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.137   61.4   1.28    146
4C_55.16                    4940   0.00   1.04  4.00  0.00  0.00  4.21  4.12  4.31  0.67  0.61  0.73   3.69e-03   3.63e-03   3.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.595   82.4   1.22    350
ABELL_0267                  3580   0.00   1.08  2.74  0.00  0.00  6.79  6.21  7.49  0.40  0.26  0.54   2.92e-03   2.82e-03   3.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.310   93.8   0.97    164
ABELL_0383                  2321   0.00   1.27  4.07  0.00  0.00  3.93  3.79  4.10  0.50  0.42  0.58   5.70e-03   5.55e-03   5.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  1.075   87.1   1.41    238
ABELL_0697                  4217   0.00   0.93  3.34  0.00  0.00  9.06  8.17 10.13  0.44  0.29  0.60   3.55e-03   3.43e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.360   96.0   1.02    180
ABELL_0773                  5006   0.00   1.13  1.46  0.00  0.00  8.53  7.75  9.48  0.39  0.24  0.54   3.51e-03   3.39e-03   3.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.386   94.6   1.07    185
ABELL_0907                  3185   0.00   1.50  5.69  0.00  0.00  5.04  4.90  5.17  0.49  0.43  0.55   7.24e-03   7.12e-03   7.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.833   95.4   1.20    375
ABELL_1361                  2200   0.00   1.87  2.18  0.00  0.00  4.08  3.73  4.48  0.81  0.57  1.08   5.26e-03   4.90e-03   5.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  1.278   80.2   1.13    116
ABELL_1664                  1648   0.00   1.74  8.47  0.00  0.00  3.50  3.36  3.65  0.64  0.55  0.75   7.16e-03   6.91e-03   7.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  1.309   79.2   1.50    203
ABELL_2259                  3245   0.00   1.41  3.70  0.00  0.00  4.94  4.54  5.40  0.31  0.16  0.46   4.14e-03   3.95e-03   4.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.452   92.9   1.02    136
ABELL_2261                  5007   0.00   1.10  3.31  0.00  0.00  7.58  7.14  8.05  0.40  0.31  0.49   6.51e-03   6.37e-03   6.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.686   97.0   0.92    279
ABELL_2409                  3247   0.00   1.54  6.72  0.00  0.00  5.50  5.14  5.90  0.48  0.34  0.63   6.22e-03   5.98e-03   6.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.689   94.4   1.03    171
AC_114                      1562   0.00   0.87  1.44  0.00  0.00  6.99  6.51  7.54  0.31  0.20  0.42   1.23e-03   1.19e-03   1.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.200   75.3   1.32    234
CL_J0542.8-4100              914   0.00   0.58  3.59  0.00  0.00  6.62  5.44  8.27  0.15  0.00  0.47   3.33e-04   3.04e-04   3.61e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.023   81.5   0.94     42
CL_J1113.1-2615              915   0.00   0.55  5.51  0.00  0.00  7.14  5.48  9.61  0.42  0.12  0.79   1.86e-04   1.69e-04   2.01e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.012  100.0   2.93     38
CL_J1226.9+3332              932   0.00   0.51  1.37  0.00  0.00 15.20 10.01 26.32  0.94  0.00  2.27   9.09e-04   7.70e-04   1.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.097   79.3   0.55     26
CL_J2302.8+0844              918   0.00   0.55  5.05  0.00  0.00 15.27 10.70 24.92  0.28  0.00  0.83   1.78e-04   1.62e-04   1.94e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.012  100.0   2.82     43
ESO_3060170                 3189   0.00   5.29  3.43  0.00  0.00  2.47  2.39  2.56  0.48  0.41  0.55   9.68e-03   9.32e-03   1.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0358  1.231   71.6   1.69    292
ESO_5520200                 3206   0.00   5.77  4.29  0.00  0.00  2.34  2.23  2.45  0.67  0.57  0.79   4.36e-03   4.11e-03   4.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0314  0.600   48.9   1.95    308
EXO_0422-086                4183   0.00   5.05  6.22  0.00  0.00  3.28  3.20  3.37  0.64  0.56  0.71   1.94e-02   1.90e-02   2.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0397  2.625   85.7   1.80    322
IRAS_09104+4109              509   0.00   0.70  1.36  0.00  0.00  8.98  7.80 10.52  0.90  0.61  1.21   3.17e-03   3.00e-03   3.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.583   95.4   1.64    113
MS_0440.5+0204              4196   0.00   1.25  9.10  0.00  0.00 14.51 10.40 24.21  0.97  0.23  1.68   2.06e-03   1.85e-03   2.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.326   51.7   1.40     82
OPHIUCHUS                   3200   0.00   3.00 19.84  0.00  0.00 47.12  0.00  0.00  0.00  0.00  0.00   1.25e-01   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280 15.010   51.7  41.58    524
PKS_0745-191                 508   0.00   2.10 40.82  0.00  0.00 13.45 12.51 14.59  1.18  1.03  1.35   5.76e-02   5.62e-02   5.89e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  7.443   94.1   3.27    410
RBS_0797                    2202   0.00   0.80  2.22  0.00  0.00  6.43  5.99  6.94  0.29  0.19  0.39   7.52e-03   7.30e-03   7.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.712   98.4   0.96    180
RX_J0647.7+7015             3584   0.00   0.60  5.18  0.00  0.00 11.05  9.07 14.04  0.55  0.23  0.89   1.40e-03   1.31e-03   1.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.101   93.9   1.00     61
