# Model: wabs(mekal) for total spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
3C_346                      3129   0.13   0.00  5.67  0.00  0.00 79.55  0.00  0.00  0.35  0.35  0.35   1.34e-04   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.002          0.00      0
4C_55.16                    4940   0.00   0.59  4.00  0.00  0.00  4.31  3.93  4.76  0.29  0.29  0.29   3.11e-03   2.90e-03   3.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.060   91.0   1.21    124
ABELL_0267                  3580   0.00   0.62  2.74  0.00  0.00  8.79  6.31 14.69  0.26  0.26  0.26   1.79e-03   1.58e-03   2.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.045   96.4   0.77     32
ABELL_0383                  2321   0.76   0.76  4.07  0.00  0.00  5.03  4.27  5.98  0.38  0.38  0.38   4.24e-03   3.83e-03   4.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.110   93.0   1.41     59
ABELL_0521                   430   0.00   1.40  6.17  0.00  0.00  6.77  5.26  9.37  0.19  0.19  0.19   2.37e-03   2.08e-03   2.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.054   45.8   0.88     53
ABELL_0576                  3289   6.81   6.81  5.57  0.00  0.00  3.46  3.29  3.64  0.46  0.46  0.46   1.97e-02   1.90e-02   2.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.606   31.4   0.98    290
ABELL_0963                   903   0.00   1.69  1.39  0.00  0.00  6.61  5.86  7.47  0.34  0.34  0.34   6.32e-03   6.00e-03   6.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.173   75.3   1.12    172
ABELL_1068                  1652   1.90   1.90  0.71  0.00  0.00  3.76  3.48  4.10  0.42  0.42  0.42   1.07e-02   1.00e-02   1.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.267   81.6   1.01    179
ABELL_1204                  2205   1.52   1.52  1.44  0.00  0.00  3.51  3.22  3.86  0.35  0.35  0.35   8.72e-03   8.01e-03   9.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.161   95.2   0.99    123
ABELL_1361                  2200   1.19   1.19  2.18  0.00  0.00  3.54  2.84  4.77  0.61  0.61  0.61   5.03e-03   4.13e-03   6.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.134   86.2   0.91     20
ABELL_1664                  1648   1.09   0.00  8.47  0.00  0.00 15.89 10.05 36.41  0.11  0.11  0.11   5.35e-03   5.11e-03   5.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.203 -  1.0914E-02   1.57     56
ABELL_1664                  1648   1.09   1.09  8.47  0.00  0.00  3.35  2.87  3.97  0.11  0.11  0.11   7.38e-03   6.35e-03   8.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.153   87.4   0.96     46
ABELL_1758                  2213   0.00   1.39  1.09  0.00  0.00  7.14  6.03  8.62  0.20  0.20  0.20   3.49e-03   3.22e-03   3.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.076   60.5   1.06    107
ABELL_1942                  3290   0.00   1.37  2.75  0.00  0.00  5.12  3.99  7.02  0.27  0.27  0.27   1.19e-03   1.00e-03   1.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.023   73.8   0.83     46
ABELL_1991                  3193   2.66   0.00  2.43  0.00  0.00  1.99  1.90  2.08  0.30  0.30  0.30   1.26e-02   1.20e-02   1.34e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.221   63.2   1.44    195
ABELL_2104                   895   2.62   2.62  9.04  0.00  0.00  7.02  6.41  7.74  0.32  0.32  0.32   8.86e-03   8.57e-03   9.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.280   49.6   1.07    261
ABELL_2124                  3238   3.13   3.13  1.71  0.00  0.00  3.68  3.16  4.38  0.30  0.30  0.30   4.67e-03   4.19e-03   5.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.138   -1.4   1.11    113
ABELL_2218                  1666   2.02   2.02  3.12  0.00  0.00  8.37  7.21  9.89  0.30  0.30  0.30   6.21e-03   5.91e-03   6.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.182   90.3   0.83    161
ABELL_2390                  4193   0.00   1.79  6.71  0.00  0.00  7.59  7.23  7.99  0.25  0.25  0.25   1.56e-02   1.52e-02   1.59e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.391   81.9   0.87    291
ABELL_2550                  2225   1.39   1.39  2.03  0.00  0.00  1.85  1.53  2.27  0.30  0.30  0.30   1.74e-03   1.30e-03   2.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543  0.016   26.3   1.39     41
ABELL_2554                  1696   3.02   3.02  2.04  0.00  0.00  4.27  3.52  5.50  0.44  0.44  0.44   4.53e-03   3.98e-03   5.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.130   -7.4   0.97    100
ABELL_2556                  2226   3.09   3.09  2.02  0.00  0.00  2.66  2.47  2.87  0.34  0.34  0.34   1.23e-02   1.14e-02   1.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.254   49.3   1.01    161
