# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
1RXS_J2129.4-0741           3595   0.16   0.00  4.36  0.00  0.00  5.05  4.39  5.88  0.52  0.52  0.52   2.11e-03   2.01e-03   2.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.145   1.55    442
3C_220.1                     839   0.16   0.00  1.91  0.00  0.00  1.49  1.25  1.90  0.30  0.30  0.30   2.15e-04   1.60e-04   2.52e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.026   1.06    442
3C_28.0                     3233   0.43   0.00  5.71  0.00  0.00  6.62  6.31  6.97  0.12  0.12  0.12   6.06e-03   5.98e-03   6.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.554   1.10    442
3C_346                      3129   0.52   0.00  5.67  0.00  0.00  1.71  1.52  2.01  0.35  0.35  0.35   1.67e-04   1.48e-04   1.79e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.029   0.57    442
4C_55.16                    4940   0.35   0.00  4.00  0.00  0.00  4.62  4.41  4.83  0.29  0.29  0.29   3.01e-03   2.97e-03   3.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.385   1.53    442
ABELL_0133                  2203   1.46   0.00  1.56  0.00  0.00  4.31  4.17  4.46  0.64  0.64  0.64   4.14e-03   4.10e-03   4.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.887   1.19    442
ABELL_0267                  3580   0.37   0.00  2.74  0.00  0.00  6.44  5.92  7.04  0.26  0.26  0.26   4.82e-03   4.72e-03   4.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.459   1.23    442
ABELL_0370                   515   0.24   0.00  3.37  0.00  0.00  6.91  6.46  7.42  0.39  0.39  0.39   2.89e-03   2.85e-03   2.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.411   1.54    442
ABELL_0383                  2321   0.45   0.00  4.07  0.00  0.00  4.16  3.91  4.43  0.38  0.38  0.38   4.01e-03   3.93e-03   4.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.638   1.28    442
ABELL_0399                  3230   1.14   0.00 11.51  0.00  0.00  7.06  6.83  7.30  0.23  0.23  0.23   1.25e-02   1.24e-02   1.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.309   1.25    442
ABELL_0401                   518   1.10   0.00 12.48  0.00  0.00  7.94  7.64  8.25  0.46  0.46  0.46   2.73e-02   2.71e-02   2.75e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  3.333   1.54    442
ABELL_0478                  1669   0.93   0.00 15.48  0.00  0.00 28.18  0.00  0.00  0.31  0.31  0.31   3.81e-02   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.887  14.86    442
ABELL_0478                  6102   0.93   0.00 15.48  0.00  0.00 18.48 16.91 20.27  0.31  0.31  0.31   3.60e-02   3.56e-02   3.65e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.540   2.40    442
ABELL_0520                  4215   0.42   0.00  7.84  0.00  0.00  7.23  6.96  7.51  0.25  0.25  0.25   8.69e-03   8.62e-03   8.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.777   1.18    442
ABELL_0521                   430   0.34   0.00  6.17  0.00  0.00  5.57  5.24  5.92  0.19  0.19  0.19   6.14e-03   6.05e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.811   1.17    442
ABELL_0576                  3289   2.10   0.00  5.57  0.00  0.00  4.01  3.87  4.15  0.46  0.46  0.46   6.30e-03   6.24e-03   6.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.095   1.39    442
ABELL_0644                  2211   1.17   0.00  6.31  0.00  0.00  8.66  8.39  8.95  0.29  0.29  0.29   2.40e-02   2.38e-02   2.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  2.786   1.39    442
ABELL_0665                  3586   0.46   0.00  4.24  0.00  0.00  7.87  7.49  8.28  0.19  0.19  0.19   1.12e-02   1.10e-02   1.13e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  1.084   0.91    442
ABELL_0697                  4217   0.30   0.00  3.34  0.00  0.00  8.72  8.08  9.45  0.23  0.23  0.23   8.86e-03   8.73e-03   8.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.783   1.26    442
ABELL_0773                  5006   0.39   0.00  1.46  0.00  0.00  7.89  7.30  8.56  0.34  0.34  0.34   6.91e-03   6.80e-03   7.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.680   1.15    442
ABELL_0907                  3185   0.54   0.00  5.69  0.00  0.00  5.68  5.47  5.90  0.25  0.25  0.25   7.29e-03   7.22e-03   7.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.722   1.19    442
ABELL_0963                   903   0.41   0.00  1.39  0.00  0.00  6.28  6.00  6.58  0.34  0.34  0.34   6.04e-03   5.98e-03   6.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.980   1.09    442
ABELL_1068                  1652   0.61   0.00  0.71  0.00  0.00  4.43  4.25  4.62  0.42  0.42  0.42   5.36e-03   5.30e-03   5.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.960   1.26    442
ABELL_1204                  2205   0.49   0.00  1.44  0.00  0.00  3.26  3.10  3.45  0.35  0.35  0.35   3.74e-03   3.66e-03   3.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.370   1.52    442
ABELL_1361                  2200   0.71   0.00  2.18  0.00  0.00  4.10  3.65  4.66  0.61  0.61  0.61   3.48e-03   3.36e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.750   0.97    442
ABELL_1413                  5003   0.58   0.00  2.19  0.00  0.00  7.74  7.47  8.02  0.21  0.21  0.21   1.06e-02   1.05e-02   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.955   1.06    442
ABELL_1650                  4178   0.97   0.00  1.62  0.00  0.00  5.65  5.49  5.83  0.40  0.40  0.40   1.19e-02   1.18e-02   1.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  2.043   1.29    442
ABELL_1651                  4185   0.98   0.00  2.02  0.00  0.00  5.88  5.60  6.19  0.32  0.32  0.32   1.63e-02   1.61e-02   1.65e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  1.929   1.22    442
ABELL_1664                  1648   0.65   0.00  8.47  0.00  0.00  3.48  3.25  3.74  0.11  0.11  0.11   5.73e-03   5.58e-03   5.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.789   1.11    442
