# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   1.69  0.00  0.00 14.06 11.02  8.23 14.60  0.38  0.11  0.66   1.85e-03   1.74e-03   2.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.092   80.0   0.98     63
3C_220.1                     839   0.01   1.46 85.67  0.00 212.39  2.66  1.17 10.58  0.00  0.00  0.71   9.24e-04   0.00e+00   6.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.018   61.5   1.38     22
3C_28.0                     3233   0.02   2.30  0.00  0.00  8.22  7.13  6.43  7.90  0.24  0.16  0.33   3.51e-03   3.40e-03   3.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.169   87.0   0.88    215
3C_295                      2254   0.01   1.64  0.00  0.00  4.74  6.02  5.31  6.87  0.35  0.23  0.48   1.01e-03   9.68e-04   1.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.046   79.6   0.93    126
3C_388                      5295   0.05   4.10  0.00  0.00 27.61  3.34  2.89  3.85  0.64  0.36  0.98   2.13e-03   1.89e-03   2.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.082   68.9   0.95    127
4C_55.16                    4940   0.02   2.02 19.38  3.52 35.94  5.00  4.43  5.67  0.43  0.36  0.51   3.28e-03   2.96e-03   3.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.158   58.3   0.79    253
ABELL_0068                  3250   0.02   3.01  0.00  0.00 19.57  9.53  7.42 12.33  0.52  0.28  0.81   4.29e-03   4.03e-03   4.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.229   79.7   1.14     84
ABELL_0085                   904   0.07   4.81 24.12 16.01 32.45  6.28  5.95  6.63  0.42  0.38  0.45   4.02e-02   3.89e-02   4.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.750   94.2   1.14    343
ABELL_0133                  2203   0.07   2.57  0.00  0.00 22.09  4.69  4.12  5.06  0.56  0.45  0.67   6.93e-03   6.72e-03   7.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.348   78.0   0.99    231
ABELL_0267                  3580   0.02   2.67  0.00  0.00  8.71  9.95  8.33 12.26  0.37  0.19  0.55   3.93e-03   3.75e-03   4.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.204   83.3   1.10    129
