# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   1.69  4.36  0.00  0.00 10.35  8.23 13.51  0.52  0.52  0.52   1.85e-03   1.76e-03   1.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.092   80.0   0.97     65
3C_220.1                     839   0.01   1.46  1.91  0.00  0.00  6.56  2.93 32.73  0.30  0.30  0.30   3.04e-04   2.38e-04   4.30e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.018   61.5   1.38     24
3C_28.0                     3233   0.02   2.30  5.71  0.00  0.00  7.06  6.44  7.81  0.12  0.12  0.12   3.68e-03   3.56e-03   3.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.169   87.0   0.90    217
3C_295                      2254   0.01   1.64  1.35  0.00  0.00  5.92  5.25  6.74  0.36  0.36  0.36   1.02e-03   9.70e-04   1.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.046   79.6   0.92    128
4C_55.16                    4940   0.02   2.02  4.00  0.00  0.00  5.68  5.31  6.10  0.29  0.29  0.29   3.08e-03   3.00e-03   3.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.158   58.3   0.84    255
ABELL_0068                  3250   0.02   3.01  4.60  0.00  0.00  9.20  7.45 12.03  0.30  0.30  0.30   4.55e-03   4.32e-03   4.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.229   79.7   1.14     86
ABELL_0133                  2203   0.07   2.57  1.56  0.00  0.00  4.62  4.30  4.99  0.64  0.64  0.64   6.86e-03   6.64e-03   7.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.348   78.0   0.99    233
ABELL_0267                  3580   0.02   2.67  2.74  0.00  0.00  9.75  8.16 12.01  0.26  0.26  0.26   4.05e-03   3.90e-03   4.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.204   83.3   1.10    131
ABELL_0370                   515   0.02   1.96  3.37  0.00  0.00 20.75 15.99 29.35  0.39  0.39  0.39   2.42e-03   2.36e-03   2.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.152   74.8   1.08    234
ABELL_0383                  2321   0.02   2.39  4.07  0.00  0.00  5.46  4.86  6.21  0.38  0.38  0.38   4.49e-03   4.27e-03   4.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.235   64.2   0.90    140
ABELL_0399                  3230   0.06   6.65 11.51  0.00  0.00  8.95  8.44  9.51  0.23  0.23  0.23   1.98e-02   1.95e-02   2.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.918   82.2   1.00    347
ABELL_0478                  1669   0.05   3.39 30.90  0.00  0.00  7.63  7.42  7.85  0.31  0.31  0.31   5.24e-02   5.20e-02   5.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.648   86.6   1.14    351
ABELL_0478                  6102   0.05   6.07 30.90  0.00  0.00  8.65  8.10  9.26  0.31  0.31  0.31   5.60e-02   5.51e-02   5.69e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.603   91.5   1.01    326
ABELL_0496                  3361   0.12   2.46  4.57  0.00  0.00  5.69  5.17  6.33  0.47  0.47  0.47   1.39e-02   1.34e-02   1.44e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  0.721   89.9   1.01    172
ABELL_0520                  4215   0.02   3.08  7.84  0.00  0.00 10.11  9.34 11.01  0.25  0.25  0.25   6.94e-03   6.83e-03   7.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.342   86.5   1.05    322
ABELL_0521                   430   0.02   2.48  6.17  0.00  0.00  9.09  7.64 11.05  0.19  0.19  0.19   4.04e-03   3.90e-03   4.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.228   49.5   1.17    176
ABELL_0576                  3289   0.11   3.91  5.57  0.00  0.00  4.50  4.19  4.85  0.46  0.46  0.46   9.49e-03   9.17e-03   9.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.442   60.9   0.95    257
ABELL_0586                   530   0.02   3.82  5.40  0.00  0.00  8.48  7.21 10.37  0.30  0.30  0.30   7.15e-03   6.85e-03   7.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.355   82.0   0.88    129
ABELL_0611                  3194   0.02   2.25  4.99  0.00  0.00  8.19  7.23  9.36  0.19  0.19  0.19   3.57e-03   3.46e-03   3.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.199   54.2   1.00    180
ABELL_0644                  2211   0.06   6.38  6.31  0.00  0.00  8.23  7.85  8.65  0.29  0.29  0.29   3.57e-02   3.52e-02   3.61e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.682   89.7   1.09    343
ABELL_0665                  3586   0.02   3.56  4.24  0.00  0.00  9.91  8.99 11.00  0.19  0.19  0.19   9.67e-03   9.48e-03   9.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.477   87.7   0.95    276
ABELL_0697                  4217   0.02   2.66  3.34  0.00  0.00 12.30 10.62 14.51  0.23  0.23  0.23   7.26e-03   7.10e-03   7.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.369   89.4   1.04    190
ABELL_0773                  5006   0.02   3.13  1.46  0.00  0.00  9.67  8.40 11.38  0.34  0.34  0.34   6.03e-03   5.85e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.306   84.0   1.10    178
ABELL_0781                   534   0.02   2.79  1.90  0.00  0.00  7.53  5.73 11.18  0.30  0.30  0.30   2.49e-03   2.28e-03   2.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.123   74.1   1.58     53
ABELL_0907                  3185   0.02   3.19  5.69  0.00  0.00  7.00  6.55  7.49  0.25  0.25  0.25   7.25e-03   7.09e-03   7.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.339   88.0   1.05    294
ABELL_0963                   903   0.02   2.87  1.39  0.00  0.00  6.98  6.41  7.64  0.34  0.34  0.34   6.25e-03   6.09e-03   6.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.349   64.9   1.02    260
ABELL_1060                  2220   0.32   3.66  4.96  0.00  0.00  3.32  3.02  3.70  0.37  0.37  0.37   2.79e-03   2.60e-03   3.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  0.093   91.6   1.32     96
ABELL_1068                  1652   0.03   3.05  0.71  0.00  0.00  5.10  4.67  5.61  0.42  0.42  0.42   6.68e-03   6.43e-03   6.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.344   68.4   1.03    217
ABELL_1204                  2205   0.02   2.52  1.44  0.00  0.00  4.38  3.98  4.85  0.35  0.35  0.35   4.08e-03   3.86e-03   4.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.165   88.3   0.92    127
ABELL_1361                  2200   0.03   2.94  2.18  0.00  0.00  6.43  4.11 10.70  0.61  0.61  0.61   4.36e-03   3.91e-03   5.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.254   57.2   0.95     36
ABELL_1423                   538   0.02   3.17  1.60  0.00  0.00  7.55  5.99  9.88  0.30  0.30  0.30   3.85e-03   3.61e-03   4.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.187   78.3   0.64     77
ABELL_1650                  4178   0.05   2.94  1.62  0.00  0.00  6.62  6.20  7.06  0.40  0.40  0.40   1.46e-02   1.43e-02   1.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.769   81.6   0.93    287
ABELL_1651                  4185   0.05   6.31  2.02  0.00  0.00  7.93  7.15  8.85  0.32  0.32  0.32   2.18e-02   2.12e-02   2.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  1.058   86.6   1.21    250
ABELL_1664                  1648   0.03   2.94  8.47  0.00  0.00  5.31  4.58  6.26  0.11  0.11  0.11   6.42e-03   6.00e-03   6.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.304   61.3   1.00    104
ABELL_1682                  3244   0.02   3.10  1.10  0.00  0.00 10.46  6.79 21.95  0.30  0.30  0.30   3.47e-03   3.21e-03   3.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.179   64.0   1.35     50
ABELL_1689                  5004   0.02   3.87  1.87  0.00  0.00 13.93 12.29 15.98  0.25  0.25  0.25   1.65e-02   1.63e-02   1.67e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.847   91.1   1.18    292
ABELL_1758                  2213   0.02   2.51  1.09  0.00  0.00 28.12 22.02 39.59  0.20  0.20  0.20   5.27e-03   5.14e-03   5.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.303   58.3   1.15    285
ABELL_1763                  3591   0.02   3.17  0.82  0.00  0.00 12.12 10.13 15.59  0.16  0.16  0.16   5.66e-03   5.51e-03   5.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.287   84.7   0.92    169
ABELL_1835                   495   0.02   2.64  2.36  0.00  0.00 11.02 10.00 12.24  0.36  0.36  0.36   1.30e-02   1.28e-02   1.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.791   86.5   1.02    275
ABELL_1942                  3290   0.02   2.37  2.75  0.00  0.00  5.57  4.83  6.54  0.27  0.27  0.27   1.36e-03   1.28e-03   1.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.058   70.1   1.03    125
ABELL_1991                  3193   0.07   3.03  2.43  0.00  0.00  2.83  2.65  3.05  0.30  0.30  0.30   5.32e-03   5.04e-03   5.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.183   60.7   0.98    201
ABELL_2029                  4977   0.06   3.00  3.26  0.00  0.00  8.71  8.50  8.93  0.42  0.42  0.42   4.28e-02   4.25e-02   4.30e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  2.368   91.0   1.17    349
ABELL_2029                  6101   0.06   6.68  3.26  0.00  0.00  9.92  9.22 10.77  0.42  0.42  0.42   5.45e-02   5.37e-02   5.52e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  2.742   91.9   1.05    327
ABELL_2034                  2204   0.03   4.91  1.58  0.00  0.00 10.08  9.33 10.99  0.29  0.29  0.29   1.09e-02   1.07e-02   1.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.541   84.6   1.00    338
ABELL_2104                   895   0.02   2.45 14.93  0.00  0.00  8.58  7.96  9.33  0.32  0.32  0.32   7.04e-03   6.92e-03   7.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.399   69.7   1.05    297
ABELL_2111                   544   0.02   2.90  2.20  0.00  0.00 10.81  7.91 15.64  0.30  0.30  0.30   3.30e-03   3.13e-03   3.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.170   76.3   0.90     73
ABELL_2124                  3238   0.07   2.77  1.71  0.00  0.00  6.23  5.07  7.81  0.30  0.30  0.30   2.70e-03   2.53e-03   2.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.143   54.1   1.18    110
ABELL_2147                  3211   0.11   7.77  3.38  0.00  0.00  5.49  5.02  6.04  0.35  0.35  0.35   1.57e-02   1.51e-02   1.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.658   77.8   1.07    284
ABELL_2163                  1653   0.02   4.54 12.04  0.00  0.00 20.92 19.52 22.67  0.22  0.22  0.22   2.66e-02   2.64e-02   2.68e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  1.263   90.0   1.29    359
ABELL_2199                   497   0.13   2.89  0.88  0.00  0.00  4.68  4.45  4.93  0.43  0.43  0.43   2.34e-02   2.29e-02   2.40e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  1.125   90.6   1.07    263
ABELL_2204                   499   0.02   3.09  5.84  0.00  0.00 10.37  9.34 11.68  0.38  0.38  0.38   2.11e-02   2.07e-02   2.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.256   83.6   0.93    242
ABELL_2204                  6104   0.02   4.27  5.84  0.00  0.00 10.72  9.43 12.24  0.30  0.30  0.30   2.08e-02   2.03e-02   2.12e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.070   90.0   1.00    246
ABELL_2218                  1666   0.02   3.34  3.12  0.00  0.00  9.95  9.01 11.15  0.30  0.30  0.30   6.55e-03   6.43e-03   6.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.331   87.6   0.91    278
ABELL_2219                   896   0.02   2.99  1.76  0.00  0.00 12.39 11.46 13.49  0.27  0.27  0.27   1.39e-02   1.38e-02   1.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.835   75.3   1.00    334
ABELL_2244                  4179   0.04   2.96  2.09  0.00  0.00  5.96  5.73  6.20  0.29  0.29  0.29   1.53e-02   1.51e-02   1.56e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  0.776   79.9   1.06    332
