# Model: wabs(mekal) for r2500 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.69  3.83  0.00  8.60  9.17  7.31 12.06  0.42  0.20  0.68   2.01e-03   1.83e-03   2.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.141   71.1   1.04     94
3C_220.1                     839   0.00   1.46  0.00  0.00  2.80  7.05  5.37  9.31  0.00  0.00  0.17   9.15e-04   8.64e-04   1.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.088   68.3   0.87     58
3C_28.0                     3233   0.00   2.30  2.74  1.24  4.29  4.88  4.60  5.20  0.30  0.24  0.37   4.67e-03   4.53e-03   4.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.476   83.2   1.03    297
3C_295                      2254   0.00   1.64  0.00  0.00  0.50  4.90  4.63  5.19  0.48  0.39  0.58   1.65e-03   1.60e-03   1.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.133   85.1   1.26    204
3C_388                      5295   0.00   4.10  4.48  2.18  6.88  3.26  3.03  3.51  0.69  0.55  0.85   2.89e-03   2.70e-03   3.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.355   73.2   0.99    224
4C_55.16                    4940   0.00   2.02  3.97  3.03  4.91  4.13  3.98  4.28  0.55  0.50  0.61   4.56e-03   4.45e-03   4.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.603   58.1   0.96    334
ABELL_0068                  3250   0.00   3.01  7.35  3.69 11.22  7.62  6.37  9.35  0.32  0.14  0.52   4.92e-03   4.59e-03   5.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.461   70.3   1.08    147
ABELL_0085                   904   0.00   4.81  1.00  0.60  1.39  5.67  5.57  5.77  0.55  0.53  0.58   4.84e-02   4.79e-02   4.88e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  6.640   95.3   1.54    426
ABELL_0133                  2203   0.00   2.57  0.69  0.09  1.31  3.45  3.37  3.54  0.83  0.77  0.89   1.15e-02   1.12e-02   1.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.487   84.4   1.24    344
ABELL_0267                  3580   0.00   2.67  0.00  0.00  1.29  7.49  6.82  8.26  0.30  0.18  0.44   4.46e-03   4.33e-03   4.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.457   76.1   1.11    199
