# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   1.20  4.36  0.00  0.00  9.71  8.09 12.15  0.41  0.15  0.67   1.67e-03   1.57e-03   1.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.117   87.5   1.04     74
3C_220.1                     839   0.01   1.03  1.91  0.00  0.00  6.75  4.16 12.55  0.00  0.00  0.62   2.91e-04   2.50e-04   3.23e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.027   64.1   0.79     22
3C_28.0                     3233   0.02   1.63  5.71  0.00  0.00  5.18  4.91  5.46  0.30  0.23  0.39   2.91e-03   2.83e-03   2.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.291   90.5   0.96    235
3C_295                      2254   0.01   1.16  1.35  0.00  0.00  5.35  4.94  5.83  0.29  0.19  0.41   9.98e-04   9.64e-04   1.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.077   86.9   1.01    156
3C_388                      5295   0.05   2.90  6.11  0.00  0.00  3.27  3.06  3.51  0.43  0.30  0.59   1.93e-03   1.80e-03   2.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.212   76.2   1.09    173
4C_55.16                    4940   0.02   1.43  4.00  0.00  0.00  4.88  4.72  5.04  0.52  0.45  0.59   2.78e-03   2.73e-03   2.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.372   71.1   0.93    286
ABELL_0068                  3250   0.02   2.13  4.60  0.00  0.00  9.72  8.36 11.54  0.41  0.18  0.65   3.98e-03   3.79e-03   4.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.394   87.3   1.08    126
ABELL_0085                   904   0.07   4.81  3.65  0.00  0.00  5.83  5.75  5.93  0.44  0.41  0.47   3.98e-02   3.95e-02   4.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  5.161   94.2   1.64    426
ABELL_0133                  2203   0.07   2.57  1.56  0.00  0.00  4.31  4.18  4.43  0.55  0.48  0.60   7.26e-03   7.14e-03   7.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.412   78.0   0.97    314
ABELL_0267                  3580   0.02   1.89  2.74  0.00  0.00  6.83  6.26  7.50  0.38  0.25  0.52   3.66e-03   3.54e-03   3.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.369   89.6   1.20    176
ABELL_0370                   515   0.02   1.39  3.37  0.00  0.00 10.56  9.59 11.75  0.45  0.32  0.59   1.91e-03   1.86e-03   1.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.250   79.2   1.06    232
ABELL_0383                  2321   0.02   1.69  4.07  0.00  0.00  4.95  4.67  5.25  0.43  0.32  0.55   4.11e-03   3.97e-03   4.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.626   75.0   1.12    185
ABELL_0399                  3230   0.06   4.71 11.51  0.00  0.00  7.04  6.84  7.26  0.31  0.27  0.36   1.52e-02   1.50e-02   1.53e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.693   87.3   1.15    415
ABELL_0478                  1669   0.05   3.39 30.90  0.00  0.00  7.02  6.92  7.13  0.34  0.31  0.36   5.33e-02   5.30e-02   5.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  6.407   86.6   1.26    428
ABELL_0478                  6102   0.05   4.30 30.90  0.00  0.00  7.27  7.02  7.53  0.47  0.41  0.53   5.07e-02   5.00e-02   5.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.820   95.1   1.02    391
ABELL_0496                  3361   0.12   2.46  4.57  0.00  0.00  5.03  4.83  5.24  0.72  0.62  0.83   1.35e-02   1.32e-02   1.39e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  2.619   89.9   1.05    256
ABELL_0520                  4215   0.02   2.18  7.84  0.00  0.00  6.99  6.71  7.30  0.35  0.29  0.41   5.97e-03   5.88e-03   6.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.576   91.1   1.34    361
ABELL_0521                   430   0.02   1.75  6.17  0.00  0.00  7.31  6.67  8.10  0.48  0.32  0.65   2.67e-03   2.57e-03   2.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.369   55.4   1.11    188
ABELL_0576                  3289   0.11   3.85  5.57  0.00  0.00  4.42  4.28  4.56  0.44  0.38  0.50   9.33e-03   9.15e-03   9.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.578   61.2   0.91    337
ABELL_0586                   530   0.02   2.70  5.40  0.00  0.00  6.28  5.81  6.81  0.49  0.35  0.65   6.83e-03   6.58e-03   7.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.769   87.9   0.90    178
ABELL_0611                  3194   0.02   1.59  4.99  0.00  0.00  6.79  6.33  7.30  0.32  0.22  0.42   3.16e-03   3.08e-03   3.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.401   67.3   1.04    209
ABELL_0644                  2211   0.06   5.14  6.31  0.00  0.00  7.81  7.62  8.01  0.42  0.38  0.47   3.24e-02   3.21e-02   3.27e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.004   92.5   1.15    419
ABELL_0665                  3586   0.02   2.52  4.24  0.00  0.00  7.35  6.98  7.75  0.29  0.22  0.36   8.06e-03   7.92e-03   8.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.836   91.7   1.07    316
ABELL_0697                  4217   0.02   1.88  3.34  0.00  0.00  9.78  8.93 10.77  0.48  0.35  0.61   5.98e-03   5.81e-03   6.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.577   93.4   1.06    220
ABELL_0773                  5006   0.02   2.22  1.46  0.00  0.00  8.08  7.43  8.82  0.37  0.25  0.49   5.30e-03   5.16e-03   5.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.545   89.8   1.03    211
ABELL_0781                   534   0.02   1.97  1.90  0.00  0.00  5.78  4.95  6.89  0.34  0.10  0.61   2.16e-03   1.99e-03   2.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.206   80.5   1.18     68
ABELL_0907                  3185   0.02   2.26  5.69  0.00  0.00  5.60  5.42  5.79  0.46  0.40  0.52   6.66e-03   6.55e-03   6.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.731   92.6   1.17    337
ABELL_0963                   903   0.02   2.03  1.39  0.00  0.00  6.97  6.65  7.32  0.29  0.22  0.37   5.54e-03   5.44e-03   5.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.839   74.6   1.13    299
ABELL_1060                  2220   0.32   3.66  4.96  0.00  0.00  3.29  3.14  3.45  0.40  0.32  0.49   2.75e-03   2.64e-03   2.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  0.330   91.6   1.28    183
ABELL_1068                  1652   0.03   2.16  0.71  0.00  0.00  4.67  4.49  4.85  0.37  0.30  0.43   6.27e-03   6.14e-03   6.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  1.035   77.7   0.92    267
ABELL_1201                  4216   0.02   2.32  1.85  0.00  0.00  5.74  5.34  6.18  0.35  0.24  0.48   3.35e-03   3.24e-03   3.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.496   50.1   1.06    214
ABELL_1204                  2205   0.02   1.78  1.44  0.00  0.00  3.67  3.51  3.85  0.32  0.23  0.41   4.27e-03   4.10e-03   4.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.443   92.7   1.11    181
ABELL_1361                  2200   0.03   2.54  2.18  0.00  0.00  5.14  4.40  6.14  0.29  0.02  0.60   4.52e-03   4.16e-03   4.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.772   61.4   1.10     80
ABELL_1413                  5003   0.03   2.79  2.19  0.00  0.00  7.41  7.20  7.63  0.33  0.29  0.37   1.17e-02   1.15e-02   1.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  1.123   92.8   1.15    402
ABELL_1423                   538   0.02   2.24  1.60  0.00  0.00  6.04  5.36  6.86  0.33  0.16  0.53   3.42e-03   3.24e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.370   84.8   0.95    112
ABELL_1650                  4178   0.05   2.94  1.62  0.00  0.00  6.17  5.99  6.36  0.41  0.36  0.47   1.48e-02   1.46e-02   1.50e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  2.479   81.6   0.92    365
ABELL_1651                  4185   0.05   4.47  2.02  0.00  0.00  6.30  6.01  6.62  0.44  0.35  0.53   1.94e-02   1.90e-02   1.98e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  2.435   91.8   1.13    297
ABELL_1664                  1648   0.03   2.19  8.47  0.00  0.00  4.26  4.00  4.56  0.31  0.20  0.43   5.72e-03   5.49e-03   5.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.824   70.5   1.07    160
ABELL_1682                  3244   0.02   2.19  1.10  0.00  0.00  6.87  5.63  8.58  0.73  0.35  1.20   2.70e-03   2.45e-03   2.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.290   73.2   1.05     61
ABELL_1689                  5004   0.02   2.74  1.87  0.00  0.00  9.53  9.02 10.08  0.36  0.29  0.44   1.57e-02   1.54e-02   1.59e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  1.677   94.8   1.30    345
