# Model: wabs(mekal) for r5000 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.20  4.36  0.00  0.00  9.73  8.19 11.91  0.52  0.52  0.52   1.80e-03   1.74e-03   1.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.128   88.4   1.01     80
3C_220.1                     839   0.00   1.03  1.91  0.00  0.00  6.21  4.91  8.10  0.30  0.30  0.30   8.64e-04   8.11e-04   9.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.084   74.2   1.06     51
3C_28.0                     3233   0.00   1.63  5.71  0.00  0.00  4.43  4.25  4.63  0.12  0.12  0.12   4.20e-03   4.14e-03   4.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.388   92.6   1.24    262
3C_295                      2254   0.00   1.16  1.35  0.00  0.00  4.86  4.59  5.14  0.36  0.36  0.36   1.63e-03   1.60e-03   1.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.125   91.1   1.37    188
4C_55.16                    4940   0.00   1.43  4.00  0.00  0.00  4.16  4.07  4.27  0.29  0.29  0.29   4.62e-03   4.58e-03   4.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.568   78.6   1.22    316
ABELL_0068                  3250   0.00   2.13  4.60  0.00  0.00  9.61  8.30 11.30  0.30  0.30  0.30   4.35e-03   4.23e-03   4.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.423   87.9   0.99    132
ABELL_0133                  2203   0.00   2.57  1.56  0.00  0.00  3.29  3.24  3.35  0.64  0.64  0.64   1.24e-02   1.23e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.487   84.4   1.33    346
ABELL_0267                  3580   0.00   1.89  2.74  0.00  0.00  7.09  6.50  7.78  0.26  0.26  0.26   4.13e-03   4.04e-03   4.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.406   90.3   1.11    184
ABELL_0370                   515   0.00   1.39  3.37  0.00  0.00 10.42  9.49 11.59  0.39  0.39  0.39   2.00e-03   1.97e-03   2.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.260   79.5   1.03    237
ABELL_0383                  2321   0.00   1.69  4.07  0.00  0.00  4.05  3.88  4.22  0.38  0.38  0.38   6.41e-03   6.32e-03   6.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.945   81.2   1.31    215
ABELL_0399                  3230   0.00   4.71 11.51  0.00  0.00  7.09  6.89  7.31  0.23  0.23  0.23   1.60e-02   1.59e-02   1.61e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.757   87.6   1.17    416
