# Model: wabs(mekal) for rmax-70 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   2.46  1.33  0.00  6.09 11.49  8.68 15.64  0.56  0.25  0.93   1.90e-03   1.75e-03   2.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.141   66.9   1.13    100
3C_220.1                     839   0.02   1.64  0.00  0.00 10.49 14.40  5.49 73.90  0.00  0.00  0.83   2.87e-04   2.34e-04   3.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.029   60.0   0.61     36
3C_28.0                     3233   0.03   6.06  2.03  0.90  3.21  7.01  6.60  7.47  0.29  0.23  0.36   9.01e-03   8.81e-03   9.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.912   69.1   1.09    408
3C_295                      2254   0.02   3.66  2.18  0.00  6.58  4.44  3.72  5.34  0.27  0.10  0.46   1.06e-03   9.20e-04   1.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.074   55.0   0.92    265
3C_388                      5295   0.07   6.31  1.48  0.00  4.08  4.01  3.63  4.44  0.59  0.44  0.79   2.74e-03   2.54e-03   2.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.330   60.7   0.91    284
4C_55.16                    4940   0.02   2.95  4.02  2.79  5.25  5.22  4.91  5.57  0.42  0.35  0.49   3.02e-03   2.93e-03   3.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.394   39.1   0.91    352
ABELL_0068                  3250   0.02   4.84  5.58  1.67  9.71  8.30  6.67 10.71  0.30  0.10  0.54   4.88e-03   4.54e-03   5.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.465   62.7   1.14    165
ABELL_0085                   904   0.11   4.81  0.94  0.47  1.42  6.47  6.32  6.64  0.45  0.41  0.48   3.39e-02   3.36e-02   3.43e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  4.558   93.7   1.37    425
ABELL_0133                  2203   0.11   2.56  0.80  0.00  1.76  4.56  4.34  4.79  0.52  0.43  0.61   5.64e-03   5.46e-03   5.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.099   75.7   0.93    297
ABELL_0267                  3580   0.02   4.84  0.00  0.00  0.57  8.33  7.50  9.34  0.47  0.30  0.64   4.75e-03   4.61e-03   4.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.501   65.6   1.14    244
ABELL_0370                   515   0.02   2.58  0.00  0.00  0.17 12.30 10.98 14.05  0.58  0.42  0.73   2.72e-03   2.64e-03   2.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.383   71.2   1.33    334
ABELL_0383                  2321   0.03   2.94  3.40  1.60  5.24  4.97  4.53  5.47  0.44  0.32  0.58   4.12e-03   3.91e-03   4.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.632   54.2   0.96    211
ABELL_0399                  3230   0.08   8.33  7.55  6.87  8.24  7.76  7.47  8.08  0.30  0.25  0.35   2.30e-02   2.27e-02   2.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  2.576   77.3   1.04    427
ABELL_0478                  1669   0.07   3.38 28.57 28.13 29.02  7.80  7.62  8.00  0.35  0.32  0.37   4.50e-02   4.46e-02   4.53e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  5.574   85.4   1.11    426
ABELL_0478                  6102   0.07   6.66 27.47 26.22 28.74  8.24  7.79  8.74  0.50  0.43  0.57   5.02e-02   4.93e-02   5.12e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.900   89.2   1.01    401
ABELL_0496                  3361   0.17   2.46  3.57  2.10  5.09  5.62  5.22  6.08  0.72  0.56  0.90   7.07e-03   6.74e-03   7.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  1.387   88.1   1.09    193
ABELL_0520                  4215   0.03   3.67  1.18  0.16  2.24  9.11  8.54  9.75  0.37  0.30  0.44   7.34e-03   7.21e-03   7.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.766   82.9   1.20    395
ABELL_0521                   430   0.02   3.79  3.43  1.77  5.09  7.37  6.59  8.39  0.43  0.30  0.57   5.32e-03   5.12e-03   5.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.744   39.3   1.10    294
ABELL_0576                  3289   0.15   3.91  4.86  3.90  5.83  4.56  4.35  4.78  0.44  0.37  0.51   8.05e-03   7.81e-03   8.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.374   59.1   0.98    323
ABELL_0586                   530   0.03   4.84  0.00  0.00  1.43  7.23  6.56  7.95  0.51  0.33  0.70   6.99e-03   6.86e-03   7.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.840   76.5   0.84    202
ABELL_0611                  3194   0.02   2.96  2.51  0.78  4.25  8.49  7.49  9.80  0.32  0.19  0.45   3.43e-03   3.31e-03   3.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.453   40.5   1.00    256
ABELL_0644                  2211   0.08   5.81  7.91  7.26  8.58  7.47  7.21  7.74  0.39  0.34  0.43   3.18e-02   3.14e-02   3.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  3.823   90.3   1.08    419
ABELL_0665                  3586   0.03   4.73  1.10  0.00  2.34  8.73  8.10  9.46  0.33  0.26  0.42   1.08e-02   1.06e-02   1.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  1.170   82.2   0.99    362
ABELL_0697                  4217   0.02   4.92  0.00  0.00  0.61 11.21 10.23 12.42  0.44  0.31  0.59   8.27e-03   8.09e-03   8.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.811   75.3   0.95    292
ABELL_0773                  5006   0.03   4.98  0.23  0.00  2.33  8.21  7.28  9.03  0.44  0.31  0.57   6.75e-03   6.57e-03   7.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.704   70.7   0.99    282
ABELL_0781                   534   0.02   4.59  0.00  0.00  2.01  5.13  4.48  5.94  0.34  0.13  0.58   3.31e-03   3.08e-03   3.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.322   63.1   1.20    132
ABELL_0907                  3185   0.04   5.76  0.88  0.00  2.04  6.38  6.03  6.79  0.37  0.30  0.44   7.65e-03   7.47e-03   7.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.861   70.9   1.07    397
ABELL_0963                   903   0.03   3.04  1.04  0.00  2.12  6.72  6.26  7.23  0.28  0.20  0.36   5.99e-03   5.82e-03   6.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.904   61.5   1.11    323
ABELL_1060                  2220   0.18   3.64  3.35  2.38  4.32  3.48  3.38  3.59  0.42  0.38  0.47   1.21e-02   1.18e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  1.491   93.0   1.19    333
ABELL_1068                  1652   0.04   3.08  0.35  0.00  1.53  4.88  4.57  5.16  0.30  0.23  0.38   5.99e-03   5.82e-03   6.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.977   65.1   1.02    279
ABELL_1201                  4216   0.03   2.75  1.41  0.00  3.25  5.67  5.10  6.33  0.37  0.25  0.49   3.67e-03   3.50e-03   3.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.547   43.9   1.10    231
ABELL_1204                  2205   0.03   5.59  0.00  0.00  0.93  3.56  3.35  3.80  0.20  0.10  0.29   4.54e-03   4.36e-03   4.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.450   67.5   1.09    247
ABELL_1361                  2200   0.05   2.94  0.00  0.00  2.69  6.85  5.48  8.85  0.23  0.00  0.65   4.05e-03   3.72e-03   4.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.711   54.4   0.97     75
ABELL_1413                  5003   0.04   2.75  0.00  0.00  0.61  8.17  7.87  8.44  0.33  0.28  0.38   1.03e-02   1.02e-02   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  1.015   92.5   1.07    396
ABELL_1423                   538   0.03   4.26  0.22  0.00  3.81  6.50  5.40  7.53  0.24  0.05  0.43   4.42e-03   4.23e-03   4.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.478   71.0   1.02    152
ABELL_1650                  4178   0.07   2.90  1.46  0.70  2.23  6.21  5.93  6.50  0.38  0.32  0.44   1.29e-02   1.27e-02   1.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  2.139   80.2   0.85    351
ABELL_1651                  4185   0.07   7.28  0.00  0.00  1.02  6.79  6.40  7.16  0.38  0.29  0.48   2.18e-02   2.15e-02   2.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  2.730   82.6   1.26    327
ABELL_1664                  1648   0.05   2.94  9.25  7.06 11.48  4.66  4.17  5.26  0.14  0.03  0.25   6.08e-03   5.72e-03   6.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.828   57.9   0.86    170
ABELL_1682                  3244   0.02   3.77  0.00  0.00  2.33  8.38  6.78 10.96  0.73  0.32  1.21   3.71e-03   3.44e-03   4.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.410   56.6   1.14     92
ABELL_1689                  5004   0.03   4.98  0.00  0.00  0.35 10.21  9.63 10.86  0.42  0.33  0.51   1.58e-02   1.56e-02   1.61e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  1.728   85.7   1.25    367
ABELL_1758                  2213   0.02   3.78  0.00  0.00  0.13 32.52 28.05 38.23  0.61  0.37  0.87   6.96e-03   6.69e-03   7.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.869   43.7   1.37    403
ABELL_1763                  3591   0.03   5.31  0.00  0.00  0.84  7.64  7.07  8.29  0.22  0.11  0.33   7.50e-03   7.33e-03   7.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.786   71.5   1.05    286
ABELL_1795                  5289   0.09   6.58  0.47  0.00  1.25  6.35  6.11  6.61  0.30  0.26  0.35   4.20e-02   4.13e-02   4.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  5.102   91.6   1.17    402
ABELL_1835                   495   0.02   3.15  1.50  0.51  2.50 10.63  9.73 11.70  0.36  0.27  0.45   1.22e-02   1.20e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  1.807   82.3   0.95    336
ABELL_1914                  3593   0.03   5.08  0.00  0.00  0.43 10.01  9.47 10.61  0.30  0.22  0.38   1.79e-02   1.77e-02   1.82e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  1.949   87.8   1.05    361
ABELL_1942                  3290   0.03   5.19  0.00  0.00  0.54  4.28  3.96  4.62  0.20  0.09  0.32   2.47e-03   2.39e-03   2.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.223   44.1   1.04    309
ABELL_1991                  3193   0.11   3.03  0.08  0.00  1.37  2.84  2.70  2.94  0.45  0.38  0.51   3.85e-03   3.76e-03   4.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.670   56.3   0.99    264
ABELL_2029                  4977   0.07   2.98  2.77  2.51  3.04  8.52  8.35  8.68  0.46  0.43  0.49   3.58e-02   3.56e-02   3.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  5.929   90.0   1.21    427
ABELL_2029                  6101   0.07   6.68  1.12  0.22  2.03  9.21  8.68  9.82  0.38  0.31  0.45   4.95e-02   4.87e-02   5.03e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  6.108   90.9   1.01    397
ABELL_2034                  2204   0.05   7.54  0.00  0.00  0.16  7.01  6.80  7.23  0.30  0.25  0.35   1.39e-02   1.37e-02   1.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  1.659   73.3   1.21    427
ABELL_2069                  4965   0.05   6.84  0.43  0.00  1.58  6.75  6.33  7.15  0.31  0.23  0.39   8.77e-03   8.59e-03   9.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.950   61.9   1.02    424
ABELL_2104                   895   0.04   2.41 14.79 13.84 15.73  8.52  8.01  9.12  0.38  0.30  0.46   6.55e-03   6.41e-03   6.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.919   69.4   1.09    361
ABELL_2111                   544   0.02   4.96  0.00  0.00  1.60  7.05  6.13  8.27  0.12  0.00  0.32   4.58e-03   4.37e-03   4.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.486   63.9   1.07    170
ABELL_2124                  3238   0.09   2.77  0.00  0.00  1.46  5.04  4.60  5.48  0.52  0.36  0.71   2.41e-03   2.33e-03   2.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.449   52.2   1.02    179
ABELL_2125                  2207   0.02   3.57  0.00  0.00  1.78  2.63  2.32  2.95  0.13  0.02  0.26   9.74e-04   8.89e-04   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.076   36.2   1.10    239
ABELL_2147                  3211   0.16   7.77  0.00  0.00  0.20  4.44  4.31  4.61  0.33  0.27  0.40   1.61e-02   1.59e-02   1.64e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  1.985   77.1   1.20    361
ABELL_2163                  1653   0.03   6.29 12.67 12.04 13.25 18.08 17.05 19.41  0.15  0.09  0.20   3.03e-02   3.00e-02   3.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  2.750   84.2   1.28    427
ABELL_2199                   497   0.19   2.89  1.65  0.89  2.41  4.52  4.35  4.69  0.43  0.37  0.49   1.41e-02   1.38e-02   1.45e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  2.813   89.1   1.12    313
ABELL_2204                   499   0.04   3.09  4.93  3.80  6.03 10.56  9.59 11.84  0.30  0.19  0.42   1.83e-02   1.79e-02   1.88e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  2.840   81.7   0.98    299
ABELL_2204                  6104   0.04   6.78  0.57  0.00  2.16  9.89  8.88 10.92  0.33  0.21  0.46   2.05e-02   1.99e-02   2.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  2.317   78.0   0.96    331
ABELL_2218                  1666   0.03   6.42  0.00  0.00  0.59  8.21  7.76  8.68  0.24  0.16  0.33   8.34e-03   8.21e-03   8.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.916   74.3   1.02    403
ABELL_2219                   896   0.02   2.97  2.92  2.26  3.58 11.55 10.83 12.36  0.27  0.21  0.34   1.36e-02   1.34e-02   1.38e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  1.988   75.1   0.99    394
ABELL_2244                  4179   0.06   2.95  2.48  1.96  3.01  5.61  5.46  5.78  0.35  0.31  0.39   1.37e-02   1.35e-02   1.39e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  2.180   78.4   1.06    405
ABELL_2255                   894   0.07   7.95  0.00  0.00  0.37  6.36  6.16  6.56  0.28  0.22  0.34   1.68e-02   1.67e-02   1.70e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  2.076   72.1   1.17    427
ABELL_2259                  3245   0.04   4.80  0.00  0.00  2.73  5.58  4.93  6.13  0.31  0.17  0.46   6.16e-03   5.83e-03   6.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.669   72.5   1.06    180
ABELL_2261                  5007   0.03   4.85  0.99  0.00  2.61  7.95  7.27  8.73  0.31  0.23  0.40   9.20e-03   8.94e-03   9.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.918   78.6   0.97    323
ABELL_2294                  3246   0.03   5.08  7.16  4.48  9.96  8.79  7.52 10.52  0.36  0.18  0.55   7.81e-03   7.42e-03   8.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.809   70.6   1.02    213
ABELL_2319                  3231   0.11   7.41  6.07  5.41  6.75 10.95 10.40 11.55  0.36  0.30  0.42   7.01e-02   6.93e-02   7.10e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  8.316   92.9   1.39    422
