# Model: wabs(mekal) for rmax-70 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   2.46  4.36  0.00  0.00 10.07  8.29 12.63  0.50  0.23  0.78   1.98e-03   1.86e-03   2.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.141   66.9   1.13    101
3C_220.1                     839   0.02   1.64  1.91  0.00  0.00 12.23  5.49 51.19  0.00  0.00  0.81   2.94e-04   2.42e-04   3.52e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.029   60.0   0.60     37
3C_28.0                     3233   0.03   6.06  5.71  0.00  0.00  6.11  5.88  6.35  0.30  0.25  0.36   9.48e-03   9.34e-03   9.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.912   69.1   1.15    409
3C_295                      2254   0.02   3.66  1.35  0.00  0.00  4.58  4.12  5.13  0.26  0.10  0.44   1.04e-03   9.78e-04   1.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.074   55.0   0.92    266
3C_388                      5295   0.07   6.31  6.11  0.00  0.00  3.55  3.30  3.82  0.53  0.39  0.70   2.98e-03   2.81e-03   3.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.330   60.7   0.93    285
4C_55.16                    4940   0.02   2.95  4.00  0.00  0.00  5.22  5.02  5.45  0.42  0.35  0.49   3.02e-03   2.95e-03   3.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.394   39.1   0.91    353
ABELL_0068                  3250   0.02   4.84  4.60  0.00  0.00  8.66  7.46 10.28  0.31  0.09  0.55   4.82e-03   4.58e-03   5.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.465   62.7   1.13    166
ABELL_0085                   904   0.11   4.81  3.65  0.00  0.00  5.91  5.82  6.02  0.42  0.39  0.46   3.53e-02   3.50e-02   3.56e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  4.558   93.7   1.57    426
ABELL_0133                  2203   0.11   2.56  1.56  0.00  0.00  4.44  4.28  4.60  0.49  0.42  0.56   5.76e-03   5.63e-03   5.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.099   75.7   0.93    298
ABELL_0267                  3580   0.02   4.84  2.74  0.00  0.00  7.36  6.69  8.18  0.44  0.30  0.60   4.93e-03   4.77e-03   5.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.501   65.6   1.19    245
ABELL_0370                   515   0.02   2.58  3.37  0.00  0.00  9.64  8.85 10.59  0.57  0.45  0.70   2.82e-03   2.75e-03   2.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.383   71.2   1.53    335
ABELL_0383                  2321   0.03   2.94  4.07  0.00  0.00  4.85  4.55  5.17  0.44  0.32  0.57   4.18e-03   4.02e-03   4.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.632   54.2   0.96    212
ABELL_0399                  3230   0.08   8.33 11.51  0.00  0.00  6.69  6.52  6.85  0.29  0.25  0.33   2.42e-02   2.39e-02   2.44e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  2.576   77.3   1.24    428
ABELL_0478                  1669   0.07   3.38 30.90  0.00  0.00  7.17  7.05  7.29  0.33  0.30  0.36   4.63e-02   4.60e-02   4.66e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  5.574   85.4   1.27    427
ABELL_0478                  6102   0.07   6.66 30.90  0.00  0.00  7.41  7.15  7.70  0.48  0.41  0.54   5.21e-02   5.14e-02   5.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.900   89.2   1.06    402
ABELL_0496                  3361   0.17   2.46  4.57  0.00  0.00  5.45  5.14  5.79  0.69  0.54  0.85   7.20e-03   6.95e-03   7.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  1.387   88.1   1.09    194
ABELL_0520                  4215   0.03   3.67  7.84  0.00  0.00  6.96  6.70  7.23  0.35  0.30  0.41   7.98e-03   7.87e-03   8.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.766   82.9   1.46    396
ABELL_0521                   430   0.02   3.79  6.17  0.00  0.00  6.41  5.99  6.89  0.41  0.30  0.53   5.57e-03   5.42e-03   5.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.744   39.3   1.12    295
ABELL_0576                  3289   0.15   3.91  5.57  0.00  0.00  4.45  4.30  4.61  0.42  0.35  0.48   8.18e-03   8.01e-03   8.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.374   59.1   0.98    324
ABELL_0586                   530   0.03   4.84  5.40  0.00  0.00  5.93  5.49  6.44  0.47  0.32  0.64   7.55e-03   7.25e-03   7.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.840   76.5   0.92    203
ABELL_0611                  3194   0.02   2.96  4.99  0.00  0.00  7.43  6.85  8.09  0.31  0.20  0.42   3.57e-03   3.48e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.453   40.5   1.02    257
ABELL_0644                  2211   0.08   5.81  6.31  0.00  0.00  7.95  7.75  8.17  0.40  0.35  0.45   3.12e-02   3.09e-02   3.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  3.823   90.3   1.12    420
ABELL_0665                  3586   0.03   4.73  4.24  0.00  0.00  7.63  7.28  8.02  0.33  0.26  0.40   1.13e-02   1.11e-02   1.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  1.170   82.2   1.04    363
ABELL_0697                  4217   0.02   4.92  3.34  0.00  0.00  9.58  8.80 10.47  0.40  0.28  0.51   8.62e-03   8.42e-03   8.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.811   75.3   1.02    293
ABELL_0773                  5006   0.03   4.98  1.46  0.00  0.00  7.78  7.19  8.46  0.43  0.31  0.56   6.86e-03   6.67e-03   7.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.704   70.7   0.99    283
ABELL_0781                   534   0.02   4.59  1.90  0.00  0.00  4.80  4.22  5.51  0.35  0.15  0.58   3.41e-03   3.18e-03   3.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.322   63.1   1.21    133
ABELL_0907                  3185   0.04   5.76  5.69  0.00  0.00  5.42  5.22  5.61  0.37  0.31  0.44   8.19e-03   8.03e-03   8.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.861   70.9   1.18    398
ABELL_0963                   903   0.03   3.04  1.39  0.00  0.00  6.60  6.30  6.93  0.28  0.20  0.36   6.02e-03   5.91e-03   6.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.904   61.5   1.11    324
ABELL_1060                  2220   0.18   3.64  4.96  0.00  0.00  3.36  3.29  3.44  0.40  0.36  0.45   1.26e-02   1.23e-02   1.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  1.491   93.0   1.21    334
ABELL_1068                  1652   0.04   3.08  0.71  0.00  0.00  4.80  4.60  5.02  0.30  0.23  0.38   6.04e-03   5.90e-03   6.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.977   65.1   1.02    280
ABELL_1201                  4216   0.03   2.75  1.85  0.00  0.00  5.55  5.18  5.97  0.36  0.25  0.48   3.70e-03   3.58e-03   3.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.547   43.9   1.10    232
ABELL_1204                  2205   0.03   5.59  1.44  0.00  0.00  3.43  3.22  3.65  0.20  0.11  0.30   4.68e-03   4.47e-03   4.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.450   67.5   1.10    248
