# Model: wabs(mekal) for rmax-70 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   2.46  4.36  0.00  0.00 10.07  8.29 12.62  0.52  0.52  0.52   1.97e-03   1.90e-03   2.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.141   66.9   1.12    102
3C_220.1                     839   0.02   1.64  1.91  0.00  0.00 12.02  5.19 58.87  0.30  0.30  0.30   2.75e-04   2.47e-04   3.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.029   60.0   0.60     38
3C_28.0                     3233   0.03   6.06  5.71  0.00  0.00  6.24  6.01  6.50  0.12  0.12  0.12   9.85e-03   9.76e-03   9.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.912   69.1   1.22    410
3C_295                      2254   0.02   3.66  1.35  0.00  0.00  4.58  4.14  5.10  0.36  0.36  0.36   1.01e-03   9.77e-04   1.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.074   55.0   0.91    267
4C_55.16                    4940   0.02   2.95  4.00  0.00  0.00  5.20  4.98  5.44  0.29  0.29  0.29   3.11e-03   3.08e-03   3.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.394   39.1   0.93    354
ABELL_0068                  3250   0.02   4.84  4.60  0.00  0.00  8.66  7.46 10.28  0.30  0.30  0.30   4.82e-03   4.69e-03   4.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.465   62.7   1.13    167
ABELL_0133                  2203   0.11   2.56  1.56  0.00  0.00  4.55  4.41  4.70  0.64  0.64  0.64   5.53e-03   5.48e-03   5.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.099   75.7   0.96    299
ABELL_0267                  3580   0.02   4.84  2.74  0.00  0.00  7.45  6.75  8.31  0.26  0.26  0.26   5.10e-03   5.00e-03   5.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.501   65.6   1.21    246
ABELL_0370                   515   0.02   2.58  3.37  0.00  0.00  9.88  9.01 10.95  0.39  0.39  0.39   2.90e-03   2.86e-03   2.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.383   71.2   1.54    336
ABELL_0383                  2321   0.03   2.94  4.07  0.00  0.00  4.81  4.53  5.13  0.38  0.38  0.38   4.24e-03   4.17e-03   4.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.632   54.2   0.96    213
ABELL_0399                  3230   0.08   8.33 11.51  0.00  0.00  6.70  6.54  6.87  0.23  0.23  0.23   2.45e-02   2.43e-02   2.46e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  2.576   77.3   1.25    429
ABELL_0478                  1669   0.07   3.38 30.90  0.00  0.00  7.17  7.05  7.30  0.31  0.31  0.31   4.65e-02   4.63e-02   4.66e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  5.574   85.4   1.27    428
ABELL_0478                  6102   0.07   6.66 30.90  0.00  0.00  7.46  7.19  7.76  0.31  0.31  0.31   5.37e-02   5.33e-02   5.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.900   89.2   1.11    403
ABELL_0496                  3361   0.17   2.46  4.57  0.00  0.00  5.43  5.10  5.81  0.47  0.47  0.47   7.57e-03   7.46e-03   7.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  1.387   88.1   1.11    195
ABELL_0520                  4215   0.03   3.67  7.84  0.00  0.00  7.05  6.78  7.32  0.25  0.25  0.25   8.14e-03   8.08e-03   8.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.766   82.9   1.48    397
ABELL_0521                   430   0.02   3.79  6.17  0.00  0.00  6.46  6.00  6.96  0.19  0.19  0.19   5.83e-03   5.75e-03   5.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.744   39.3   1.15    296
ABELL_0576                  3289   0.15   3.91  5.57  0.00  0.00  4.48  4.33  4.63  0.46  0.46  0.46   8.08e-03   8.01e-03   8.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.374   59.1   0.99    325
ABELL_0586                   530   0.03   4.84  5.40  0.00  0.00  5.90  5.44  6.44  0.30  0.30  0.30   7.84e-03   7.68e-03   8.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.840   76.5   0.93    204
ABELL_0611                  3194   0.02   2.96  4.99  0.00  0.00  7.52  6.91  8.19  0.19  0.19  0.19   3.66e-03   3.60e-03   3.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.453   40.5   1.03    258
