# Model: wabs(mekal) for robs-70 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   0.90  4.36  0.00  0.00 11.46  8.82 15.83  0.58  0.23  0.99   1.26e-03   1.15e-03   1.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.064   90.9   0.96     42
3C_220.1                     839   0.02   0.48  1.91  0.00  0.00  8.03  2.86 41.88  0.00  0.00  9.94   1.33e-04   0.00e+00   1.91e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.006   72.5   0.58      2
3C_28.0                     3233   0.03   6.06  5.71  0.00  0.00  7.50  6.97  8.11  0.28  0.21  0.35   8.87e-03   8.65e-03   9.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.410   69.1   1.01    342
3C_295                      2254   0.02   1.25  1.35  0.00  0.00  6.24  5.43  7.25  0.21  0.09  0.35   7.96e-04   7.48e-04   8.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.036   83.3   1.03    102
3C_388                      5295   0.07   1.75  6.11  0.00  0.00  3.49  2.96  4.23  0.50  0.19  0.88   1.00e-03   8.71e-04   1.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.038   82.9   1.10     47
4C_55.16                    4940   0.02   1.97  4.00  0.00  0.00  5.67  5.25  6.13  0.41  0.33  0.49   2.58e-03   2.50e-03   2.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.136   55.9   0.80    241
ABELL_0068                  3250   0.02   2.05  4.60  0.00  0.00 10.27  8.03 13.79  0.32  0.06  0.59   3.69e-03   3.44e-03   3.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.189   87.5   1.13     67
ABELL_0085                   904   0.11   4.78  3.65  0.00  0.00  7.20  6.93  7.48  0.42  0.39  0.47   3.29e-02   3.25e-02   3.34e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.546   93.7   1.16    344
ABELL_0133                  2203   0.11   2.56  1.56  0.00  0.00  4.75  4.37  5.21  0.53  0.41  0.66   5.50e-03   5.25e-03   5.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.274   75.7   0.91    216
ABELL_0267                  3580   0.02   1.66  2.74  0.00  0.00  8.26  6.93 10.21  0.39  0.23  0.57   2.97e-03   2.80e-03   3.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.150   90.8   1.28     95
ABELL_0370                   515   0.02   2.58  3.37  0.00  0.00 41.68 28.92 74.88  0.37  0.01  0.76   3.08e-03   2.88e-03   3.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.180   71.2   1.02    283
ABELL_0383                  2321   0.03   2.18  4.07  0.00  0.00  5.87  5.11  6.79  0.45  0.29  0.62   3.55e-03   3.34e-03   3.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.195   64.0   1.01    123
ABELL_0399                  3230   0.08   6.66 11.51  0.00  0.00  8.93  8.42  9.51  0.30  0.24  0.35   1.89e-02   1.86e-02   1.92e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.887   81.8   0.98    346
ABELL_0478                  1669   0.07   3.38 30.90  0.00  0.00  7.81  7.58  8.06  0.34  0.31  0.37   4.52e-02   4.48e-02   4.57e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.314   85.4   1.14    349
ABELL_0478                  6102   0.07   3.46 30.90  0.00  0.00  8.42  7.84  9.07  0.52  0.44  0.60   3.78e-02   3.69e-02   3.88e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  1.845   96.0   0.99    293
ABELL_0496                  3361   0.17   2.46  4.57  0.00  0.00  5.79  5.06  6.70  0.54  0.35  0.74   7.49e-03   7.05e-03   7.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  0.396   88.1   0.97    109
