# Model: wabs(mekal) for robs-70 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   0.90  4.36  0.00  0.00 10.68  9.34 12.32  0.52  0.52  0.52   1.29e-03   1.26e-03   1.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.092   90.9   0.97     59
3C_220.1                     839   0.02   0.48  1.91  0.00  0.00  6.11  4.53  9.30  0.30  0.30  0.30   1.38e-04   1.27e-04   1.54e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.012   72.5   0.73      7
3C_28.0                     3233   0.03   6.06  5.71  0.00  0.00  6.24  6.09  6.40  0.12  0.12  0.12   9.85e-03   9.79e-03   9.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.912   69.1   1.22    410
3C_295                      2254   0.02   1.25  1.35  0.00  0.00  5.39  5.11  5.72  0.36  0.36  0.36   8.14e-04   8.01e-04   8.31e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.064   83.3   0.95    149
4C_55.16                    4940   0.02   1.97  4.00  0.00  0.00  5.08  4.96  5.21  0.29  0.29  0.29   2.79e-03   2.77e-03   2.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.353   55.9   0.93    305
ABELL_0068                  3250   0.02   2.05  4.60  0.00  0.00  9.40  8.54 10.42  0.30  0.30  0.30   3.81e-03   3.74e-03   3.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.371   87.5   1.05    118
ABELL_0133                  2203   0.11   2.56  1.56  0.00  0.00  4.55  4.47  4.64  0.64  0.64  0.64   5.53e-03   5.50e-03   5.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.099   75.7   0.96    299
ABELL_0267                  3580   0.02   1.66  2.74  0.00  0.00  6.98  6.57  7.43  0.26  0.26  0.26   3.22e-03   3.17e-03   3.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.316   90.8   1.19    159
ABELL_0370                   515   0.02   2.58  3.37  0.00  0.00  9.88  9.34 10.51  0.39  0.39  0.39   2.90e-03   2.88e-03   2.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.383   71.2   1.54    336
ABELL_0383                  2321   0.03   2.18  4.07  0.00  0.00  5.04  4.85  5.25  0.38  0.38  0.38   3.85e-03   3.81e-03   3.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.578   64.0   0.97    192
