#Cluster                   Sequence Instr     nh20    Tx   Tlo   Thi    Fe  Felo  Fehi       z     fx       Lbol  chisq    dof
2A_0335+096                Combined G2G3S0S1 17.80  2.86  2.84  2.88  0.58  0.57  0.60  0.0349   7.05e-11  44.99   1.58   1958
3C_129                     86050000 G2G3S0S1 70.80  6.29  6.17  6.41  0.30  0.28  0.32  0.0218   8.02e-11  44.80   1.23   1831
3C_295                     71003000 G2G3S0S1  1.33  6.51  5.52  7.88  0.36  0.16  0.58  0.4600   7.91e-13  45.54   1.05    195
ABELL_0068                 86061000 G2G3S0S1  4.94  7.99  7.35  8.74  0.26  0.16  0.35  0.2550   2.71e-12  45.56   1.08    532
ABELL_0085                 Combined G2G3S0S1  3.45  5.87  5.80  5.95  0.37  0.35  0.39  0.0555   5.37e-11  45.43   1.18   2003
ABELL_0115                 82034000 G2G3S0S1  5.45  6.45  6.14  6.78  0.27  0.22  0.33  0.1971   6.14e-12  45.64   1.17    886
ABELL_0119                 83045000 G2G3S0S1  3.20  5.93  5.70  6.19  0.29  0.24  0.34  0.0442   2.28e-11  44.86   1.11   1087
ABELL_0133                 85062000 G2G3S0S1  1.53  3.71  3.64  3.79  0.64  0.58  0.70  0.0566   1.56e-11  44.81   1.16   1144
ABELL_0194                 Combined G2G3S0S1  3.78  2.50  2.37  2.63  0.35  0.25  0.45  0.0180   3.48e-12  43.09   1.07    561
ABELL_0222                 83069000 G2G3S0S1  2.30  4.60  4.09  5.22  0.40  0.19  0.65  0.2130   1.49e-12  45.02   1.06    174
ABELL_0223                 Combined G2G3S0S1  2.20  5.28  4.76  5.91  0.49  0.32  0.68  0.2070   1.56e-12  45.05   0.93    247
ABELL_0262                 81031000 G2G3S0S1  5.37  2.17  2.13  2.21  0.42  0.37  0.47  0.0163   3.82e-11  44.02   1.10    928
ABELL_0267                 85048000 G2G3S0S1  2.80  5.93  5.51  6.41  0.26  0.17  0.34  0.2300   3.04e-12  45.45   1.11    613
ABELL_0370                 80010000 G2G3S0S1  3.06  7.20  6.43  7.95  0.39  0.26  0.55  0.3750   1.30e-12  45.59   0.91    305
ABELL_0376                 85063000 G2G3S0S1  6.75  4.01  3.88  4.14  0.38  0.32  0.44  0.0484   9.35e-12  44.47   1.07    931
ABELL_0399                 82008000 G2G3S0S1 10.90  6.99  6.76  7.23  0.30  0.25  0.34  0.0724   2.08e-11  45.29   0.96   1449
ABELL_0400                 83037000 G2G3S0S1  9.47  2.28  2.23  2.33  0.45  0.39  0.52  0.0244   1.38e-11  43.93   1.11   1037
ABELL_0401                 82010000 G2G3S0S1 10.50  8.07  7.87  8.27  0.28  0.25  0.31  0.0737   3.64e-11  45.58   1.04   1844
ABELL_0478                 81015000 G2S0S1   15.10  7.07  6.90  7.26  0.31  0.27  0.34  0.0881   4.69e-11  45.82   1.13   1269
ABELL_0483                 82031000 G2G3S0S1  3.92  4.99  4.46  5.64  0.19  0.06  0.34  0.2800   1.16e-12  45.18   0.97    274
ABELL_0496                 80003000 G2G3S0S1  4.59  3.89  3.85  3.93  0.47  0.45  0.49  0.0329   5.97e-11  44.93   1.07   1850
ABELL_0514                 84073000 G2G3S0S1  3.14  4.70  4.41  5.03  0.17  0.08  0.26  0.0713   5.30e-12  44.59   1.04    623
ABELL_0520                 82041000 G2G3S0S1  7.79  7.81  7.17  8.55  0.25  0.16  0.34  0.2011   5.10e-12  45.62   1.08    540
ABELL_0521                 84071000 G2G3S0S1  5.80  6.74  6.29  7.24  0.19  0.11  0.26  0.2873   3.05e-12  45.68   0.92    679
ABELL_0539                 83003000 G2G3S0S1 12.60  2.94  2.88  3.01  0.31  0.27  0.36  0.0284   1.95e-11  44.26   0.99   1086
ABELL_0548                 84034000 G2G3S0S1  1.98  3.14  3.04  3.24  0.56  0.47  0.66  0.0397   8.05e-12  44.18   0.95    760
ABELL_0560                 74003000 G2G3S0S1  5.48  4.12  3.31  5.12  0.47  0.05  1.06  0.1732   5.18e-13  44.36   0.88    139
ABELL_0562                 87001000 G2G3S0S1  5.11  3.04  2.76  3.37  0.31  0.10  0.57  0.1100   1.41e-12  44.33   1.09    221
ABELL_0576                 84001000 G2G3S0S1  5.71  4.09  4.02  4.16  0.46  0.43  0.50  0.0389   1.81e-11  44.57   1.23   1403
ABELL_0586                 81009010 G2S0S1    5.15  6.39  5.79  7.11  0.24  0.13  0.36  0.1710   5.09e-12  45.42   1.01    278
ABELL_0611                 84063000 G2G3S0S1  4.99  6.69  6.25  7.20  0.19  0.12  0.27  0.2880   1.98e-12  45.50   1.08    619
ABELL_0644                 83022000 G2G3S0S1  6.82  7.31  7.18  7.44  0.35  0.32  0.37  0.0704   3.08e-11  45.45   1.03   2000
ABELL_0665                 Combined G2G3S0S1  4.24  8.03  7.79  8.27  0.22  0.19  0.26  0.1819   7.52e-12  45.70   1.07   1616
ABELL_0697                 84031000 G2G3S0S1  3.41  9.14  8.60  9.74  0.24  0.17  0.31  0.2820   4.51e-12  45.91   1.04   1006
ABELL_0744                 83041000 G2G3      3.64  2.50  2.21  2.80  0.43  0.12  0.89  0.0729   1.49e-12  43.95   0.79    102
ABELL_0750                 83034000 G2G3S0S1  3.53  6.06  5.69  6.46  0.40  0.32  0.49  0.1630   5.22e-12  45.38   1.04    578
ABELL_0754                 82057000 G2G3S0S1  4.37  9.94  9.63 10.27  0.32  0.28  0.37  0.0542   5.18e-11  45.52   1.06   1785
ABELL_0773                 82001000 G2G3S0S1  1.44 10.30  9.51 11.22  0.29  0.20  0.38  0.2170   3.53e-12  45.59   1.08    754
ABELL_0779                 Combined G2G3S0S1  1.60  1.92  1.77  2.07  0.42  0.30  0.56  0.0229   1.75e-12  42.96   1.37    314
ABELL_0851                 Combined G2G3S0S1  1.25  8.99  7.98 10.33  0.36  0.23  0.50  0.4069   6.00e-13  45.37   1.20    539
ABELL_0854                 83006000 G2G3S0S1  3.11  6.09  5.64  6.61  0.26  0.16  0.36  0.2072   2.12e-12  45.21   1.02    485
ABELL_0959                 82006000 G2G3S0S1  0.88  6.26  5.45  7.19  0.04  0.00  0.19  0.3533   1.10e-12  45.42   1.10    212
ABELL_0963                 80000000 G2G3S0S1  1.40  6.60  6.21  6.97  0.34  0.26  0.42  0.2060   3.84e-12  45.48   1.00    596
ABELL_0990                 84070000 G2G3S0S1  1.17  5.75  5.53  5.99  0.23  0.18  0.27  0.1440   6.09e-12  45.32   1.04   1116
ABELL_1045                 Combined G2G3S0S1  1.84  4.51  4.33  4.71  0.46  0.39  0.53  0.1407   3.18e-12  44.97   1.10    743
ABELL_1060                 80004000 G2G3S0S1  4.89  3.20  3.16  3.24  0.37  0.34  0.39  0.0126   5.66e-11  44.03   1.11   1659
ABELL_1068                 84064000 G2G3S0S1  0.98  3.87  3.75  3.99  0.42  0.36  0.48  0.1375   6.69e-12  45.24   1.05    825
ABELL_1111                 84036000 G2G3S0S1  3.97  2.98  2.83  3.15  0.49  0.37  0.61  0.1645   2.19e-12  44.88   0.86    344
ABELL_1204                 82002000 G2G3S0S1  1.40  3.78  3.62  3.96  0.35  0.28  0.43  0.1706   4.46e-12  45.26   0.91    553
ABELL_1246                 83007000 G2G3S0S1  1.39  6.04  5.67  6.46  0.24  0.17  0.32  0.1902   3.49e-12  45.34   0.99    705
ABELL_1300                 84067000 G2G3S0S1  4.50  8.26  7.68  8.89  0.18  0.10  0.26  0.3072   3.08e-12  45.80   0.94    768
ABELL_1367                 Combined G2G3S0S1  2.31  3.47  3.42  3.53  0.32  0.29  0.35  0.0220   2.89e-11  44.24   1.05   1383
ABELL_1413                 81008000 G2G3S0S1  2.19  7.09  6.84  7.36  0.31  0.26  0.35  0.1427   1.14e-11  45.64   1.01   1247
ABELL_1423                 85071000 G2G3S0S1  1.20  5.38  5.03  5.77  0.34  0.25  0.43  0.2138   3.71e-12  45.45   1.02    672
ABELL_1430                 Combined G2G3S0S1  2.04  7.18  6.65  7.74  0.00  0.00  0.07  0.2105   2.26e-12  45.28   1.12    642
ABELL_1451                 Combined G2G3S0S1  4.40 13.09 11.92 14.50  0.34  0.23  0.46  0.1990   3.93e-12  45.62   1.02    796
ABELL_1466                 85054000 G2G3S0S1  2.14  4.87  3.92  6.36  0.85  0.36  1.54  0.2519   6.05e-13  44.81   1.29     83
ABELL_1553                 84069000 G2G3S0S1  1.99  5.99  5.66  6.35  0.25  0.18  0.32  0.1652   4.73e-12  45.35   0.91    718
ABELL_1576                 83014000 G2G3S0S1  1.68  7.53  6.84  8.37  0.25  0.14  0.36  0.2790   1.98e-12  45.50   1.01    459
ABELL_1631                 85035000 G2G3S0S1  3.93  4.26  3.23  5.84  0.11  0.00  0.52  0.0462   1.29e-12  43.57   0.85     99
ABELL_1650                 84021000 G2G3S0S1  1.56  5.89  5.77  6.01  0.40  0.37  0.43  0.0845   1.74e-11  45.31   1.10   1630
ABELL_1651                 82036000 G2G3S0S1  1.81  5.97  5.82  6.13  0.30  0.26  0.33  0.0844   1.89e-11  45.35   1.04   1422
ABELL_1672                 85042000 G2G3      1.04  5.42  4.91  6.03  0.32  0.17  0.48  0.1882   1.76e-12  45.01   0.84    215
ABELL_1674                 84026000 G2G3S0S1  1.85  3.41  3.02  3.88  0.23  0.03  0.47  0.1066   8.60e-13  44.10   1.05    266
ABELL_1682                 84075000 G2G3S0S1  1.35  6.27  5.80  6.79  0.25  0.16  0.34  0.2339   2.59e-12  45.41   1.05    573
ABELL_1689                 80005000 G2G3S0S1  1.82  9.15  8.82  9.51  0.32  0.28  0.37  0.1832   1.20e-11  45.94   0.98   1387
ABELL_1704                 81007000 G2G3S0S1  1.77  4.58  4.24  4.96  0.37  0.26  0.49  0.2205   2.75e-12  45.32   1.02    308
ABELL_1722                 81013000 G2G3S0S1  1.51  6.05  5.44  6.48  0.51  0.37  0.65  0.3275   1.28e-12  45.42   0.94    370
ABELL_1732                 85070000 G2G3S0S1  7.79  5.77  5.45  6.12  0.32  0.25  0.39  0.1921   3.03e-12  45.28   0.96    722
ABELL_1736                 83061000 G2G3S0S1  5.34  3.45  3.33  3.58  0.44  0.35  0.53  0.0458   1.34e-11  44.54   0.98    751
ABELL_1750                 81010000 G2G3S0S1  2.37  3.71  3.54  3.91  0.38  0.28  0.48  0.0860   3.44e-12  44.53   0.94    540
ABELL_1750                 81010000 G2G3S0S1  2.39  4.41  4.19  4.65  0.37  0.29  0.46  0.0860   4.21e-12  44.65   0.93    651
ABELL_1758                 Combined G2G3S0S1  1.06  7.95  7.33  8.69  0.20  0.11  0.29  0.2792   2.50e-12  45.61   1.17    543
ABELL_1763                 83044000 G2G3S0S1  0.94  7.72  7.28  8.20  0.30  0.23  0.36  0.2284   4.84e-12  45.71   1.01    875
ABELL_1775                 85056000 G2G3S0S1  1.05  3.68  3.56  3.80  0.45  0.38  0.52  0.0717   8.53e-12  44.76   1.03    864
ABELL_1795                 Combined G2G3S0S1  1.19  5.49  5.43  5.54  0.37  0.36  0.39  0.0631   5.02e-11  45.50   1.15   2103
ABELL_1835                 Combined G2G3S0S1  2.32  7.65  7.34  7.98  0.36  0.31  0.41  0.2532   9.22e-12  46.08   1.05   1077
ABELL_1851                 82007000 G2G3S0S1  1.75  4.80  4.29  5.41  0.39  0.22  0.59  0.2149   1.32e-12  44.99   0.83    250
ABELL_1885                 85057000 G2G3S0    1.18  2.31  2.24  2.38  0.37  0.30  0.44  0.0890   4.45e-12  44.59   1.07    541
ABELL_1895                 83033000 G2G3S0S1  1.96  5.67  5.07  6.44  0.34  0.19  0.50  0.2257   1.80e-12  45.20   0.82    269
ABELL_1913                 86048000 G2G3S0S1  1.53  2.97  2.77  3.17  0.64  0.43  0.88  0.0528   2.57e-12  43.92   1.07    353
ABELL_1914                 84032000 G2G3S0S1  0.95  9.48  9.03  9.97  0.30  0.24  0.36  0.1712   1.09e-11  45.85   1.04   1200
ABELL_1942                 83000000 G2G3S0S1  2.61  5.12  4.56  5.83  0.27  0.12  0.44  0.2240   1.28e-12  45.02   0.91    303
ABELL_1995                 82005000 G2G3S0S1  1.42 10.50  9.00 12.44  0.19  0.01  0.36  0.3186   1.53e-12  45.58   0.96    302
ABELL_2028                 83040050 G2G3S0S1  2.45  3.91  3.36  4.58  0.77  0.16  2.02  0.0777   3.18e-12  44.41   1.29    134
ABELL_2029                 Combined G2G3S0S1  3.05  7.38  7.25  7.53  0.42  0.39  0.44  0.0773   5.35e-11  45.77   1.09   1757
ABELL_2033                 Combined G2G3S0S1  2.83  4.16  4.04  4.30  0.30  0.24  0.35  0.0818   8.30e-12  44.89   1.09    976
ABELL_2034                 84022000 G2G3S0S1  1.59  7.15  6.86  7.47  0.29  0.23  0.34  0.1130   9.33e-12  45.34   1.05   1156
ABELL_2052                 85061000 G2G3S0S1  2.71  2.96  2.92  2.99  0.55  0.52  0.58  0.0350   3.65e-11  44.71   1.23   1501
ABELL_2063                 81002000 G2S0S1    2.99  3.61  3.51  3.71  0.37  0.31  0.43  0.0353   2.71e-11  44.63   1.10    776
ABELL_2065                 Combined G2G3S0S1  2.96  5.35  5.23  5.48  0.28  0.25  0.31  0.0726   1.99e-11  45.21   1.06   1477
ABELL_2104                 84072000 G2G3S0S1  8.70  9.31  8.84  9.81  0.32  0.26  0.38  0.1554   6.19e-12  45.51   1.03   1163
ABELL_2107                 85060000 G2G3S0S1  4.54  3.82  3.72  3.93  0.42  0.36  0.48  0.0411   1.38e-11  44.48   0.98    950
ABELL_2111                 85065000 G2G3S0S1  1.93  8.02  7.25  8.97  0.13  0.01  0.26  0.2290   2.40e-12  45.41   1.01    509
ABELL_2142                 81004000 G2S0S1    4.20  8.24  7.94  8.58  0.28  0.23  0.33  0.0909   4.71e-11  45.88   1.01   1077
ABELL_2147                 83074000 G2G3S0S1  3.39  4.45  4.35  4.54  0.35  0.31  0.39  0.0350   2.74e-11  44.67   1.09   1493
ABELL_2152                 83031000 G2G3S0S1  3.40  3.09  2.85  3.37  0.27  0.11  0.46  0.0410   2.06e-12  43.62   1.08    226
ABELL_2163                 80024000 G2G3S0S1 12.10 12.12 11.55 12.74  0.22  0.17  0.28  0.2030   1.86e-11  46.29   0.98   1436
ABELL_2187                 86053000 G2G3S0S1  0.98  5.42  5.06  5.84  0.38  0.28  0.49  0.1836   2.24e-12  45.10   1.04    584
ABELL_2197                 85068000 G2G3S0S1  0.97  1.96  1.78  2.13  0.59  0.36  0.91  0.0308   1.35e-12  43.10   1.14    282
ABELL_2199                 80023000 G2G3S0S1  0.86  4.14  4.10  4.19  0.43  0.40  0.45  0.0299   7.51e-11  44.95   1.09   1877
ABELL_2204                 Combined G2G3S0S1  5.67  6.97  6.79  7.15  0.38  0.35  0.42  0.1523   2.02e-11  45.94   1.08   1502
ABELL_2218                 80001000 G2G3S0S1  3.24  6.97  6.63  7.34  0.20  0.14  0.25  0.1756   5.06e-12  45.46   1.00    864
ABELL_2219                 82037000 G2G3S0S1  1.75  9.81  9.22 10.46  0.27  0.19  0.34  0.2256   9.20e-12  46.03   0.96    962
ABELL_2244                 86073000 G2G3S0S1  2.13  5.57  5.42  5.74  0.29  0.25  0.33  0.0968   1.50e-11  45.35   1.04   1237
ABELL_2255                 Combined G2G3S0S1  2.59  6.42  6.27  6.58  0.25  0.22  0.28  0.0806   1.35e-11  45.17   1.16   1686
ABELL_2256                 80002000 G2G3S0S1  4.10  6.90  6.75  7.06  0.30  0.27  0.33  0.0581   4.32e-11  45.41   0.83   1803
ABELL_2259                 85053000 G2G3S0S1  3.70  5.32  5.05  5.61  0.18  0.12  0.24  0.1640   4.24e-12  45.26   0.95    767
ABELL_2261                 84062000 G2G3S0S1  3.28  6.88  6.47  7.35  0.37  0.29  0.45  0.2240   6.74e-12  45.81   1.07    673
ABELL_2319                 Combined G2G3S0S1  7.95  9.49  9.30  9.70  0.25  0.23  0.28  0.0557   7.77e-11  45.70   1.05   2015
ABELL_2390                 Combined G2G3S0S1  6.81  9.16  8.60  9.78  0.25  0.18  0.33  0.2280   8.82e-12  46.00   1.09    810
ABELL_2440                 81033000 G2G3S0S1  5.08  4.31  4.16  4.47  0.35  0.28  0.41  0.0906   6.69e-12  44.89   1.03    835
ABELL_2534                 84014000 G2G3S0S1  2.19  6.44  5.44  7.73  0.11  0.00  0.32  0.1976   1.60e-12  45.05   0.95    206
ABELL_2537                 85047000 G2G3S0S1  4.45  6.08  5.59  6.67  0.26  0.15  0.38  0.2806   1.77e-12  45.41   0.94    384
ABELL_2540                 84015000 G2G3S0S1  2.14  3.87  3.17  4.56  0.65  0.23  1.30  0.1297   4.36e-13  44.01   1.19    125
ABELL_2550                 Combined G2G3S0S1  2.10  2.58  2.37  2.80  1.91  1.19  3.46  0.1543   1.12e-12  44.49   1.26    175
ABELL_2554                 84013000 G2G3S0S1  2.09  6.40  5.85  7.07  0.44  0.30  0.58  0.1111   3.03e-12  44.82   0.94    407
ABELL_2555                 86043000 G2G3S0S1  2.03  2.22  1.78  2.72  0.17  0.00  0.86  0.1385   6.60e-13  44.17   0.71     88
ABELL_2556                 84013000 G2G3S0    2.05  4.13  3.88  4.42  0.34  0.23  0.47  0.0865   5.45e-12  44.75   1.05    335
ABELL_2572                 Combined G2G3S0S1  4.69  2.91  2.84  2.98  0.46  0.40  0.53  0.0403   6.29e-12  44.07   1.54    965
ABELL_2589                 87060000 G2G3S0S1  4.15  3.55  3.46  3.65  0.49  0.43  0.56  0.0414   1.66e-11  44.56   1.08    831
ABELL_2597                 83062000 G2G3S0S1  2.49  3.58  3.51  3.64  0.37  0.34  0.41  0.0852   1.72e-11  45.21   1.05   1322
ABELL_2634                 83002000 G2G3S0S1  5.07  3.40  3.32  3.49  0.43  0.37  0.49  0.0310   1.51e-11  44.25   1.01   1194
ABELL_2657                 84002000 G2G3S0S1  5.66  3.77  3.70  3.84  0.38  0.35  0.42  0.0402   2.04e-11  44.63   1.09   1273
ABELL_2667                 85028000 G2G3S0S1  1.65  6.31  6.03  6.60  0.31  0.25  0.36  0.2300   6.43e-12  45.79   1.07    912
ABELL_2670                 82049000 G2G3S0S1  2.89  3.98  3.81  4.15  0.25  0.18  0.33  0.0765   7.11e-12  44.75   1.08    633
ABELL_2744                 82000000 G2G3S0S1  1.60  9.61  9.05 10.25  0.19  0.12  0.26  0.3080   4.04e-12  45.95   1.02   1002
ABELL_2798                 85008000 G2G3S0S1  1.71  3.03  2.74  3.36  0.36  0.17  0.59  0.1050   8.11e-13  44.04   0.91    211
ABELL_2801                 85007000 G2G3S0S1  1.80  2.53  2.08  3.08  0.56  0.15  1.27  0.1080   4.37e-13  43.77   0.85    124
ABELL_2811                 84003000 G2G3S0S1  1.54  5.17  5.01  5.33  0.30  0.26  0.35  0.1086   8.13e-12  45.17   1.10   1124
ABELL_3088                 87033000 G2G3S0S1  1.36  6.71  6.18  7.31  0.28  0.19  0.38  0.2534   3.22e-12  45.59   1.03    491
ABELL_3112                 81003000 G2G3S0S1  2.60  4.28  4.20  4.37  0.51  0.47  0.56  0.0750   2.32e-11  45.26   1.12   1273
ABELL_3158                 84020000 G2G3S0S1  1.36  5.49  5.36  5.61  0.36  0.32  0.40  0.0597   2.58e-11  45.16   1.17   1529
ABELL_3266                 83023000 G2G3S0S1  1.59  8.35  8.15  8.56  0.32  0.29  0.36  0.0589   4.09e-11  45.44   1.06   1789
ABELL_3376                 84056000 G2G3S0S1  4.85  4.29  4.13  4.45  0.29  0.22  0.36  0.0456   1.47e-11  44.62   1.16    795
ABELL_3381                 85040000 G2G3S0S1  3.16  1.84  1.65  2.03  0.57  0.31  0.99  0.0359   7.31e-13  42.96   0.96    300
ABELL_3391                 72019000 G2G3S0S1  5.51  6.07  5.83  6.33  0.36  0.30  0.43  0.0514   1.59e-11  44.84   1.19    964
ABELL_3395                 82033000 G2G3S0S1  6.12  4.72  4.57  4.88  0.38  0.33  0.44  0.0506   1.57e-11  44.76   1.02   1097
ABELL_3395                 82033000 G2G3S0S1  6.35  5.02  4.81  5.25  0.27  0.20  0.34  0.0506   1.58e-11  44.78   1.02   1061
ABELL_3408                 87043000 G2G3S0S1  5.93  2.78  2.66  2.92  0.43  0.30  0.57  0.0420   4.10e-12  43.92   1.04    532
ABELL_3444                 Combined G2G3S0S1  5.49  6.81  6.44  7.21  0.26  0.20  0.32  0.2533   5.76e-12  45.85   1.08    726
ABELL_3528                 84057000 G2G3S0S1  6.16  4.80  4.55  5.06  0.40  0.31  0.50  0.0547   8.41e-12  44.57   0.99    635
ABELL_3528                 84057000 G2G3S0S1  6.09  4.94  4.75  5.14  0.34  0.27  0.40  0.0547   1.15e-11  44.71   1.00    816
ABELL_3530                 86015000 G2G3S0S1  5.77  4.17  3.92  4.43  0.30  0.18  0.42  0.0537   5.07e-12  44.30   1.02    460
ABELL_3532                 Combined G2G3S0S1  5.91  4.64  4.52  4.76  0.32  0.28  0.37  0.0554   1.31e-11  44.76   1.02   1200
ABELL_3556                 83046000 G2G3S0S1  4.07  3.35  3.09  3.65  0.36  0.17  0.57  0.0479   1.62e-12  43.66   1.09    357
ABELL_3558                 Combined G2G3S0S1  3.88  5.51  5.41  5.60  0.33  0.30  0.36  0.0480   4.51e-11  45.21   1.09   1702
ABELL_3562                 84041000 G2G3S0S1  3.85  4.74  4.57  4.92  0.44  0.37  0.52  0.0490   1.41e-11  44.69   1.04    842
ABELL_3565                 61006000 G2S0S1    4.10  1.16  1.07  1.27  0.15  0.11  0.22  0.0123   2.14e-12  42.48   1.92    178
ABELL_3570                 84074000 G2G3S0S1  4.40  2.56  2.40  2.72  0.43  0.28  0.60  0.0366   3.75e-12  43.74   0.99    418
ABELL_3571                 82047000 G2G3S0S1  3.70  6.97  6.85  7.10  0.36  0.33  0.39  0.0391   7.89e-11  45.33   0.99   1933
ABELL_3581                 81019000 G2S0S1    4.53  1.70  1.66  1.75  0.31  0.27  0.36  0.0230   2.39e-11  44.09   1.19    618
ABELL_3602                 74044000 G2G3      8.38  4.17  3.87  4.52  0.44  0.27  0.62  0.1044   3.50e-12  44.73   0.95    220
