# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   1.69  4.36  0.00  0.00 10.28  8.16 13.52  0.35  0.10  0.61   1.92e-03   1.78e-03   2.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.092   80.0   0.97     64
3C_220.1                     839   0.01   1.46  1.91  0.00  0.00  7.18  3.41 24.74  0.00  0.00  0.59   3.16e-04   2.53e-04   4.27e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.018   61.5   1.39     23
3C_28.0                     3233   0.02   2.30  5.71  0.00  0.00  6.81  6.21  7.52  0.24  0.16  0.32   3.61e-03   3.48e-03   3.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.169   87.0   0.88    216
3C_295                      2254   0.01   1.64  1.35  0.00  0.00  5.93  5.24  6.77  0.35  0.23  0.48   1.02e-03   9.66e-04   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.046   79.6   0.93    127
3C_388                      5295   0.05   4.10  6.11  0.00  0.00  3.26  2.89  3.75  0.64  0.36  0.99   2.18e-03   1.94e-03   2.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.082   68.9   0.95    128
4C_55.16                    4940   0.02   2.02  4.00  0.00  0.00  5.54  5.18  5.94  0.46  0.38  0.54   2.99e-03   2.90e-03   3.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.158   58.3   0.80    254
ABELL_0068                  3250   0.02   3.01  4.60  0.00  0.00  9.13  7.42 11.73  0.50  0.26  0.76   4.40e-03   4.09e-03   4.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.229   79.7   1.13     85
ABELL_0085                   904   0.07   4.81  3.65  0.00  0.00  7.04  6.80  7.29  0.44  0.41  0.48   3.73e-02   3.69e-02   3.78e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.750   94.2   1.19    344
ABELL_0133                  2203   0.07   2.57  1.56  0.00  0.00  4.65  4.33  5.02  0.56  0.45  0.67   6.98e-03   6.71e-03   7.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.348   78.0   0.98    232
ABELL_0267                  3580   0.02   2.67  2.74  0.00  0.00  9.66  8.11 11.86  0.36  0.19  0.53   3.98e-03   3.79e-03   4.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.204   83.3   1.10    130
ABELL_0370                   515   0.02   1.96  3.37  0.00  0.00 20.53 15.58 29.01  0.45  0.23  0.67   2.40e-03   2.31e-03   2.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.152   74.8   1.08    233
ABELL_0383                  2321   0.02   2.39  4.07  0.00  0.00  5.42  4.83  6.16  0.46  0.32  0.61   4.42e-03   4.17e-03   4.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.235   64.2   0.90    139
ABELL_0399                  3230   0.06   6.65 11.51  0.00  0.00  8.87  8.37  9.42  0.29  0.24  0.35   1.95e-02   1.92e-02   1.99e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.918   82.2   0.99    346
ABELL_0478                  1669   0.05   3.39 30.90  0.00  0.00  7.63  7.42  7.85  0.34  0.31  0.37   5.21e-02   5.16e-02   5.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.648   86.6   1.13    350
ABELL_0478                  6102   0.05   6.07 30.90  0.00  0.00  8.62  8.08  9.20  0.50  0.43  0.57   5.41e-02   5.29e-02   5.52e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.603   91.5   0.95    325
ABELL_0496                  3361   0.12   2.46  4.57  0.00  0.00  5.66  5.13  6.28  0.60  0.46  0.74   1.35e-02   1.29e-02   1.42e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  0.721   89.9   1.01    171
ABELL_0520                  4215   0.02   3.08  7.84  0.00  0.00  9.88  9.15 10.73  0.36  0.29  0.44   6.82e-03   6.68e-03   6.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.342   86.5   1.04    321
ABELL_0521                   430   0.02   2.48  6.17  0.00  0.00  8.39  7.17 10.01  0.40  0.25  0.56   3.94e-03   3.76e-03   4.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.228   49.5   1.15    175
ABELL_0576                  3289   0.11   3.91  5.57  0.00  0.00  4.55  4.24  4.91  0.35  0.26  0.45   9.71e-03   9.33e-03   1.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.442   60.9   0.94    256
ABELL_0586                   530   0.02   3.82  5.40  0.00  0.00  8.02  6.91  9.47  0.68  0.48  0.90   6.73e-03   6.35e-03   7.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.355   82.0   0.81    128
ABELL_0611                  3194   0.02   2.25  4.99  0.00  0.00  7.97  7.06  9.06  0.35  0.23  0.47   3.47e-03   3.34e-03   3.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.199   54.2   0.98    179
ABELL_0644                  2211   0.06   6.38  6.31  0.00  0.00  8.13  7.77  8.54  0.40  0.35  0.45   3.50e-02   3.45e-02   3.56e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.682   89.7   1.05    342
ABELL_0665                  3586   0.02   3.56  4.24  0.00  0.00  9.61  8.76 10.63  0.33  0.24  0.42   9.46e-03   9.22e-03   9.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.477   87.7   0.93    275
ABELL_0697                  4217   0.02   2.66  3.34  0.00  0.00 12.24 10.61 14.29  0.43  0.28  0.59   7.02e-03   6.77e-03   7.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.369   89.4   1.02    189
ABELL_0773                  5006   0.02   3.13  1.46  0.00  0.00  9.75  8.48 11.40  0.51  0.36  0.68   5.84e-03   5.60e-03   6.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.306   84.0   1.09    177
ABELL_0781                   534   0.02   2.79  1.90  0.00  0.00  7.50  5.69 11.07  0.38  0.11  0.68   2.44e-03   2.19e-03   2.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.123   74.1   1.61     52
ABELL_0907                  3185   0.02   3.19  5.69  0.00  0.00  6.69  6.27  7.16  0.43  0.36  0.50   7.04e-03   6.86e-03   7.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.339   88.0   0.99    293
ABELL_0963                   903   0.02   2.87  1.39  0.00  0.00  6.98  6.41  7.64  0.33  0.25  0.42   6.26e-03   6.07e-03   6.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.349   64.9   1.02    259
ABELL_1060                  2220   0.32   3.66  4.96  0.00  0.00  3.37  3.04  3.80  0.30  0.14  0.48   2.84e-03   2.61e-03   3.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  0.093   91.6   1.33     95
ABELL_1068                  1652   0.03   3.05  0.71  0.00  0.00  5.17  4.74  5.68  0.28  0.20  0.37   6.87e-03   6.59e-03   7.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.344   68.4   1.01    216
ABELL_1201                  4216   0.02   2.75  1.85  0.00  0.00  6.38  5.50  7.49  0.34  0.20  0.48   3.74e-03   3.52e-03   3.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.203   45.0   1.10    164
ABELL_1204                  2205   0.02   2.52  1.44  0.00  0.00  4.58  4.13  5.15  0.22  0.10  0.34   4.15e-03   3.92e-03   4.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.165   88.3   0.90    126
ABELL_1361                  2200   0.03   2.94  2.18  0.00  0.00  5.60  4.01  8.66  0.20  0.00  0.60   4.96e-03   4.20e-03   5.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.254   57.2   0.90     35
ABELL_1413                  5003   0.03   2.79  2.19  0.00  0.00  9.09  8.59  9.64  0.37  0.31  0.42   1.09e-02   1.07e-02   1.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.478   92.8   0.99    330
ABELL_1423                   538   0.02   3.17  1.60  0.00  0.00  7.53  5.98  9.88  0.31  0.09  0.54   3.84e-03   3.55e-03   4.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.187   78.3   0.65     76
ABELL_1650                  4178   0.05   2.94  1.62  0.00  0.00  6.61  6.20  7.06  0.38  0.32  0.45   1.46e-02   1.43e-02   1.50e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.769   81.6   0.93    286
ABELL_1651                  4185   0.05   6.31  2.02  0.00  0.00  7.78  7.02  8.68  0.42  0.31  0.53   2.14e-02   2.07e-02   2.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  1.058   86.6   1.20    249
ABELL_1664                  1648   0.03   2.94  8.47  0.00  0.00  5.20  4.49  6.12  0.23  0.08  0.38   6.28e-03   5.84e-03   6.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.304   61.3   0.99    103
ABELL_1682                  3244   0.02   3.10  1.10  0.00  0.00 10.30  6.88 19.15  0.74  0.24  1.49   3.23e-03   2.82e-03   3.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.179   64.0   1.33     49
ABELL_1689                  5004   0.02   3.87  1.87  0.00  0.00 13.23 11.76 15.10  0.43  0.32  0.55   1.60e-02   1.57e-02   1.64e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.847   91.1   1.16    291
ABELL_1758                  2213   0.02   2.51  1.09  0.00  0.00 23.98 18.73 34.27  0.50  0.27  0.71   5.01e-03   4.82e-03   5.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.303   58.3   1.14    284
ABELL_1763                  3591   0.02   3.17  0.82  0.00  0.00 11.49  9.65 14.38  0.32  0.14  0.49   5.53e-03   5.31e-03   5.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.287   84.7   0.92    168
ABELL_1795                  5289   0.07   6.58  1.22  0.00  0.00  7.00  6.64  7.39  0.30  0.25  0.35   4.64e-02   4.56e-02   4.74e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  2.128   92.6   1.02    327
ABELL_1835                   495   0.02   2.64  2.36  0.00  0.00 11.00  9.97 12.23  0.32  0.24  0.41   1.31e-02   1.28e-02   1.34e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.791   86.5   1.02    274
ABELL_1914                  3593   0.02   4.00  0.97  0.00  0.00 11.42 10.36 12.68  0.32  0.23  0.41   1.77e-02   1.73e-02   1.81e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.910   92.0   1.03    287
ABELL_1942                  3290   0.02   2.37  2.75  0.00  0.00  5.49  4.75  6.47  0.33  0.17  0.49   1.35e-03   1.26e-03   1.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.058   70.1   1.04    124
ABELL_1991                  3193   0.07   3.03  2.43  0.00  0.00  2.80  2.63  3.00  0.49  0.34  0.64   5.00e-03   4.67e-03   5.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.183   60.7   0.96    200
