# Model: wabs(mekal) for r2500 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.69  4.36  0.00  0.00  9.19  7.52 11.64  0.52  0.52  0.52   1.98e-03   1.88e-03   2.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.097   71.1   1.01     70
3C_220.1                     839   0.00   1.46  1.91  0.00  0.00  9.38  5.83 16.69  0.30  0.30  0.30   7.99e-04   7.30e-04   9.01e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.047   68.3   1.14     40
3C_28.0                     3233   0.00   2.30  5.71  0.00  0.00  5.57  5.18  6.02  0.12  0.12  0.12   4.64e-03   4.49e-03   4.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.197   83.2   0.96    232
3C_295                      2254   0.00   1.64  1.35  0.00  0.00  5.94  5.43  6.53  0.36  0.36  0.36   1.55e-03   1.49e-03   1.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.072   85.1   1.22    160
4C_55.16                    4940   0.00   2.02  4.00  0.00  0.00  4.69  4.47  4.94  0.29  0.29  0.29   4.57e-03   4.46e-03   4.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.215   58.1   1.03    273
ABELL_0068                  3250   0.00   3.01  4.60  0.00  0.00  7.85  6.47  9.84  0.30  0.30  0.30   4.85e-03   4.59e-03   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.234   70.3   0.97     91
ABELL_0133                  2203   0.00   2.57  1.56  0.00  0.00  3.77  3.61  3.96  0.64  0.64  0.64   1.17e-02   1.14e-02   1.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.548   84.4   1.10    264
ABELL_0267                  3580   0.00   2.67  2.74  0.00  0.00  8.43  7.16 10.09  0.26  0.26  0.26   4.36e-03   4.19e-03   4.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.214   76.1   1.09    137
ABELL_0370                   515   0.00   1.96  3.37  0.00  0.00 19.93 15.14 26.68  0.39  0.39  0.39   2.49e-03   2.43e-03   2.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.157   75.1   1.06    238
ABELL_0383                  2321   0.00   2.39  4.07  0.00  0.00  4.96  4.55  5.45  0.38  0.38  0.38   6.32e-03   6.07e-03   6.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.321   71.2   1.07    164
ABELL_0399                  3230   0.00   6.65 11.51  0.00  0.00  7.21  6.85  7.60  0.23  0.23  0.23   2.04e-02   2.01e-02   2.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.899   73.0   1.35    347
ABELL_0478                  1669   0.00   3.39 30.90  0.00  0.00  7.02  6.86  7.19  0.31  0.31  0.31   6.84e-02   6.79e-02   6.89e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.394   89.1   1.18    351
ABELL_0478                  6102   0.00   5.95 30.90  0.00  0.00  7.35  6.99  7.76  0.31  0.31  0.31   7.02e-02   6.91e-02   7.13e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.168   89.6   0.96    333
ABELL_0496                  3361   0.00   2.46  4.57  0.00  0.00  4.48  4.23  4.74  0.47  0.47  0.47   3.15e-02   3.07e-02   3.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  1.505   93.8   0.97    239
ABELL_0520                  4215   0.00   3.08  7.84  0.00  0.00  8.61  8.03  9.27  0.25  0.25  0.25   7.08e-03   6.96e-03   7.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.338   79.4   1.10    322
ABELL_0521                   430   0.00   2.48  6.17  0.00  0.00  8.14  6.97  9.67  0.19  0.19  0.19   4.05e-03   3.90e-03   4.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.222   44.0   1.24    174
ABELL_0576                  3289   0.00   3.85  5.57  0.00  0.00  3.77  3.58  3.99  0.46  0.46  0.46   1.24e-02   1.20e-02   1.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.523   55.1   0.95    264
ABELL_0586                   530   0.00   3.82  5.40  0.00  0.00  7.79  6.73  9.16  0.30  0.30  0.30   8.00e-03   7.67e-03   8.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.387   81.4   0.84    134
ABELL_0611                  3194   0.00   2.25  4.99  0.00  0.00  8.12  7.25  9.16  0.19  0.19  0.19   4.12e-03   4.00e-03   4.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.229   57.8   1.01    193
ABELL_0644                  2211   0.00   6.38  6.31  0.00  0.00  7.40  7.09  7.72  0.29  0.29  0.29   3.97e-02   3.93e-02   4.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.830   85.5   1.34    343
ABELL_0665                  3586   0.00   3.56  4.24  0.00  0.00  8.65  7.95  9.47  0.19  0.19  0.19   1.02e-02   9.96e-03   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.488   81.9   0.98    278
