# Model: wabs(mekal) for r500-100 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
3C_28.0                     3233   0.05   5.13  5.71  0.00  0.00  6.04  5.78  6.36  0.12  0.12  0.12   7.15e-03   7.02e-03   7.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.296   55.4   1.18    322
CL_1221+4918                1662   0.02   3.16  1.44  0.00  0.00  2.65  2.36  3.01  0.30  0.30  0.30   8.20e-04   7.46e-04   8.89e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.017   -9.6   1.53    162
CL_J0542.8-4100              914   0.02   3.17  3.59  0.00  0.00  6.31  5.17  7.90  0.30  0.30  0.30   6.77e-04   6.28e-04   7.20e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.030   49.9   0.96    120
CL_J1113.1-2615              915   0.02   3.10  5.51  0.00  0.00 79.90 79.27 79.90  0.30  0.30  0.30   9.94e-04   9.77e-04   1.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.055  100.0   8.94    155
CL_J2302.8+0844              918   0.02   3.66  5.05  0.00  0.00 79.90 79.50 79.90  0.30  0.30  0.30   1.54e-03   1.52e-03   1.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.084  100.0   9.42    226
MS_0016.9+1609               520   0.02   4.16  4.06  0.00  0.00  6.63  6.28  7.02  0.30  0.30  0.30   3.48e-03   3.41e-03   3.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.150   54.5   1.17    290
MS_0302.7+1658               525   0.02   2.87 10.95  0.00  0.00  1.88  1.48  2.45  0.30  0.30  0.30   9.71e-04   7.72e-04   1.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.018   35.5   0.98     17
MS_1455.0+2232              4192   0.04   4.45  3.35  0.00  0.00  4.16  3.98  4.34  0.35  0.35  0.35   3.43e-03   3.35e-03   3.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.120   24.2   1.77    323
MS_1621.5+2640               546   0.02   4.16  3.59  0.00  0.00  5.68  4.87  6.69  0.30  0.30  0.30   1.44e-03   1.36e-03   1.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.064   51.3   1.09    150
MS_2053.7-0449              1667   0.02   4.04  5.16  0.00  0.00  0.43  0.33  0.59  0.31  0.31  0.31   7.01e-03   0.00e+00   2.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830 -0.005   22.5   1.97    119
RBS_0797                    2202   0.03   4.29  2.22  0.00  0.00  6.61  5.84  7.57  0.30  0.30  0.30   3.58e-03   3.43e-03   3.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.166   54.9   1.05     97
RX_J0647.7+7015             3584   0.02   3.84  5.18  0.00  0.00  6.52  5.71  7.54  0.30  0.30  0.30   2.22e-03   2.12e-03   2.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.091   -5.2   1.19    102
RX_J1347.5-1145             3592   0.02   4.81  4.89  0.00  0.00 10.75 10.21 11.35  0.30  0.30  0.30   7.50e-03   7.43e-03   7.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4510  0.366   54.1   1.24    349
RX_J1423.8+2404             1657   0.02   3.21  2.65  0.00  0.00  4.80  4.12  5.65  0.30  0.30  0.30   1.37e-03   1.27e-03   1.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5450  0.052   44.7   1.28     61
RX_J1532.9+3021             1665   0.03   4.01  2.21  0.00  0.00  5.63  4.99  6.43  0.30  0.30  0.30   3.50e-03   3.33e-03   3.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3450  0.152   57.6   1.00     79
RX_J1716.9+6708              548   0.02   3.50  3.71  0.00  0.00  2.99  2.44  3.70  0.30  0.30  0.30   6.19e-04   5.44e-04   7.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8100  0.015   41.5   0.87    147
RX_J1720.2+3536             3280   0.02   3.77  3.35  0.00  0.00  5.06  4.54  5.71  0.30  0.30  0.30   2.44e-03   2.32e-03   2.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3913  0.101   33.3   1.32    111
V_1121.0+2327               1660   0.02   3.21  1.30  0.00  0.00  1.52  1.26  1.82  0.30  0.30  0.30   6.31e-04   5.36e-04   7.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5600  0.006   25.1   1.79    132
