# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   1.20  1.43  0.00  6.29 11.03  8.39 15.01  0.43  0.13  0.74   1.61e-03   1.49e-03   1.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.117   87.5   1.04     73
3C_220.1                     839   0.01   1.03  0.00  0.00  8.76  7.52  4.16 14.47  0.00  0.00  0.64   2.79e-04   2.50e-04   3.48e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.027   64.1   0.81     21
3C_28.0                     3233   0.02   1.63  2.16  0.29  4.07  5.81  5.34  6.36  0.28  0.20  0.37   2.76e-03   2.66e-03   2.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.291   90.5   0.92    234
3C_295                      2254   0.01   1.16  0.00  0.00  1.20  5.62  5.17  6.13  0.28  0.18  0.40   9.76e-04   9.46e-04   1.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.077   86.9   1.00    155
3C_388                      5295   0.05   2.90  4.97  2.01  8.00  3.36  3.05  3.72  0.44  0.30  0.61   1.88e-03   1.73e-03   2.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.212   76.2   1.10    172
4C_55.16                    4940   0.02   1.43  3.61  2.46  4.78  4.94  4.70  5.20  0.52  0.45  0.59   2.77e-03   2.69e-03   2.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.372   71.1   0.93    285
ABELL_0068                  3250   0.02   2.13  5.89  2.06  9.89  9.18  7.45 11.78  0.39  0.18  0.64   4.05e-03   3.78e-03   4.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.394   87.3   1.09    125
ABELL_0085                   904   0.07   4.81  0.81  0.36  1.25  6.40  6.26  6.55  0.46  0.43  0.50   3.82e-02   3.78e-02   3.86e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  5.161   94.2   1.40    425
ABELL_0133                  2203   0.07   2.57  0.68  0.00  1.51  4.43  4.26  4.62  0.57  0.50  0.65   7.11e-03   6.91e-03   7.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.412   78.0   0.96    313
ABELL_0267                  3580   0.02   1.89  0.00  0.00  1.43  7.55  6.85  8.37  0.39  0.25  0.53   3.52e-03   3.42e-03   3.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.369   89.6   1.17    175
ABELL_0370                   515   0.02   1.39  0.00  0.00  1.49 13.56 11.48 15.51  0.49  0.32  0.67   1.83e-03   1.79e-03   1.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.250   79.2   1.01    231
ABELL_0383                  2321   0.02   1.69  2.48  0.81  4.19  5.25  4.82  5.75  0.44  0.33  0.57   3.98e-03   3.80e-03   4.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.626   75.0   1.11    184
ABELL_0399                  3230   0.06   4.71  8.33  7.52  9.15  7.93  7.58  8.31  0.32  0.27  0.38   1.46e-02   1.44e-02   1.48e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.693   87.3   1.06    414
ABELL_0478                  1669   0.05   3.39 28.86 28.45 29.28  7.56  7.39  7.73  0.35  0.32  0.38   5.20e-02   5.16e-02   5.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  6.407   86.6   1.11    427
ABELL_0478                  6102   0.05   4.30 29.37 28.12 30.63  7.60  7.22  8.02  0.48  0.42  0.54   4.99e-02   4.89e-02   5.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  4.820   95.1   1.01    390
ABELL_0496                  3361   0.12   2.46  3.51  2.43  4.62  5.20  4.93  5.48  0.76  0.65  0.88   1.32e-02   1.27e-02   1.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  2.619   89.9   1.05    255
ABELL_0520                  4215   0.02   2.18  1.14  0.00  2.30  9.15  8.52  9.88  0.36  0.29  0.43   5.49e-03   5.38e-03   5.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.576   91.1   1.12    360
ABELL_0521                   430   0.02   1.75  3.58  1.45  5.73  8.41  7.20 10.15  0.48  0.30  0.67   2.57e-03   2.45e-03   2.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.369   55.4   1.10    187
ABELL_0576                  3289   0.11   3.85  5.09  4.20  5.99  4.49  4.30  4.68  0.45  0.38  0.52   9.23e-03   8.97e-03   9.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.578   61.2   0.91    336
ABELL_0586                   530   0.02   2.70  0.00  0.00  1.60  7.62  6.90  8.37  0.53  0.36  0.72   6.34e-03   6.11e-03   6.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.769   87.9   0.81    177
ABELL_0611                  3194   0.02   1.59  2.00  0.29  3.74  7.84  7.00  8.85  0.32  0.21  0.44   3.01e-03   2.90e-03   3.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.401   67.3   1.01    208
ABELL_0644                  2211   0.06   5.14  8.06  7.43  8.70  7.31  7.07  7.56  0.41  0.37  0.45   3.31e-02   3.27e-02   3.35e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.004   92.5   1.11    418
