# Model: wabs(mekal) for r5000 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.20  1.29  0.00  5.92 11.07  8.57 14.48  0.52  0.24  0.84   1.74e-03   1.62e-03   1.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.128   88.4   1.01     78
3C_220.1                     839   0.00   1.03  0.00  0.00  2.20  7.44  5.76  9.72  0.00  0.00  0.23   8.71e-04   8.23e-04   9.35e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.084   74.2   0.98     49
3C_28.0                     3233   0.00   1.63  1.16  0.00  2.79  4.91  4.61  5.24  0.34  0.28  0.41   3.66e-03   3.54e-03   3.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.388   92.6   1.00    260
3C_295                      2254   0.00   1.16  0.00  0.00  0.41  5.01  4.74  5.30  0.42  0.34  0.52   1.57e-03   1.52e-03   1.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.125   91.1   1.33    186
3C_388                      5295   0.00   2.90  4.06  1.73  6.47  3.30  3.07  3.55  0.67  0.53  0.82   2.51e-03   2.34e-03   2.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.311   80.8   1.10    192
4C_55.16                    4940   0.00   1.43  2.88  1.95  3.83  4.36  4.20  4.53  0.59  0.54  0.65   4.14e-03   4.04e-03   4.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.568   78.6   0.90    314
ABELL_0068                  3250   0.00   2.13  5.78  2.15  9.53  9.05  7.43 11.45  0.39  0.18  0.62   4.34e-03   4.06e-03   4.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.423   87.9   1.00    130
ABELL_0085                   904   0.00   4.81  1.00  0.60  1.39  5.67  5.57  5.77  0.55  0.53  0.58   4.84e-02   4.79e-02   4.88e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  6.640   95.3   1.54    426
ABELL_0133                  2203   0.00   2.57  0.68  0.07  1.30  3.46  3.37  3.54  0.83  0.77  0.89   1.15e-02   1.12e-02   1.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.487   84.4   1.23    344
ABELL_0267                  3580   0.00   1.89  0.00  0.00  1.08  7.75  7.06  8.55  0.44  0.30  0.58   3.85e-03   3.74e-03   3.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.406   90.3   1.05    182
