# Model: wabs(mekal) for r5000 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.20  4.36  0.00  0.00 10.65  8.48 13.93  0.49  0.22  0.79   1.77e-03   1.65e-03   1.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.088   88.4   1.01     56
3C_220.1                     839   0.00   1.03  1.91  0.00  0.00  9.09  6.27 14.43  0.00  0.00  0.22   8.24e-04   7.49e-04   9.17e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.045   74.2   0.94     32
3C_28.0                     3233   0.00   1.63  5.71  0.00  0.00  5.51  5.08  6.02  0.27  0.19  0.35   3.55e-03   3.42e-03   3.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.157   92.6   0.89    194
3C_295                      2254   0.00   1.16  1.35  0.00  0.00  6.11  5.57  6.74  0.36  0.26  0.46   1.45e-03   1.39e-03   1.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.068   91.1   1.28    141
3C_388                      5295   0.00   2.90  6.11  0.00  0.00  3.48  3.16  3.95  0.71  0.46  0.97   2.36e-03   2.17e-03   2.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.096   80.8   1.14    115
4C_55.16                    4940   0.00   1.43  4.00  0.00  0.00  4.77  4.53  5.02  0.51  0.45  0.58   4.06e-03   3.95e-03   4.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.205   78.6   0.85    252
ABELL_0068                  3250   0.00   2.13  4.60  0.00  0.00  9.29  7.53 11.93  0.41  0.19  0.66   4.27e-03   3.98e-03   4.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.217   87.9   0.95     76
ABELL_0085                   904   0.00   4.81  3.65  0.00  0.00  6.34  6.17  6.52  0.49  0.46  0.52   4.74e-02   4.68e-02   4.80e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.187   95.3   1.21    345
ABELL_0133                  2203   0.00   2.57  1.56  0.00  0.00  3.77  3.60  3.96  0.66  0.57  0.75   1.17e-02   1.13e-02   1.21e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.548   84.4   1.10    263
ABELL_0267                  3580   0.00   1.89  2.74  0.00  0.00  8.57  7.29 10.27  0.44  0.28  0.60   3.76e-03   3.57e-03   3.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.192   90.3   1.10    119
ABELL_0370                   515   0.00   1.39  3.37  0.00  0.00 13.87 11.47 18.22  0.43  0.26  0.61   1.92e-03   1.86e-03   1.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.122   79.5   0.98    184
ABELL_0383                  2321   0.00   1.69  4.07  0.00  0.00  5.13  4.68  5.67  0.51  0.39  0.64   5.54e-03   5.28e-03   5.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.295   81.2   1.11    146
ABELL_0399                  3230   0.00   4.71 11.51  0.00  0.00  8.72  8.21  9.30  0.33  0.27  0.39   1.48e-02   1.46e-02   1.51e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.712   87.6   0.97    335
ABELL_0478                  1669   0.00   3.39 30.90  0.00  0.00  7.01  6.85  7.18  0.35  0.33  0.37   6.79e-02   6.73e-02   6.84e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.394   89.1   1.17    350
ABELL_0478                  6102   0.00   4.21 30.90  0.00  0.00  7.40  7.03  7.80  0.49  0.43  0.55   6.21e-02   6.09e-02   6.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.934   96.2   0.94    322
ABELL_0496                  3361   0.00   2.46  4.57  0.00  0.00  4.39  4.15  4.66  0.64  0.55  0.74   3.05e-02   2.94e-02   3.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  1.505   93.8   0.93    238
ABELL_0520                  4215   0.00   2.18  7.84  0.00  0.00  9.96  9.16 10.92  0.35  0.27  0.43   5.57e-03   5.45e-03   5.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.280   91.2   1.02    296
ABELL_0521                   430   0.00   1.75  6.17  0.00  0.00  9.34  7.72 12.15  0.43  0.21  0.63   2.64e-03   2.52e-03   2.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.157   56.0   1.00    128
ABELL_0576                  3289   0.00   3.85  5.57  0.00  0.00  4.34  4.08  4.62  0.40  0.31  0.48   1.21e-02   1.16e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.538   64.8   0.84    263
ABELL_0586                   530   0.00   2.70  5.40  0.00  0.00  8.32  7.21  9.82  0.59  0.41  0.79   7.06e-03   6.69e-03   7.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.367   89.1   0.77    119
ABELL_0611                  3194   0.00   1.59  4.99  0.00  0.00  7.75  6.95  8.71  0.32  0.22  0.43   3.57e-03   3.44e-03   3.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.202   70.6   1.02    164
ABELL_0644                  2211   0.00   5.14  6.31  0.00  0.00  8.15  7.80  8.53  0.43  0.38  0.48   3.57e-02   3.52e-02   3.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.739   93.2   1.13    341
ABELL_0665                  3586   0.00   2.52  4.24  0.00  0.00  9.83  8.87 11.02  0.30  0.21  0.39   7.90e-03   7.69e-03   8.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.399   92.0   0.99    253
ABELL_0697                  4217   0.00   1.88  3.34  0.00  0.00 13.46 11.47 16.26  0.52  0.34  0.71   5.92e-03   5.70e-03   6.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.319   93.6   1.03    164
ABELL_0773                  5006   0.00   2.22  1.46  0.00  0.00 10.30  8.86 12.16  0.40  0.25  0.56   5.28e-03   5.06e-03   5.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.274   90.3   1.09    153
ABELL_0781                   534   0.00   1.97  1.90  0.00  0.00  7.66  5.61 11.68  0.43  0.13  0.81   1.95e-03   1.72e-03   2.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.098   80.6   1.23     37
ABELL_0907                  3185   0.00   2.26  5.69  0.00  0.00  6.04  5.75  6.39  0.50  0.43  0.56   7.96e-03   7.78e-03   8.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.381   94.0   1.14    287
ABELL_0963                   903   0.00   2.03  1.39  0.00  0.00  7.42  6.86  8.09  0.37  0.29  0.45   6.19e-03   6.01e-03   6.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.355   76.8   1.04    245
ABELL_1060                  2220   0.00   3.66  4.96  0.00  0.00  3.71  3.56  3.88  0.41  0.34  0.47   1.87e-02   1.81e-02   1.92e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  0.650   93.9   1.24    277
ABELL_1068                  1652   0.00   2.16  0.71  0.00  0.00  4.55  4.28  4.86  0.34  0.27  0.41   9.61e-03   9.28e-03   9.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.461   84.0   0.96    223
ABELL_1201                  4216   0.00   2.32  1.85  0.00  0.00  5.85  5.13  6.75  0.34  0.21  0.47   3.76e-03   3.55e-03   3.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.200   53.1   1.13    157
ABELL_1204                  2205   0.00   1.78  1.44  0.00  0.00  4.07  3.80  4.38  0.36  0.26  0.46   7.08e-03   6.78e-03   7.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.278   95.8   1.19    166
ABELL_1361                  2200   0.00   2.54  2.18  0.00  0.00  4.84  3.75  6.70  0.25  0.00  0.58   6.53e-03   5.67e-03   7.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.312   68.6   0.93     38
ABELL_1413                  5003   0.00   2.79  2.19  0.00  0.00  8.89  8.45  9.38  0.38  0.33  0.44   1.25e-02   1.23e-02   1.27e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.548   93.6   0.95    334
ABELL_1423                   538   0.00   2.24  1.60  0.00  0.00  7.05  5.77  8.85  0.51  0.29  0.76   3.57e-03   3.29e-03   3.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.180   86.4   0.91     63
ABELL_1650                  4178   0.00   2.94  1.62  0.00  0.00  6.51  6.16  6.89  0.43  0.37  0.49   1.78e-02   1.74e-02   1.82e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.946   84.0   0.92    296
ABELL_1651                  4185   0.00   4.47  2.02  0.00  0.00  7.46  6.78  8.25  0.47  0.37  0.57   2.08e-02   2.01e-02   2.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  1.039   92.6   1.17    237
