# Model: wabs(mekal) for rmax-70 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   2.46  0.00  0.00  8.66 11.66  8.97 15.83  0.58  0.26  0.95   1.87e-03   1.80e-03   2.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.098   66.9   1.19     75
3C_220.1                     839   0.02   1.64 58.22  0.00 180.73  5.34  1.76 79.90  0.00  0.00  1.53   4.90e-04   2.47e-04   2.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.017   60.0   0.60     26
3C_28.0                     3233   0.03   6.06  0.01  0.00 14.30  7.92  6.83  8.58  0.29  0.22  0.36   8.62e-03   8.44e-03   9.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.410   69.1   1.01    341
3C_295                      2254   0.02   3.66  0.00  0.00  9.21  4.64  3.91  5.63  0.29  0.11  0.50   1.00e-03   9.37e-04   1.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.041   55.0   0.95    219
3C_388                      5295   0.07   6.31  0.02  0.00 42.64  4.51  3.49  5.61  0.48  0.23  0.77   2.67e-03   2.48e-03   3.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.112   60.7   0.91    206
4C_55.16                    4940   0.02   2.95  6.44  0.00 24.40  5.76  4.93  6.61  0.38  0.29  0.48   2.94e-03   2.74e-03   3.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.153   39.1   0.83    289
ABELL_0068                  3250   0.02   4.84  0.00  0.00 16.22  9.69  7.43 13.08  0.37  0.11  0.67   4.56e-03   4.24e-03   5.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.236   62.7   1.06    105
ABELL_0085                   904   0.11   4.81 25.28 16.65 34.21  6.36  6.00  6.75  0.39  0.36  0.43   3.58e-02   3.46e-02   3.71e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.554   93.7   1.13    343
ABELL_0133                  2203   0.11   2.56  0.00  0.00 18.76  4.80  4.25  5.26  0.53  0.41  0.66   5.46e-03   5.28e-03   5.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.274   75.7   0.91    215
ABELL_0267                  3580   0.02   4.84  0.00  0.00  8.91 11.65  9.49 14.84  0.55  0.31  0.82   4.41e-03   4.20e-03   4.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.240   65.6   1.13    180
ABELL_0370                   515   0.02   2.58  5.41  0.00 49.60 37.48 11.24 79.90  0.36  0.00  0.91   3.06e-03   2.88e-03   3.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.180   71.2   1.03    282
ABELL_0383                  2321   0.03   2.94  5.87  0.00 41.81  4.97  3.90  5.92  0.49  0.33  0.68   4.07e-03   3.74e-03   5.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.212   54.2   1.06    143
ABELL_0399                  3230   0.08   8.33 20.51  9.64 31.72  8.05  7.30  8.94  0.28  0.23  0.33   2.33e-02   2.23e-02   2.44e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.036   77.3   0.92    347
ABELL_0478                  1669   0.07   3.38 28.62 22.54 34.70  7.93  7.54  8.36  0.34  0.31  0.37   4.48e-02   4.38e-02   4.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.314   85.4   1.14    348
ABELL_0478                  6102   0.07   6.66 24.45 13.00 36.16  9.31  8.38 10.46  0.56  0.47  0.66   4.80e-02   4.59e-02   5.03e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.379   89.2   0.93    323
ABELL_0496                  3361   0.17   2.46 39.23  0.00 82.20  4.88  3.97  6.31  0.52  0.35  0.71   8.50e-03   7.20e-03   1.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  0.396   88.1   0.96    108
ABELL_0520                  4215   0.03   3.67  3.36  0.00 13.71 10.22  8.95 11.57  0.38  0.30  0.47   7.13e-03   6.91e-03   7.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.364   82.9   1.13    329
ABELL_0521                   430   0.02   3.79  0.00  0.00 10.87  7.97  6.78  9.36  0.44  0.29  0.60   5.16e-03   4.95e-03   5.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.299   39.3   1.13    232
ABELL_0576                  3289   0.15   3.91  0.01  0.00 20.43  4.62  4.12  5.04  0.35  0.25  0.45   8.16e-03   7.91e-03   8.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.379   59.1   1.00    239
ABELL_0586                   530   0.03   4.84 26.30  0.00 58.38  6.45  5.02  8.54  0.52  0.34  0.75   7.50e-03   6.42e-03   8.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.346   76.5   0.82    133
ABELL_0611                  3194   0.02   2.96 10.86  0.00 34.47  8.00  6.12 10.13  0.29  0.17  0.44   3.58e-03   3.26e-03   4.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.199   40.5   1.02    197
ABELL_0644                  2211   0.08   5.81 21.60 11.65 32.04  7.60  7.00  8.24  0.36  0.32  0.42   3.24e-02   3.12e-02   3.38e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.483   90.3   1.04    338
ABELL_0665                  3586   0.03   4.73  5.55  0.00 19.87  9.88  8.34 11.39  0.35  0.25  0.45   1.05e-02   1.01e-02   1.13e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.530   82.2   0.92    294
ABELL_0697                  4217   0.02   4.92  0.00  0.00  4.84 13.78 11.82 16.90  0.51  0.34  0.70   7.98e-03   7.73e-03   8.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.428   75.3   0.95    233
ABELL_0773                  5006   0.03   4.98  0.00  0.00 19.25  9.88  7.87 11.71  0.49  0.32  0.66   6.37e-03   6.12e-03   7.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.333   70.7   1.02    217
ABELL_0781                   534   0.02   4.59  0.00  0.00  9.42  5.84  4.46  7.94  0.37  0.13  0.64   3.12e-03   2.82e-03   3.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.149   63.1   1.26     78
ABELL_0907                  3185   0.04   5.76 22.80  7.48 39.05  6.24  5.46  7.16  0.36  0.29  0.44   8.00e-03   7.39e-03   8.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.352   70.9   0.98    326
ABELL_0963                   903   0.03   3.04  3.29  0.00 20.48  6.70  5.74  7.55  0.32  0.23  0.41   5.94e-03   5.67e-03   6.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.325   61.5   1.07    257
ABELL_1060                  2220   0.18   3.64 10.39  0.00 37.86  3.50  3.16  3.67  0.42  0.33  0.51   1.23e-02   1.15e-02   1.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  0.414   93.0   1.22    245
ABELL_1068                  1652   0.04   3.08  0.00  0.00 11.76  5.53  4.92  6.21  0.29  0.19  0.40   5.64e-03   5.39e-03   6.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.290   65.1   1.04    206
ABELL_1201                  4216   0.03   2.75  0.00  0.00 20.42  6.46  5.24  7.63  0.33  0.19  0.48   3.53e-03   3.36e-03   4.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.194   43.9   1.12    161
ABELL_1204                  2205   0.03   5.59 18.38  0.00 64.98  3.91  2.97  5.13  0.15  0.00  0.34   4.51e-03   3.80e-03   6.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.153   67.5   1.02    177
ABELL_1361                  2200   0.05   2.94  0.00  0.00 36.40  5.89  3.89  9.93  0.17  0.00  0.61   4.45e-03   3.80e-03   5.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.220   54.4   0.62     30
ABELL_1413                  5003   0.04   2.75  9.53  0.00 19.50  8.58  7.79  9.55  0.34  0.28  0.40   1.02e-02   9.77e-03   1.07e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.434   92.5   1.01    324
ABELL_1423                   538   0.03   4.26  0.00  0.00 25.05  7.96  5.80 10.91  0.27  0.03  0.53   4.07e-03   3.79e-03   4.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.200   71.0   0.84     87
ABELL_1650                  4178   0.07   2.90  0.00  0.00  8.20  6.65  6.14  7.15  0.36  0.29  0.42   1.27e-02   1.24e-02   1.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.664   80.2   0.88    272
ABELL_1651                  4185   0.07   7.28 31.45 10.03 53.34  6.45  5.52  7.69  0.35  0.26  0.45   2.34e-02   2.14e-02   2.57e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  1.022   82.6   1.26    248
ABELL_1664                  1648   0.05   2.94  0.00  0.00 30.72  5.94  4.63  7.30  0.14  0.00  0.30   5.28e-03   4.96e-03   6.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.266   57.9   0.82     96
ABELL_1682                  3244   0.02   3.77  0.00  0.00 27.01 13.40  7.89 70.86  0.78  0.00  1.81   3.51e-03   3.08e-03   4.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.200   56.6   1.28     58
ABELL_1689                  5004   0.03   4.98  0.00  0.00 12.54 13.58 11.15 15.61  0.48  0.36  0.62   1.50e-02   1.47e-02   1.58e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.803   85.7   1.16    299
ABELL_1758                  2213   0.02   3.78  3.99  0.00 10.50 79.90 67.55 79.90  0.87  0.36  1.43   7.72e-03   7.26e-03   8.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.409   43.7   1.20    343
ABELL_1763                  3591   0.03   5.31  0.00  0.00 13.07 10.79  8.81 13.08  0.28  0.11  0.45   6.78e-03   6.52e-03   7.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.344   71.5   0.93    218
ABELL_1795                  5289   0.09   6.58  5.66  0.00 19.16  6.91  6.25  7.50  0.28  0.23  0.33   4.12e-02   3.97e-02   4.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  1.843   91.6   1.03    321
ABELL_1835                   495   0.02   3.15  0.00  0.00  4.34 11.76 10.55 13.20  0.38  0.28  0.48   1.19e-02   1.17e-02   1.23e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.734   82.3   0.98    274
ABELL_1914                  3593   0.03   5.08  1.76  0.00 14.80 11.46  9.66 13.08  0.31  0.22  0.42   1.75e-02   1.71e-02   1.85e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.894   87.8   1.05    292
ABELL_1942                  3290   0.03   5.19  0.00  0.00 23.75  5.12  4.13  6.02  0.18  0.03  0.33   2.28e-03   2.15e-03   2.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.092   44.1   1.02    245
ABELL_1991                  3193   0.11   3.03  0.00  0.00 29.66  2.84  2.51  3.09  0.41  0.25  0.58   3.90e-03   3.62e-03   4.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.141   56.3   0.93    182
ABELL_2029                  4977   0.07   2.98 15.63 10.84 20.53  8.20  7.88  8.53  0.42  0.39  0.45   3.72e-02   3.65e-02   3.79e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  1.981   90.0   1.09    347
ABELL_2029                  6101   0.07   6.68 16.62  3.39 29.97  9.30  8.21 10.76  0.35  0.28  0.43   5.07e-02   4.84e-02   5.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  2.427   90.9   0.99    317
ABELL_2034                  2204   0.05   7.54 17.95  5.52 29.90  7.66  6.89  8.69  0.30  0.24  0.36   1.39e-02   1.31e-02   1.46e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.622   73.3   1.07    351
ABELL_2069                  4965   0.05   6.84 11.48  0.00 31.11  7.34  6.12  8.67  0.28  0.19  0.38   8.73e-03   8.13e-03   9.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.375   61.9   1.00    349
ABELL_2104                   895   0.04   2.41 23.76 11.34 36.91  7.95  7.05  9.00  0.38  0.30  0.47   6.74e-03   6.36e-03   7.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.373   69.4   1.07    290
ABELL_2111                   544   0.02   4.96 18.87  0.00 64.12  6.78  4.53 11.31  0.12  0.00  0.35   4.82e-03   4.08e-03   6.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.208   63.9   0.89    106
ABELL_2124                  3238   0.09   2.77  0.00  0.00 29.67  6.83  5.10  9.04  0.43  0.17  0.75   2.23e-03   2.04e-03   2.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.124   52.2   1.02     98
ABELL_2125                  2207   0.02   3.57  0.00  0.00 26.76  3.57  2.83  4.64  0.26  0.00  0.64   7.36e-04   6.44e-04   9.30e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.028   36.2   1.08    177
ABELL_2147                  3211   0.16   7.77  0.00  0.00 20.87  5.57  4.84  6.16  0.27  0.17  0.37   1.49e-02   1.43e-02   1.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.618   77.1   1.11    276
ABELL_2163                  1653   0.03   6.29 17.55  9.99 23.62 20.73 18.11 25.11  0.11  0.04  0.17   3.06e-02   3.02e-02   3.10e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  1.406   84.2   1.18    357
ABELL_2199                   497   0.19   2.89  5.99  0.00 30.71  4.54  4.03  4.97  0.38  0.29  0.46   1.44e-02   1.37e-02   1.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.670   89.1   1.11    228
ABELL_2204                   499   0.04   3.09 10.67  0.00 27.32 10.52  8.68 13.30  0.29  0.18  0.42   1.86e-02   1.75e-02   1.99e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.078   81.7   0.94    228
ABELL_2204                  6104   0.04   6.78  1.68  0.00 22.02 10.46  8.23 12.44  0.36  0.22  0.50   2.01e-02   1.95e-02   2.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.040   78.0   0.98    260
ABELL_2218                  1666   0.03   6.42  6.51  0.00 22.86  9.63  7.92 11.47  0.22  0.12  0.32   8.16e-03   7.77e-03   8.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.395   74.3   1.00    334
ABELL_2219                   896   0.02   2.97  0.00  0.00  4.11 12.36 11.35 13.47  0.29  0.22  0.36   1.34e-02   1.32e-02   1.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.807   75.1   0.99    330
ABELL_2244                  4179   0.06   2.95  7.58  0.00 18.79  5.69  5.26  6.13  0.32  0.28  0.36   1.39e-02   1.33e-02   1.46e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  0.687   78.4   1.04    328
ABELL_2255                   894   0.07   7.95  0.11  0.00 15.38  7.98  6.94  8.62  0.33  0.24  0.41   1.55e-02   1.51e-02   1.66e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.721   72.1   1.04    348
ABELL_2259                  3245   0.04   4.80  0.00  0.00 39.00  6.15  4.47  7.53  0.24  0.08  0.42   6.00e-03   5.62e-03   7.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.272   72.5   1.01    110
ABELL_2261                  5007   0.03   4.85  0.00  0.00  9.90  9.22  8.08 10.38  0.33  0.23  0.43   8.76e-03   8.54e-03   9.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.439   78.6   0.92    259
ABELL_2294                  3246   0.03   5.08  0.02  0.00 23.09 12.02  8.63 16.19  0.48  0.21  0.78   7.08e-03   6.71e-03   7.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.378   70.6   0.93    144
ABELL_2319                  3231   0.11   7.41 18.78  8.74 28.69 11.45 10.27 12.98  0.34  0.27  0.40   7.11e-02   6.90e-02   7.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  3.403   92.9   1.16    340
ABELL_2384                  4202   0.07   6.23  0.00  0.00 22.63  6.42  5.37  7.15  0.11  0.03  0.20   7.96e-03   7.69e-03   8.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.344   72.4   0.99    286
