# Model: wabs(mekal) for rmax-70 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   2.46  4.36  0.00  0.00 10.98  8.50 14.61  0.53  0.24  0.86   1.93e-03   1.79e-03   2.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.098   66.9   1.19     76
3C_220.1                     839   0.02   1.64  1.91  0.00  0.00 16.56  5.45 79.90  0.00  0.00  3.78   2.88e-04   2.47e-04   3.88e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.017   60.0   0.62     27
3C_28.0                     3233   0.03   6.06  5.71  0.00  0.00  7.50  6.97  8.11  0.28  0.21  0.35   8.87e-03   8.65e-03   9.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.410   69.1   1.01    342
3C_295                      2254   0.02   3.66  1.35  0.00  0.00  4.56  3.87  5.55  0.29  0.11  0.50   1.02e-03   9.38e-04   1.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.041   55.0   0.95    220
3C_388                      5295   0.07   6.31  6.11  0.00  0.00  4.40  3.72  5.37  0.48  0.23  0.77   2.74e-03   2.48e-03   3.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.112   60.7   0.91    207
4C_55.16                    4940   0.02   2.95  4.00  0.00  0.00  5.88  5.40  6.43  0.38  0.30  0.47   2.89e-03   2.79e-03   3.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.153   39.1   0.83    290
ABELL_0068                  3250   0.02   4.84  4.60  0.00  0.00  9.19  7.22 12.35  0.34  0.10  0.62   4.67e-03   4.33e-03   5.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.236   62.7   1.05    106
ABELL_0085                   904   0.11   4.81  3.65  0.00  0.00  7.21  6.94  7.49  0.42  0.38  0.46   3.31e-02   3.27e-02   3.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.554   93.7   1.17    344
ABELL_0133                  2203   0.11   2.56  1.56  0.00  0.00  4.75  4.37  5.21  0.53  0.41  0.66   5.50e-03   5.25e-03   5.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.274   75.7   0.91    216
ABELL_0267                  3580   0.02   4.84  2.74  0.00  0.00 11.29  9.26 14.25  0.53  0.30  0.79   4.47e-03   4.24e-03   4.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.240   65.6   1.12    181
ABELL_0370                   515   0.02   2.58  3.37  0.00  0.00 41.68 28.92 74.88  0.37  0.01  0.76   3.08e-03   2.88e-03   3.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.180   71.2   1.02    283
ABELL_0383                  2321   0.03   2.94  4.07  0.00  0.00  5.02  4.41  5.77  0.49  0.33  0.67   4.04e-03   3.78e-03   4.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.212   54.2   1.05    144
ABELL_0399                  3230   0.08   8.33 11.51  0.00  0.00  8.65  8.19  9.18  0.29  0.24  0.35   2.25e-02   2.22e-02   2.29e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.036   77.3   0.92    348
