# Model: wabs(mekal) for rmax-70 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   2.46  4.36  0.00  0.00 10.97  8.51 14.61  0.52  0.52  0.52   1.94e-03   1.85e-03   2.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.098   66.9   1.18     77
3C_220.1                     839   0.02   1.64  1.91  0.00  0.00 17.83  0.08 79.90  0.30  0.30  0.30   2.77e-04   2.30e-04   3.80e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.017   60.0   0.61     28
3C_28.0                     3233   0.03   6.06  5.71  0.00  0.00  7.84  7.26  8.49  0.12  0.12  0.12   9.09e-03   8.90e-03   9.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.410   69.1   1.05    343
3C_295                      2254   0.02   3.66  1.35  0.00  0.00  4.48  3.84  5.36  0.36  0.36  0.36   1.01e-03   9.34e-04   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.041   55.0   0.94    221
4C_55.16                    4940   0.02   2.95  4.00  0.00  0.00  5.94  5.46  6.50  0.29  0.29  0.29   2.95e-03   2.85e-03   3.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.153   39.1   0.84    291
ABELL_0068                  3250   0.02   4.84  4.60  0.00  0.00  9.17  7.21 12.35  0.30  0.30  0.30   4.71e-03   4.46e-03   5.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.236   62.7   1.04    107
ABELL_0133                  2203   0.11   2.56  1.56  0.00  0.00  4.71  4.33  5.18  0.64  0.64  0.64   5.37e-03   5.18e-03   5.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.274   75.7   0.91    217
ABELL_0267                  3580   0.02   4.84  2.74  0.00  0.00 11.73  9.46 15.20  0.26  0.26  0.26   4.66e-03   4.51e-03   4.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.240   65.6   1.14    182
ABELL_0370                   515   0.02   2.58  3.37  0.00  0.00 42.08 28.86 75.16  0.39  0.39  0.39   3.08e-03   2.91e-03   3.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.180   71.2   1.02    284
ABELL_0383                  2321   0.03   2.94  4.07  0.00  0.00  5.08  4.48  5.84  0.38  0.38  0.38   4.13e-03   3.90e-03   4.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.212   54.2   1.06    145
ABELL_0399                  3230   0.08   8.33 11.51  0.00  0.00  8.72  8.24  9.25  0.23  0.23  0.23   2.28e-02   2.25e-02   2.31e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  1.036   77.3   0.93    349
ABELL_0478                  1669   0.07   3.38 30.90  0.00  0.00  7.81  7.58  8.06  0.31  0.31  0.31   4.55e-02   4.51e-02   4.58e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.314   85.4   1.14    350
ABELL_0478                  6102   0.07   6.66 30.90  0.00  0.00  8.93  8.33  9.65  0.31  0.31  0.31   5.11e-02   5.03e-02   5.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.379   89.2   1.00    325
ABELL_0496                  3361   0.17   2.46  4.57  0.00  0.00  5.84  5.12  6.76  0.47  0.47  0.47   7.59e-03   7.22e-03   7.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  0.396   88.1   0.96    110
ABELL_0520                  4215   0.03   3.67  7.84  0.00  0.00  9.99  9.24 10.87  0.25  0.25  0.25   7.41e-03   7.29e-03   7.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.364   82.9   1.14    331
ABELL_0521                   430   0.02   3.79  6.17  0.00  0.00  7.81  6.73  9.23  0.19  0.19  0.19   5.54e-03   5.34e-03   5.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.299   39.3   1.16    234
ABELL_0576                  3289   0.15   3.91  5.57  0.00  0.00  4.46  4.13  4.84  0.46  0.46  0.46   8.15e-03   7.86e-03   8.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  0.379   59.1   1.01    241
ABELL_0586                   530   0.03   4.84  5.40  0.00  0.00  7.80  6.59  9.45  0.30  0.30  0.30   7.12e-03   6.79e-03   7.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.346   76.5   0.85    135
ABELL_0611                  3194   0.02   2.96  4.99  0.00  0.00  8.62  7.52 10.11  0.19  0.19  0.19   3.53e-03   3.41e-03   3.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2880  0.199   40.5   1.02    199
ABELL_0644                  2211   0.08   5.81  6.31  0.00  0.00  8.51  8.08  9.00  0.29  0.29  0.29   3.13e-02   3.09e-02   3.17e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  1.483   90.3   1.08    340
ABELL_0665                  3586   0.03   4.73  4.24  0.00  0.00 10.46  9.45 11.68  0.19  0.19  0.19   1.07e-02   1.05e-02   1.10e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.530   82.2   0.94    296
ABELL_0697                  4217   0.02   4.92  3.34  0.00  0.00 13.51 11.56 16.66  0.23  0.23  0.23   8.43e-03   8.25e-03   8.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.428   75.3   0.98    235
ABELL_0773                  5006   0.03   4.98  1.46  0.00  0.00  9.86  8.46 11.77  0.34  0.34  0.34   6.57e-03   6.37e-03   6.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.333   70.7   1.02    219
ABELL_0781                   534   0.02   4.59  1.90  0.00  0.00  5.78  4.46  7.80  0.30  0.30  0.30   3.21e-03   2.90e-03   3.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.149   63.1   1.24     80
ABELL_0907                  3185   0.04   5.76  5.69  0.00  0.00  7.29  6.75  7.93  0.25  0.25  0.25   7.53e-03   7.36e-03   7.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.352   70.9   1.00    328
ABELL_0963                   903   0.03   3.04  1.39  0.00  0.00  6.80  6.22  7.49  0.34  0.34  0.34   5.85e-03   5.70e-03   6.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.325   61.5   1.06    259
ABELL_1068                  1652   0.04   3.08  0.71  0.00  0.00  5.48  4.92  6.18  0.42  0.42  0.42   5.50e-03   5.27e-03   5.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.290   65.1   1.05    208
ABELL_1204                  2205   0.03   5.59  1.44  0.00  0.00  4.05  3.57  4.67  0.35  0.35  0.35   3.96e-03   3.68e-03   4.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.153   67.5   1.04    179
ABELL_1361                  2200   0.05   2.94  2.18  0.00  0.00  5.15  3.56 11.49  0.61  0.61  0.61   4.22e-03   3.53e-03   4.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.220   54.4   0.67     32
ABELL_1413                  5003   0.04   2.75  2.19  0.00  0.00  9.39  8.83 10.03  0.21  0.21  0.21   1.01e-02   1.00e-02   1.03e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.434   92.5   1.06    326
ABELL_1423                   538   0.03   4.26  1.60  0.00  0.00  7.85  6.09 10.69  0.30  0.30  0.30   4.08e-03   3.81e-03   4.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.200   71.0   0.82     89
ABELL_1650                  4178   0.07   2.90  1.62  0.00  0.00  6.59  6.15  7.10  0.40  0.40  0.40   1.26e-02   1.24e-02   1.29e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.664   80.2   0.88    274
