# Model: wabs(mekal) for robs-70 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   0.90  1.53  0.00  6.98 11.87  8.83 16.76  0.61  0.24  1.06   1.24e-03   1.12e-03   1.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.092   90.9   0.99     57
3C_220.1                     839   0.02   0.48 16.16  0.00 35.97  3.57  2.28 12.53  0.89  0.00 45.25   1.68e-04   0.00e+00   2.99e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.012   72.5   0.80      5
3C_28.0                     3233   0.03   6.06  2.03  0.90  3.21  7.01  6.60  7.47  0.29  0.23  0.36   9.01e-03   8.81e-03   9.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.912   69.1   1.09    408
3C_295                      2254   0.02   1.25  0.00  0.00  1.95  5.80  5.21  6.41  0.23  0.11  0.36   8.17e-04   7.95e-04   8.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.064   83.3   0.93    147
3C_388                      5295   0.07   1.75  2.74  0.00  6.75  3.53  3.13  3.98  0.58  0.37  0.82   9.67e-04   8.70e-04   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.119   82.9   0.84    111
4C_55.16                    4940   0.02   1.97  3.69  2.49  4.92  5.15  4.86  5.47  0.45  0.38  0.53   2.66e-03   2.59e-03   2.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.353   55.9   0.88    303
ABELL_0068                  3250   0.02   2.05  5.38  1.58  9.38  9.08  7.32 11.71  0.28  0.06  0.51   3.85e-03   3.59e-03   4.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.371   87.5   1.07    116
ABELL_0085                   904   0.11   4.78  0.96  0.49  1.44  6.46  6.31  6.62  0.45  0.41  0.48   3.38e-02   3.34e-02   3.41e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  4.540   93.7   1.36    425
ABELL_0133                  2203   0.11   2.56  0.80  0.00  1.76  4.56  4.34  4.79  0.52  0.43  0.61   5.64e-03   5.46e-03   5.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  1.099   75.7   0.93    297
ABELL_0267                  3580   0.02   1.66  0.00  0.00  1.31  7.63  6.88  8.53  0.40  0.25  0.55   3.02e-03   2.92e-03   3.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.316   90.8   1.15    157
ABELL_0370                   515   0.02   2.58  0.00  0.00  0.17 12.30 10.98 14.05  0.58  0.42  0.73   2.72e-03   2.64e-03   2.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.383   71.2   1.33    334
ABELL_0383                  2321   0.03   2.18  2.43  0.62  4.27  5.39  4.90  5.97  0.46  0.33  0.60   3.67e-03   3.49e-03   3.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.578   64.0   0.96    190
