# Model: wabs(mekal) for robs-70 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.02   0.90  4.36  0.00  0.00 11.43  9.67 13.75  0.52  0.52  0.52   1.27e-03   1.23e-03   1.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.064   90.9   0.94     43
3C_220.1                     839   0.02   0.48  1.91  0.00  0.00  6.68  4.15 14.74  0.30  0.30  0.30   1.32e-04   1.09e-04   1.61e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.006   72.5   0.41      3
3C_28.0                     3233   0.03   6.06  5.71  0.00  0.00  7.84  7.48  8.23  0.12  0.12  0.12   9.09e-03   8.98e-03   9.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.410   69.1   1.05    343
3C_295                      2254   0.02   1.25  1.35  0.00  0.00  6.02  5.53  6.60  0.36  0.36  0.36   7.70e-04   7.46e-04   7.99e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.036   83.3   1.05    103
4C_55.16                    4940   0.02   1.97  4.00  0.00  0.00  5.78  5.52  6.06  0.29  0.29  0.29   2.64e-03   2.59e-03   2.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.136   55.9   0.82    242
ABELL_0068                  3250   0.02   2.05  4.60  0.00  0.00 10.29  8.79 12.15  0.30  0.30  0.30   3.70e-03   3.59e-03   3.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.189   87.5   1.11     68
ABELL_0133                  2203   0.11   2.56  1.56  0.00  0.00  4.71  4.47  4.99  0.64  0.64  0.64   5.37e-03   5.25e-03   5.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.274   75.7   0.91    217
ABELL_0267                  3580   0.02   1.66  2.74  0.00  0.00  8.46  7.55  9.62  0.26  0.26  0.26   3.04e-03   2.95e-03   3.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.150   90.8   1.29     96
ABELL_0370                   515   0.02   2.58  3.37  0.00  0.00 42.08 33.05 61.27  0.39  0.39  0.39   3.08e-03   2.96e-03   3.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.180   71.2   1.02    284
ABELL_0383                  2321   0.03   2.18  4.07  0.00  0.00  5.89  5.41  6.43  0.38  0.38  0.38   3.60e-03   3.49e-03   3.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.195   64.0   1.00    124
