#Region: r2500           
#Name                      ObsID     Counts
1RXS_J2129.4-0741           3595       3066
3C_220.1                     839       4950
3C_28.0                     3233      27395
3C_295                      2254      14467
3C_388                      5295      21135
4C_55.16                    4940      79168
ABELL_0068                  3250       5844
ABELL_0085                   904     297414
ABELL_0133                  2203     131248
ABELL_0267                  3580      11180
ABELL_0370                   515      47197
ABELL_0383                  2321      36179
ABELL_0399                  3230     144020
ABELL_0478                  1669     428462
ABELL_0478                  6102      75160
ABELL_0496                  3361      70900
ABELL_0520                  4215      56326
ABELL_0521                   430      31987
ABELL_0576                  3289      94910
ABELL_0586                   530      15349
ABELL_0611                  3194      31047
ABELL_0644                  2211     167379
ABELL_0665                  3586      38145
ABELL_0697                  4217      15738
ABELL_0773                  5006      16083
ABELL_0781                   534       4446
ABELL_0907                  3185      57623
ABELL_0963                   903      85555
ABELL_1060                  2220      89003
ABELL_1068                  1652      89973
ABELL_1201                  4216      34283
ABELL_1204                  2205      24858
ABELL_1361                  2200       8575
ABELL_1413                  5003     109104
ABELL_1423                   538       7686
ABELL_1650                  4178     119253
ABELL_1651                  4185      37009
ABELL_1664                  1648      23005
ABELL_1682                  3244       3309
ABELL_1689                  5004      48082
ABELL_1758                  2213      58733
ABELL_1763                  3591      15998
ABELL_1795                  5289     130574
ABELL_1835                   495      88103
ABELL_1914                  3593      46107
ABELL_1942                  3290      10845
ABELL_1991                  3193     106600
ABELL_2029                  4977     973556
ABELL_2029                  6101      97968
ABELL_2034                  2204     100816
ABELL_2069                  4965      57096
ABELL_2104                   895      95302
ABELL_2111                   544       6730
ABELL_2124                  3238      26151
ABELL_2125                  2207       6581
ABELL_2147                  3211      56981
ABELL_2163                  1653     203158
ABELL_2199                   497     251536
ABELL_2204                   499      72989
ABELL_2204                  6104      37334
ABELL_2218                  1666      46193
ABELL_2219                   896     172392
ABELL_2244                  4179     244924
ABELL_2255                   894     119474
ABELL_2259                  3245       8062
ABELL_2261                  5007      27042
ABELL_2294                  3246       9482
ABELL_2319                  3231     150642
ABELL_2384                  4202      36449
ABELL_2390                  4193     274554
ABELL_2409                  3247      12250
ABELL_2537                  4962      28915
ABELL_2550                  2225      36124
ABELL_2554                  1696      40022
ABELL_2556                  2226      65159
ABELL_2589                  3210       4996
ABELL_2597                   922      64159
ABELL_2626                  3192      65724
ABELL_2634                  4816      40365
ABELL_2667                  2214      25584
ABELL_2670                  4959      54344
ABELL_2744                  2212      35892
ABELL_3112                  2516      96476
ABELL_3158                  3201     109897
ABELL_3266                   899      79096
ABELL_3558                  1646      62770
ABELL_3562                  4167      44098
ABELL_3571                  4203     190587
ABELL_3667                  5751     596273
ABELL_4038                  4992     202291
AC_114                      1562      68972
CL_0024+17                   929      10390
CL_1221+4918                1662       3217
CL_J0030+2618               5762       1424
CL_J0152-1357                913       4262
CL_J0542.8-4100              914       3316
CL_J0848+4456                927       2083
CL_J1113.1-2615              915       3883
CL_J1213+0253               4934        700
CL_J1226.9+3332              932       1899
CL_J1641+4001               3575       1061
CL_J2302.8+0844              918       5161
CYGNUS_A                     360     224096
ESO_3060170                 3189      22931
ESO_5520200                 3206      21072
EXO_0422-086                4183      37759
HERCULES_A                  1625      22923
HYDRA_A                     4970     983707
IRAS_09104+4109              509      10480
LYNX_E                      9271        929
MACS_J0011.7-1523           6105      10488
MACS_J0159.8-0849           6106      17076
MACS_J0242.5-2132           3266       7743
MACS_J0329.6-0211           3582       5245
MACS_J0429.6-0253           3271       7264
MACS_J0547.0-3904           3273       6032
MACS_J0744.9+3927           6111       7876
MACS_J0949+1708             3274       4848
MACS_J1115.8+0129           3275      10705
MACS_J1311.0-0311           6110       9598
MACS_J1319+7003             3278       3509
MACS_J1427.6-2521           3279       3821
MACS_J1621.3+3810           3594       1402
MACS_J1621.3+3810           6109       6565
MACS_J1931.8-2634           3282      10019
MACS_J2228+2036             3285       6016
MACS_J2229.7-2755           3286       7148
MACS_J2311+0338             3288       4448
MKW_04                      3234      93454
MS_0016.9+1609               520      19061
MS_0302.7+1658               525        920
MS_0440.5+0204              4196      17479
MS_0451.6-0305               902      25065
MS_0735.6+7421              4197      61438
MS_0839.8+2938              2224      38794
MS_0906.5+1110               924      30757
MS_1006.0+1202               925      15689
MS_1008.1-1224               926      16546
MS_1054.5-0321               512      22963
MS_1455.0+2232              4192      66308
MS_1621.5+2640               546       5126
MS_2053.7-0449              1667       2794
MS_2137.3-2353              4974      20083
OPHIUCHUS                   3200     825867
PKS_0745-191                 508      98026
PKS_0745-191                6103      61972
RBS_0797                    2202      10802
RDCS_1252-29                4198       1091
RX_J0439+0520                527       5563
RX_J0439.0+0715             1449       5788
RX_J0647.7+7015             3584       3350
RX_J0819.6+6336             2199      20871
RX_J0820.9+0752             1647       3368
RX_J0910+5422               2227        499
RX_J1053+5735               4936       3459
RX_J1347.5-1145             3592      63861
RX_J1347.5-1145              507      23499
RX_J1350+6007               2229        802
RX_J1423.8+2404             1657       3641
RX_J1423.8+2404             4195      47314
RX_J1504.1-0248             5793     124428
RX_J1525+0958               1664       3088
RX_J1532.9+3021             1649      12358
RX_J1532.9+3021             1665       7453
RX_J1716.9+6708              548       3214
RX_J1720.1+2638             4361      46050
RX_J1720.2+3536             3280       6664
RX_J2129.6+0005              552      11750
SERSIC_159-03               1668      56586
V_1121.0+2327               1660       3435
ZWCL_1215                   4184      27244
ZWCL_1358+6245               516      32038
ZWCL_1953                   1659      10579
ZWCL_3146                    909      71791
ZWCL_5247                    539       5146
ZWCL_7160                    543      10095
ZWICKY_2701                 3195      30439
