# Model: wabs(mekal) for control spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF TloBF ThiBF   N/BF Nlo/BF Nhi/BF       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3595   0.00    1.0  4.44  0.00 10.27 11.68  8.66 17.60  0.41  0.09  0.77   1.34e-03   1.21e-03   1.49e-03  1.12  1.08  1.24  0.708  0.697  0.715  0.5700  0.093      0   0.70     63
1RXS_J2129.4-0741           3595   0.00    1.0  5.26  0.00 11.43  9.52  7.20 12.33  0.52  0.24  0.90   1.24e-03   1.10e-03   1.40e-03  0.91  0.90  0.87  0.653  0.634  0.673  0.5700  0.086      0   1.22     55
1RXS_J2129.4-0741           3595   0.00    1.0  1.62  0.00  7.71 11.79  8.35 16.66  0.30  0.00  0.67   1.23e-03   1.12e-03   1.37e-03  1.13  1.04  1.17  0.645  0.644  0.659  0.5700  0.087      0   1.03     57
1RXS_J2129.4-0741           3595   0.00    1.0  2.48  0.00  8.31 12.88  9.09 19.05  0.38  0.01  0.81   1.24e-03   1.13e-03   1.38e-03  1.23  1.13  1.34  0.655  0.647  0.662  0.5700  0.091      0   1.24     61
1RXS_J2129.4-0741           3595   0.00    1.0  2.48  0.00  8.31 12.88  9.09 19.05  0.38  0.01  0.81   1.24e-03   1.13e-03   1.38e-03  1.23  1.13  1.34  0.655  0.647  0.662  0.5700  0.091      0   1.24     61
1RXS_J2129.4-0741           3595   0.00    1.0  2.34  0.00  8.45 12.98  9.46 19.76  0.65  0.25  1.18   1.18e-03   1.06e-03   1.31e-03  1.24  1.18  1.39  0.620  0.611  0.631  0.5700  0.086      0   0.84     56
1RXS_J2129.4-0741           3595   0.00    1.0  0.00  0.00  2.96 10.04  8.27 12.58  0.72  0.40  1.09   1.18e-03   1.10e-03   1.27e-03  0.96  1.03  0.89  0.622  0.635  0.613  0.5700  0.090      0   0.75     60
1RXS_J2129.4-0741           3595   0.00    1.0  6.24  1.01 12.18  8.94  6.95 11.80  0.71  0.39  1.10   1.17e-03   1.03e-03   1.31e-03  0.86  0.86  0.83  0.614  0.594  0.630  0.5700  0.083      0   0.74     55
1RXS_J2129.4-0741           3595   0.00    1.0  0.74  0.00  6.54 12.57  9.23 17.25  0.70  0.29  1.19   1.17e-03   1.08e-03   1.31e-03  1.20  1.15  1.22  0.615  0.620  0.629  0.5700  0.088      0   0.71     59
1RXS_J2129.4-0741           3595   0.00    1.0  5.85  0.65 11.01 10.46  8.12 14.89  0.61  0.29  0.98   1.27e-03   1.15e-03   1.41e-03  1.00  1.01  1.05  0.670  0.660  0.678  0.5700  0.091      0   1.09     59
1RXS_J2129.4-0741           3595   0.00    1.0  2.68  0.00  8.62 11.11  8.42 15.12  0.72  0.35  1.25   1.20e-03   1.07e-03   1.35e-03  1.06  1.05  1.06  0.632  0.615  0.650  0.5700  0.091      0   1.21     60
1RXS_J2129.4-0741           3595   0.00    1.0  0.47  0.00  6.26 13.20  9.43 17.83  0.31  0.00  0.70   1.28e-03   1.18e-03   1.42e-03  1.26  1.17  1.26  0.673  0.681  0.682  0.5700  0.092      0   1.06     60
1RXS_J2129.4-0741           3595   0.00    1.0  2.68  0.00  8.62 11.11  8.42 15.12  0.72  0.35  1.25   1.20e-03   1.07e-03   1.35e-03  1.06  1.05  1.06  0.632  0.615  0.650  0.5700  0.091      0   1.21     60
1RXS_J2129.4-0741           3595   0.00    1.0  6.68  1.24 12.59  9.35  7.12 12.36  0.54  0.26  0.90   1.29e-03   1.15e-03   1.44e-03  0.89  0.89  0.87  0.681  0.662  0.694  0.5700  0.088      0   0.84     57
1RXS_J2129.4-0741           3595   0.00    1.0  2.29  0.00  7.67  9.57  7.31 13.02  0.35  0.08  0.64   1.29e-03   1.17e-03   1.43e-03  0.92  0.91  0.92  0.677  0.672  0.688  0.5700  0.089      0   0.67     59
1RXS_J2129.4-0741           3595   0.00    1.0  2.67  0.00  8.16  9.85  7.64 13.55  0.42  0.13  0.76   1.26e-03   1.14e-03   1.40e-03  0.94  0.95  0.95  0.662  0.653  0.673  0.5700  0.090      0   1.05     59
1RXS_J2129.4-0741           3595   0.00    1.0  0.43  0.00  6.47 12.54  8.87 17.45  0.32  0.00  0.67   1.22e-03   1.13e-03   1.35e-03  1.20  1.10  1.23  0.642  0.651  0.647  0.5700  0.086      0   0.90     55
1RXS_J2129.4-0741           3595   0.00    1.0  4.49  0.00 10.37  9.84  7.34 14.06  0.38  0.10  0.70   1.26e-03   1.13e-03   1.42e-03  0.94  0.91  0.99  0.663  0.652  0.680  0.5700  0.087      0   0.99     57
1RXS_J2129.4-0741           3595   0.00    1.0  3.50  0.00  9.21 10.74  8.14 15.01  0.59  0.26  1.00   1.21e-03   1.08e-03   1.35e-03  1.03  1.01  1.06  0.636  0.621  0.648  0.5700  0.089      0   1.12     59
1RXS_J2129.4-0741           3595   0.00    1.0  0.00  0.00  3.70  9.63  7.80 11.84  0.87  0.53  1.28   1.19e-03   1.10e-03   1.30e-03  0.92  0.97  0.83  0.624  0.631  0.626  0.5700  0.094      0   0.96     60
3C_220.1                     839   0.00    1.0 25.24  9.22 41.20  2.69  1.69  5.43  1.24  0.00 17.55   1.73e-04   0.00e+00   3.92e-04  0.37  0.45  0.35  0.564  0.000  0.967  0.6100  0.013      0   1.92      7
3C_220.1                     839   0.00    1.0  9.53  0.00 24.02  4.33  2.51  8.04  0.00  0.00  0.98   2.07e-04   1.49e-04   3.27e-04  0.60  0.67  0.52  0.673  0.548  0.808  0.6100  0.015      0   1.07      8
