# Model: wabs(mekal) for control spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF TloBF ThiBF   N/BF Nlo/BF Nhi/BF       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  8.50  6.97 10.75  0.30  0.09  0.51   1.93e-03   1.79e-03   2.06e-03  0.83  0.85  0.80  1.004  1.008  1.004  0.5700  0.088      0   1.26     62
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.55  8.51 13.53  0.48  0.22  0.79   1.81e-03   1.67e-03   1.94e-03  1.03  1.04  1.00  0.941  0.935  0.947  0.5700  0.087      0   0.59     63
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.55  8.51 13.53  0.48  0.22  0.79   1.81e-03   1.67e-03   1.94e-03  1.03  1.04  1.00  0.941  0.935  0.947  0.5700  0.087      0   0.59     63
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  8.60  7.01 10.94  0.41  0.19  0.66   1.75e-03   1.62e-03   1.89e-03  0.84  0.86  0.81  0.910  0.909  0.921  0.5700  0.082      0   1.13     61
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.69  8.60 13.94  0.36  0.11  0.64   1.82e-03   1.70e-03   1.96e-03  1.04  1.05  1.03  0.949  0.953  0.956  0.5700  0.088      0   0.94     63
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.04  8.77 14.29  0.14  0.00  0.39   1.94e-03   1.81e-03   2.08e-03  1.07  1.07  1.06  1.012  1.017  1.015  0.5700  0.091      0   0.97     66
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.62  8.46 13.90  0.44  0.18  0.73   1.79e-03   1.66e-03   1.92e-03  1.03  1.04  1.03  0.931  0.934  0.937  0.5700  0.088      0   0.86     63
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.62  8.46 13.90  0.44  0.18  0.73   1.79e-03   1.66e-03   1.92e-03  1.03  1.04  1.03  0.931  0.934  0.937  0.5700  0.088      0   0.86     63
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.25  8.79 15.08  0.25  0.00  0.51   1.86e-03   1.74e-03   1.99e-03  1.09  1.08  1.12  0.968  0.978  0.971  0.5700  0.088      0   1.13     61
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.90  7.81 13.33  0.32  0.07  0.55   1.87e-03   1.75e-03   2.01e-03  0.96  0.96  0.99  0.976  0.983  0.981  0.5700  0.090      0   1.37     64
