# Model: wabs(mekal) for robs-70 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF TloBF ThiBF   N/BF Nlo/BF Nhi/BF       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.35  8.78 15.73  0.40  0.09  0.73   1.35e-03   1.25e-03   1.46e-03  1.06  1.02  1.15  1.048  1.009  1.083  0.5700  0.066      0   0.62     46
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.52  7.49 12.81  0.53  0.24  0.87   1.23e-03   1.12e-03   1.34e-03  0.89  0.87  0.94  0.951  0.904  0.993  0.5700  0.061      0   1.26     40
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.08  7.82 14.05  0.29  0.02  0.58   1.28e-03   1.18e-03   1.40e-03  0.94  0.91  1.03  0.994  0.950  1.037  0.5700  0.059      0   1.09     40
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.70  8.81 16.50  0.39  0.06  0.76   1.28e-03   1.17e-03   1.38e-03  1.10  1.02  1.21  0.990  0.941  1.024  0.5700  0.062      0   0.95     44
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.70  8.81 16.50  0.39  0.06  0.76   1.28e-03   1.17e-03   1.38e-03  1.10  1.02  1.21  0.990  0.941  1.024  0.5700  0.062      0   0.95     44
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.29  8.73 15.72  0.53  0.20  0.92   1.24e-03   1.14e-03   1.35e-03  1.06  1.01  1.15  0.964  0.920  1.002  0.5700  0.061      0   0.72     41
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.59  8.38 14.13  0.74  0.39  1.17   1.17e-03   1.07e-03   1.29e-03  0.99  0.97  1.03  0.911  0.863  0.952  0.5700  0.060      0   0.67     42
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.25  7.39 12.02  0.78  0.45  1.18   1.12e-03   1.02e-03   1.23e-03  0.87  0.86  0.88  0.867  0.819  0.912  0.5700  0.057      0   0.64     39
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.94  9.18 16.56  0.64  0.27  1.10   1.21e-03   1.10e-03   1.31e-03  1.12  1.07  1.21  0.938  0.886  0.972  0.5700  0.061      0   0.78     43
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.61  8.91 16.47  0.67  0.31  1.07   1.22e-03   1.12e-03   1.32e-03  1.09  1.04  1.21  0.944  0.903  0.980  0.5700  0.064      0   1.16     43
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.52  8.36 13.88  0.66  0.33  1.10   1.23e-03   1.12e-03   1.35e-03  0.98  0.97  1.02  0.955  0.901  0.999  0.5700  0.064      0   1.18     44
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 11.75  8.95 16.21  0.26  0.00  0.59   1.33e-03   1.23e-03   1.45e-03  1.10  1.04  1.19  1.034  0.990  1.073  0.5700  0.065      0   1.15     44
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.52  8.36 13.88  0.66  0.33  1.10   1.23e-03   1.12e-03   1.35e-03  0.98  0.97  1.02  0.955  0.901  0.999  0.5700  0.064      0   1.18     44
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.87  7.93 12.76  0.59  0.29  0.94   1.25e-03   1.14e-03   1.35e-03  0.92  0.92  0.93  0.970  0.921  1.004  0.5700  0.062      0   0.74     42
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.59  7.57 12.82  0.34  0.08  0.62   1.29e-03   1.19e-03   1.40e-03  0.90  0.88  0.94  1.004  0.957  1.037  0.5700  0.061      0   0.70     42
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.93  7.95 13.33  0.40  0.11  0.73   1.27e-03   1.16e-03   1.37e-03  0.93  0.92  0.98  0.983  0.933  1.017  0.5700  0.061      0   0.96     42
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.95  8.24 15.29  0.29  0.00  0.59   1.28e-03   1.18e-03   1.38e-03  1.03  0.96  1.12  0.995  0.951  1.024  0.5700  0.060      0   0.84     40
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.13  7.75 13.97  0.39  0.10  0.72   1.25e-03   1.14e-03   1.36e-03  0.95  0.90  1.02  0.967  0.919  1.005  0.5700  0.059      0   0.93     41
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00 10.25  8.11 13.70  0.55  0.24  0.91   1.23e-03   1.13e-03   1.34e-03  0.96  0.94  1.00  0.953  0.910  0.993  0.5700  0.062      0   0.90     43
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.79  7.79 12.89  0.87  0.52  1.36   1.19e-03   1.07e-03   1.31e-03  0.92  0.90  0.94  0.924  0.864  0.973  0.5700  0.062      0   0.89     42
1RXS_J2129.4-0741           3595    0.5    0.5  4.36  0.00  0.00 14.83  8.83 30.45  0.14  0.00  0.74   6.52e-04   5.75e-04   7.17e-04  1.39  1.03  2.23  0.505  0.463  0.531  0.5700  0.030      0   0.96     22
1RXS_J2129.4-0741           3595    0.5    0.6  4.36  0.00  0.00  7.07  5.34 10.05  0.40  0.07  0.74   7.95e-04   7.13e-04   8.93e-04  0.66  0.62  0.74  0.616  0.575  0.661  0.5700  0.036      0   1.01     26
1RXS_J2129.4-0741           3595    0.5    0.7  4.36  0.00  0.00  7.83  6.04 10.49  0.57  0.26  0.93   8.73e-04   7.75e-04   9.70e-04  0.73  0.70  0.77  0.677  0.625  0.718  0.5700  0.043      0   1.64     30
1RXS_J2129.4-0741           3595    0.5   0.85  4.36  0.00  0.00  9.13  7.32 12.62  0.94  0.56  1.43   9.34e-04   8.34e-04   1.02e-03  0.86  0.85  0.92  0.724  0.672  0.759  0.5700  0.049      0   0.93     35
1RXS_J2129.4-0741           3595    0.5    0.8  4.36  0.00  0.00 14.70 10.14 24.78  0.63  0.08  1.32   9.16e-04   8.11e-04   1.01e-03  1.38  1.18  1.81  0.710  0.654  0.749  0.5700  0.047      0   1.00     33
1RXS_J2129.4-0741           3595    0.5   0.95  4.36  0.00  0.00 10.06  8.02 13.35  0.85  0.50  1.29   1.17e-03   1.06e-03   1.27e-03  0.94  0.93  0.98  0.907  0.852  0.944  0.5700  0.061      0   0.69     42
1RXS_J2129.4-0741           3595    0.5   0.96  4.36  0.00  0.00  9.19  7.39 12.06  0.63  0.32  0.98   1.15e-03   1.05e-03   1.26e-03  0.86  0.86  0.88  0.894  0.850  0.935  0.5700  0.059      0   1.24     40
1RXS_J2129.4-0741           3595    0.5   0.97  4.36  0.00  0.00  9.29  7.32 12.49  0.25  0.00  0.52   1.29e-03   1.19e-03   1.41e-03  0.87  0.85  0.91  0.999  0.959  1.041  0.5700  0.059      0   0.79     40
1RXS_J2129.4-0741           3595    0.5   0.98  4.36  0.00  0.00  9.03  7.10 12.04  0.29  0.03  0.56   1.24e-03   1.14e-03   1.36e-03  0.85  0.82  0.88  0.965  0.922  1.008  0.5700  0.057      0   0.58     39
1RXS_J2129.4-0741           3595    0.5   0.99  4.36  0.00  0.00 10.71  8.18 15.05  0.57  0.23  0.96   1.13e-03   1.03e-03   1.23e-03  1.00  0.95  1.10  0.876  0.828  0.908  0.5700  0.057      0   1.01     40
1RXS_J2129.4-0741           3595    0.5    0.9  4.36  0.00  0.00 11.37  8.62 16.13  0.66  0.29  1.13   1.11e-03   1.00e-03   1.21e-03  1.06  1.00  1.18  0.858  0.809  0.899  0.5700  0.056      0   0.85     38
1RXS_J2129.4-0741           3595   0.75    0.5  4.36  0.00  0.00  9.65  6.37 17.42  0.40  0.00  0.92   6.52e-04   5.68e-04   7.43e-04  0.90  0.74  1.28  0.505  0.458  0.550  0.5700  0.031      0   1.55     22
1RXS_J2129.4-0741           3595   0.75    0.6  4.36  0.00  0.00  8.69  6.34 13.11  0.22  0.00  0.52   9.04e-04   8.15e-04   1.00e-03  0.81  0.74  0.96  0.701  0.657  0.740  0.5700  0.040      0   0.68     28
1RXS_J2129.4-0741           3595   0.75    0.7  4.36  0.00  0.00  7.65  6.07  9.88  0.56  0.26  0.92   9.85e-04   8.83e-04   1.10e-03  0.72  0.71  0.72  0.763  0.712  0.812  0.5700  0.047      0   1.01     33
1RXS_J2129.4-0741           3595   0.75   0.85  4.36  0.00  0.00  9.87  7.65 13.49  0.33  0.06  0.66   1.13e-03   1.02e-03   1.23e-03  0.92  0.89  0.99  0.877  0.826  0.914  0.5700  0.053      0   0.78     35
1RXS_J2129.4-0741           3595   0.75    0.8  4.36  0.00  0.00  8.11  6.32 11.22  0.39  0.13  0.68   1.07e-03   9.67e-04   1.18e-03  0.76  0.73  0.82  0.827  0.780  0.874  0.5700  0.049      0   1.16     34
1RXS_J2129.4-0741           3595   0.75   0.95  4.36  0.00  0.00 10.49  8.25 14.27  0.94  0.55  1.45   1.15e-03   1.04e-03   1.27e-03  0.98  0.96  1.04  0.889  0.842  0.944  0.5700  0.062      0   0.80     43
1RXS_J2129.4-0741           3595   0.75   0.96  4.36  0.00  0.00 13.86  9.96 21.50  0.34  0.00  0.74   1.18e-03   1.09e-03   1.28e-03  1.30  1.16  1.57  0.918  0.878  0.952  0.5700  0.059      0   1.08     40
1RXS_J2129.4-0741           3595   0.75   0.97  4.36  0.00  0.00 13.75  9.79 22.39  0.72  0.25  1.24   1.19e-03   1.09e-03   1.30e-03  1.29  1.14  1.64  0.925  0.878  0.967  0.5700  0.061      0   0.82     43
1RXS_J2129.4-0741           3595   0.75   0.98  4.36  0.00  0.00 10.40  7.99 15.72  0.46  0.08  0.79   1.21e-03   1.11e-03   1.30e-03  0.97  0.93  1.15  0.936  0.895  0.962  0.5700  0.059      0   0.87     40
1RXS_J2129.4-0741           3595   0.75   0.99  4.36  0.00  0.00  8.91  7.11 11.61  0.73  0.43  1.11   1.18e-03   1.07e-03   1.30e-03  0.83  0.83  0.85  0.915  0.865  0.962  0.5700  0.060      0   1.28     41
1RXS_J2129.4-0741           3595   0.75    0.9  4.36  0.00  0.00  6.99  5.62  8.81  0.58  0.32  0.86   1.21e-03   1.10e-03   1.33e-03  0.65  0.65  0.64  0.934  0.885  0.983  0.5700  0.056      0   0.92     40
1RXS_J2129.4-0741           3595    1.0    0.5  4.36  0.00  0.00  7.41  5.50 10.79  0.50  0.16  0.87   7.67e-04   6.80e-04   8.71e-04  0.69  0.64  0.79  0.595  0.548  0.645  0.5700  0.036      0   1.30     26
1RXS_J2129.4-0741           3595    1.0    0.6  4.36  0.00  0.00  8.00  5.92 12.02  0.45  0.14  0.83   8.34e-04   7.25e-04   9.33e-04  0.75  0.69  0.88  0.646  0.585  0.691  0.5700  0.038      0   1.26     27
1RXS_J2129.4-0741           3595    1.0    0.7  4.36  0.00  0.00  8.34  6.47 11.33  0.39  0.09  0.72   9.83e-04   8.80e-04   1.08e-03  0.78  0.75  0.83  0.762  0.710  0.802  0.5700  0.045      0   0.75     32
