# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
MACS_J0159.8-0849           3265   0.01   1.64  2.01  0.00  0.00  8.69  7.75  9.86  0.30  0.16  0.44   3.73e-03   3.59e-03   3.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.315   90.6   1.07    152
MACS_J0257.6-2209           3267   0.02   1.92  2.02  0.00  0.00  8.02  7.14  9.14  0.30  0.13  0.46   2.61e-03   2.51e-03   2.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.245   84.5   1.12    147
MACS_J0404.6+1109           3269   0.02   1.58 14.96  0.00  0.00  5.77  4.89  6.91  0.24  0.04  0.46   1.17e-03   1.10e-03   1.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3548  0.087   73.7   0.85     69
MACS_J0417.5-1154           3270   0.01   1.26  5.37  0.00  0.00 10.45  9.10 12.22  0.31  0.14  0.50   4.64e-03   4.46e-03   4.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.373   94.8   1.09    132
MACS_J0451.9+0006           5815   0.01   1.31  7.65  0.00  0.00  5.80  4.77  7.26  0.51  0.22  0.84   1.50e-03   1.36e-03   1.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4300  0.116   83.8   1.25     39
MACS_J0825.5+6157           3198   0.01   1.56  4.16  0.00  0.00 30.11  8.03 79.90  0.21  0.00 17.80   1.99e-04   0.00e+00   2.70e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5420  0.013   35.7   0.53     15
MACS_J1131.8-1955           3276   0.02   2.13  4.49  0.00  0.00  8.64  7.67  9.87  0.42  0.25  0.59   4.49e-03   4.32e-03   4.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.422   87.4   1.00    159
MACS_J1206.2-0847           3277   0.01   1.53  4.15  0.00  0.00 10.21  9.24 11.40  0.33  0.20  0.46   4.66e-03   4.53e-03   4.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.374   93.1   0.96    191
MACS_J1226.8+2153           3590   0.02   1.53  1.82  0.00  0.00  4.21  3.41  5.28  0.23  0.00  0.61   7.31e-04   6.38e-04   8.45e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3700  0.052   67.9   1.02     33
MACS_J1311.0-0310           3258   0.01   1.17  2.18  0.00  0.00  7.03  5.86  8.74  0.41  0.14  0.70   1.31e-03   1.21e-03   1.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4940  0.100   86.6   0.94     52
MACS_J1824.3+4309           3255   0.01   0.96  4.52  0.00  0.00  5.53  3.66  9.99  0.47  0.00  1.53   3.64e-04   2.92e-04   4.33e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4870  0.026   71.9   1.48     14
MACS_J2211.7-0349           3284   0.02   2.67  5.86  0.00  0.00 11.30 10.13 12.76  0.15  0.01  0.28   6.67e-03   6.48e-03   6.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.620   88.4   1.24    221
MACS_J2245.0+2637           3287   0.02   1.68  5.50  0.00  0.00  6.06  5.52  6.69  0.60  0.42  0.80   2.90e-03   2.75e-03   3.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.274   88.1   0.94    131
