# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
MACS_J0159.8-0849           3265   0.01   1.16  0.00  0.00  1.72  9.35  8.20 10.75  0.30  0.14  0.47   3.18e-03   3.09e-03   3.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.277   94.4   1.11    138
MACS_J0257.6-2209           3267   0.02   1.36  2.55  0.00  6.24  7.93  6.71  9.64  0.41  0.24  0.60   2.25e-03   2.10e-03   2.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.215   90.5   1.14    134
MACS_J0404.6+1109           3269   0.02   1.12 11.21  3.76 19.36  7.99  5.60 12.38  0.22  0.00  0.55   7.63e-04   6.66e-04   8.81e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3548  0.062   80.2   0.97     46
MACS_J0417.5-1154           3270   0.01   0.89  0.00  0.00  2.55 12.65 10.28 15.85  0.48  0.21  0.77   3.21e-03   3.04e-03   3.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.282   96.6   1.06    104
MACS_J0451.9+0006           5815   0.01   0.93  3.64  0.00 13.26  6.67  4.50  8.96  0.42  0.00  0.89   1.14e-03   9.94e-04   1.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4300  0.091   89.3   1.05     31
MACS_J0825.5+6157           3198   0.01   1.10  0.01  0.00 19.78 57.36  6.31 79.90  1.94  0.00 1000.00   1.62e-04   0.00e+00   2.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5420  0.012   49.3   1.14      9
MACS_J1131.8-1955           3276   0.02   1.50  0.62  0.00  3.98 10.17  8.36 12.56  0.50  0.27  0.74   3.35e-03   3.20e-03   3.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.338   91.7   1.05    134
MACS_J1206.2-0847           3277   0.01   1.08  1.74  0.00  4.49 11.12  9.42 13.68  0.33  0.17  0.48   3.69e-03   3.52e-03   3.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.304   95.7   1.02    172
MACS_J1226.8+2153           3590   0.02   1.08  0.00  0.00  5.62  5.18  3.91  6.85  0.00  0.00  0.27   6.09e-04   5.54e-04   6.86e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3700  0.043   78.0   1.34     25
MACS_J1311.0-0310           3258   0.01   0.83  0.68  0.00  7.41  6.47  4.97  8.06  0.69  0.36  1.06   1.08e-03   9.99e-04   1.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4940  0.088   92.0   1.11     42
MACS_J1824.3+4309           3255   0.01   0.68  0.00  0.00 14.01  4.66  3.04  7.01  0.75  0.00  2.52   2.43e-04   1.76e-04   3.25e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4870  0.019   78.2   0.51      8
MACS_J2211.7-0349           3284   0.02   1.89  4.94  2.56  7.28 11.68  9.95 14.23  0.18  0.03  0.32   5.99e-03   5.76e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.567   93.1   1.33    206
MACS_J2245.0+2637           3287   0.02   1.19  1.98  0.00  5.71  6.73  5.79  7.90  0.64  0.43  0.87   2.42e-03   2.25e-03   2.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.242   92.9   0.77    112
