# Model: wabs(mekal) for r5000 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
MACS_J0159.8-0849           3265   0.00   1.16  0.00  0.00  1.22  7.57  6.88  8.34  0.39  0.27  0.52   4.35e-03   4.22e-03   4.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.381   95.8   1.25    159
MACS_J0257.6-2209           3267   0.00   1.36  1.00  0.00  4.27  8.10  6.93  9.42  0.48  0.31  0.67   2.54e-03   2.36e-03   2.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.250   91.5   1.01    144
MACS_J0404.6+1109           3269   0.00   1.12 11.89  4.10 20.18  8.22  5.80 12.73  0.13  0.00  0.43   8.18e-04   7.13e-04   9.44e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3548  0.064   80.6   1.00     49
MACS_J0417.5-1154           3270   0.00   0.89  0.00  0.00  1.62 10.04  8.79 11.63  0.37  0.20  0.56   4.42e-03   4.25e-03   4.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.380   97.3   1.01    129
MACS_J0451.9+0006           5815   0.00   0.93  0.00  0.00  8.31  8.39  5.63 11.47  0.47  0.10  0.90   1.17e-03   1.06e-03   1.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4300  0.101   90.0   1.16     34
MACS_J0825.5+6157           3198   0.00   1.10  0.00  0.00  2.42 15.10 11.39 21.25  0.36  0.00  0.79   1.34e-03   1.25e-03   1.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5420  0.103   88.1   1.05     63
MACS_J1131.8-1955           3276   0.00   1.50  0.39  0.00  3.71 10.59  8.69 11.73  0.58  0.34  0.83   3.47e-03   3.32e-03   3.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.353   91.9   0.96    138
MACS_J1206.2-0847           3277   0.00   1.08  1.33  0.00  3.77 10.89  9.37 13.01  0.32  0.18  0.46   4.21e-03   4.04e-03   4.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.349   96.2   0.96    185
MACS_J1226.8+2153           3590   0.00   1.08  0.00  0.00  6.54  5.00  3.93  6.25  0.28  0.00  0.66   7.04e-04   6.44e-04   8.19e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3700  0.053   80.7   1.00     30
MACS_J1311.0-0310           3258   0.00   0.83  0.47  0.00  6.31  6.52  5.18  7.82  0.46  0.22  0.72   1.54e-03   1.44e-03   1.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4940  0.119   93.8   1.07     56
MACS_J1824.3+4309           3255   0.00   0.68  0.00  0.00  9.71  3.42  2.63  4.58  1.38  0.31  5.86   2.89e-04   2.03e-04   4.00e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4870  0.024   82.0   1.23     11
MACS_J2211.7-0349           3284   0.00   1.89  4.45  2.22  6.59 12.00 10.31 14.54  0.16  0.02  0.30   7.03e-03   6.79e-03   7.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.665   94.0   1.28    219
MACS_J2245.0+2637           3287   0.00   1.19  2.51  0.00  5.78  6.18  5.46  7.05  0.64  0.47  0.83   3.30e-03   3.10e-03   3.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.327   94.5   1.01    136
