# Model: wabs(mekal) for r5000 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
MACS_J0159.8-0849           3265   0.00   1.16  2.01  0.00  0.00  8.84  7.73 10.33  0.42  0.27  0.57   4.10e-03   3.91e-03   4.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.211   95.8   1.10    110
MACS_J0257.6-2209           3267   0.00   1.36  2.02  0.00  0.00  8.12  6.96  9.66  0.54  0.35  0.73   2.48e-03   2.34e-03   2.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.131   91.5   1.14     89
MACS_J0404.6+1109           3269   0.00   1.12 14.96  0.00  0.00  7.83  5.82 11.88  0.09  0.00  0.36   8.44e-04   7.40e-04   9.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3548  0.038   80.6   1.06     31
MACS_J0417.5-1154           3270   0.00   0.89  5.37  0.00  0.00 11.42  9.41 14.29  0.40  0.20  0.63   4.30e-03   4.07e-03   4.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.223   97.3   0.97     84
MACS_J0451.9+0006           5815   0.00   0.93  7.65  0.00  0.00  7.69  5.48 12.05  0.42  0.09  0.87   1.23e-03   1.06e-03   1.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4300  0.061   90.0   1.48     21
MACS_J0825.5+6157           3198   0.00   1.10  4.16  0.00  0.00 15.72 11.12 24.94  0.37  0.00  0.84   1.35e-03   1.24e-03   1.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5420  0.069   88.1   0.84     46
MACS_J1131.8-1955           3276   0.00   1.50  4.49  0.00  0.00  9.62  7.96 11.99  0.55  0.34  0.78   3.59e-03   3.38e-03   3.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.193   91.9   0.89     85
MACS_J1206.2-0847           3277   0.00   1.08  4.15  0.00  0.00 11.61  9.92 13.88  0.32  0.16  0.47   4.18e-03   4.02e-03   4.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.213   96.2   1.05    138
MACS_J1226.8+2153           3590   0.00   1.08  1.82  0.00  0.00  4.92  3.63  7.41  0.44  0.23  0.94   6.65e-04   5.56e-04   7.98e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3700  0.026   80.7   0.91     15
MACS_J1311.0-0310           3258   0.00   0.83  2.18  0.00  0.00  6.30  5.12  7.92  0.50  0.26  0.78   1.54e-03   1.41e-03   1.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4940  0.072   93.8   1.06     35
MACS_J1824.3+4309           3255   0.00   0.68  4.52  0.00  0.00  3.33  2.37  5.91  1.44  0.24  9.36   2.99e-04   9.45e-05   4.45e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4870  0.012   82.0   1.82      5
MACS_J2211.7-0349           3284   0.00   1.89  5.86  0.00  0.00 14.62 12.17 18.36  0.16  0.00  0.33   6.83e-03   6.59e-03   7.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.353   94.0   1.20    160
MACS_J2245.0+2637           3287   0.00   1.19  5.50  0.00  0.00  6.43  5.66  7.39  0.64  0.45  0.84   3.26e-03   3.06e-03   3.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.163   94.5   1.13     81
