#Cluster                   Sequence Instr     nh20    Tx   Tlo   Thi    Fe  Felo  Fehi       z     fx       Lbol  chisq    dof
3C_295                     71003000 G2G3S0S1  1.33  6.51  5.52  7.88  0.36  0.16  0.58  0.4600   7.91e-13  45.54   1.05    195
ABELL_0068                 86061000 G2G3S0S1  4.94  7.99  7.35  8.74  0.26  0.16  0.35  0.2550   2.71e-12  45.56   1.08    532
ABELL_0085                 Combined G2G3S0S1  3.45  5.87  5.80  5.95  0.37  0.35  0.39  0.0555   5.37e-11  45.43   1.18   2003
ABELL_0133                 85062000 G2G3S0S1  1.53  3.71  3.64  3.79  0.64  0.58  0.70  0.0566   1.56e-11  44.81   1.16   1144
ABELL_0267                 85048000 G2G3S0S1  2.80  5.93  5.51  6.41  0.26  0.17  0.34  0.2300   3.04e-12  45.45   1.11    613
ABELL_0370                 80010000 G2G3S0S1  3.06  7.20  6.43  7.95  0.39  0.26  0.55  0.3750   1.30e-12  45.59   0.91    305
ABELL_0399                 82008000 G2G3S0S1 10.90  6.99  6.76  7.23  0.30  0.25  0.34  0.0724   2.08e-11  45.29   0.96   1449
ABELL_0478                 81015000 G2S0S1   15.10  7.07  6.90  7.26  0.31  0.27  0.34  0.0881   4.69e-11  45.82   1.13   1269
ABELL_0496                 80003000 G2G3S0S1  4.59  3.89  3.85  3.93  0.47  0.45  0.49  0.0329   5.97e-11  44.93   1.07   1850
ABELL_0520                 82041000 G2G3S0S1  7.79  7.81  7.17  8.55  0.25  0.16  0.34  0.2011   5.10e-12  45.62   1.08    540
ABELL_0521                 84071000 G2G3S0S1  5.80  6.74  6.29  7.24  0.19  0.11  0.26  0.2873   3.05e-12  45.68   0.92    679
ABELL_0576                 84001000 G2G3S0S1  5.71  4.09  4.02  4.16  0.46  0.43  0.50  0.0389   1.81e-11  44.57   1.23   1403
ABELL_0586                 81009010 G2S0S1    5.15  6.39  5.79  7.11  0.24  0.13  0.36  0.1710   5.09e-12  45.42   1.01    278
ABELL_0611                 84063000 G2G3S0S1  4.99  6.69  6.25  7.20  0.19  0.12  0.27  0.2880   1.98e-12  45.50   1.08    619
ABELL_0644                 83022000 G2G3S0S1  6.82  7.31  7.18  7.44  0.35  0.32  0.37  0.0704   3.08e-11  45.45   1.03   2000
ABELL_0665                 Combined G2G3S0S1  4.24  8.03  7.79  8.27  0.22  0.19  0.26  0.1819   7.52e-12  45.70   1.07   1616
ABELL_0697                 84031000 G2G3S0S1  3.41  9.14  8.60  9.74  0.24  0.17  0.31  0.2820   4.51e-12  45.91   1.04   1006
ABELL_0773                 82001000 G2G3S0S1  1.44 10.30  9.51 11.22  0.29  0.20  0.38  0.2170   3.53e-12  45.59   1.08    754
ABELL_0963                 80000000 G2G3S0S1  1.40  6.60  6.21  6.97  0.34  0.26  0.42  0.2060   3.84e-12  45.48   1.00    596
ABELL_1060                 80004000 G2G3S0S1  4.89  3.20  3.16  3.24  0.37  0.34  0.39  0.0126   5.66e-11  44.03   1.11   1659
ABELL_1068                 84064000 G2G3S0S1  0.98  3.87  3.75  3.99  0.42  0.36  0.48  0.1375   6.69e-12  45.24   1.05    825
ABELL_1204                 82002000 G2G3S0S1  1.40  3.78  3.62  3.96  0.35  0.28  0.43  0.1706   4.46e-12  45.26   0.91    553
ABELL_1413                 81008000 G2G3S0S1  2.19  7.09  6.84  7.36  0.31  0.26  0.35  0.1427   1.14e-11  45.64   1.01   1247
ABELL_1423                 85071000 G2G3S0S1  1.20  5.38  5.03  5.77  0.34  0.25  0.43  0.2138   3.71e-12  45.45   1.02    672
ABELL_1650                 84021000 G2G3S0S1  1.56  5.89  5.77  6.01  0.40  0.37  0.43  0.0845   1.74e-11  45.31   1.10   1630
ABELL_1651                 82036000 G2G3S0S1  1.81  5.97  5.82  6.13  0.30  0.26  0.33  0.0844   1.89e-11  45.35   1.04   1422
ABELL_1682                 84075000 G2G3S0S1  1.35  6.27  5.80  6.79  0.25  0.16  0.34  0.2339   2.59e-12  45.41   1.05    573
ABELL_1689                 80005000 G2G3S0S1  1.82  9.15  8.82  9.51  0.32  0.28  0.37  0.1832   1.20e-11  45.94   0.98   1387
ABELL_1758                 Combined G2G3S0S1  1.06  7.95  7.33  8.69  0.20  0.11  0.29  0.2792   2.50e-12  45.61   1.17    543
ABELL_1763                 83044000 G2G3S0S1  0.94  7.72  7.28  8.20  0.30  0.23  0.36  0.2284   4.84e-12  45.71   1.01    875
ABELL_1795                 Combined G2G3S0S1  1.19  5.49  5.43  5.54  0.37  0.36  0.39  0.0631   5.02e-11  45.50   1.15   2103
ABELL_1835                 Combined G2G3S0S1  2.32  7.65  7.34  7.98  0.36  0.31  0.41  0.2532   9.22e-12  46.08   1.05   1077
ABELL_1914                 84032000 G2G3S0S1  0.95  9.48  9.03  9.97  0.30  0.24  0.36  0.1712   1.09e-11  45.85   1.04   1200
ABELL_1942                 83000000 G2G3S0S1  2.61  5.12  4.56  5.83  0.27  0.12  0.44  0.2240   1.28e-12  45.02   0.91    303
ABELL_2029                 Combined G2G3S0S1  3.05  7.38  7.25  7.53  0.42  0.39  0.44  0.0773   5.35e-11  45.77   1.09   1757
ABELL_2034                 84022000 G2G3S0S1  1.59  7.15  6.86  7.47  0.29  0.23  0.34  0.1130   9.33e-12  45.34   1.05   1156
ABELL_2104                 84072000 G2G3S0S1  8.70  9.31  8.84  9.81  0.32  0.26  0.38  0.1554   6.19e-12  45.51   1.03   1163
ABELL_2111                 85065000 G2G3S0S1  1.93  8.02  7.25  8.97  0.13  0.01  0.26  0.2290   2.40e-12  45.41   1.01    509
ABELL_2147                 83074000 G2G3S0S1  3.39  4.45  4.35  4.54  0.35  0.31  0.39  0.0350   2.74e-11  44.67   1.09   1493
ABELL_2163                 80024000 G2G3S0S1 12.10 12.12 11.55 12.74  0.22  0.17  0.28  0.2030   1.86e-11  46.29   0.98   1436
ABELL_2199                 80023000 G2G3S0S1  0.86  4.14  4.10  4.19  0.43  0.40  0.45  0.0299   7.51e-11  44.95   1.09   1877
ABELL_2204                 Combined G2G3S0S1  5.67  6.97  6.79  7.15  0.38  0.35  0.42  0.1523   2.02e-11  45.94   1.08   1502
ABELL_2218                 80001000 G2G3S0S1  3.24  6.97  6.63  7.34  0.20  0.14  0.25  0.1756   5.06e-12  45.46   1.00    864
ABELL_2219                 82037000 G2G3S0S1  1.75  9.81  9.22 10.46  0.27  0.19  0.34  0.2256   9.20e-12  46.03   0.96    962
ABELL_2244                 86073000 G2G3S0S1  2.13  5.57  5.42  5.74  0.29  0.25  0.33  0.0968   1.50e-11  45.35   1.04   1237
