# Model: wabs(mekal) for r2500 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = no; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.69  0.00  0.00 130.07  9.75  7.44 13.93  0.52  0.52  0.52   1.98e-03   1.76e-03   2.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.027   73.8   1.20     22
3C_220.1                     839   0.00   1.46  0.00  0.00 520.87 54.71  9.98 79.90  0.30  0.30  0.30   6.31e-04   4.83e-04   8.27e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.009   69.0   0.90     11
3C_28.0                     3233   0.00   2.30 111.85 33.07 191.38  4.46  3.65  5.73  0.12  0.12  0.12   6.17e-03   4.80e-03   7.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.116   84.6   0.91    182
3C_346                      3129   0.00   0.98  0.00  0.00 63.64  7.57  4.57 17.49  0.35  0.35  0.35   6.37e-04   5.62e-04   8.32e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.022   61.4   0.82     33
4C_55.16                    4940   0.00   2.02 70.71  2.13 145.48  3.75  3.23  4.37  0.29  0.29  0.29   5.99e-03   4.91e-03   7.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.097   58.5   1.04    212
ABELL_0068                  3250   0.00   3.01 65.96  0.00 182.89  7.15  4.90 11.01  0.30  0.30  0.30   5.70e-03   4.64e-03   7.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.131   74.8   0.86     54
ABELL_0133                  2203   0.00   2.57  0.00  0.00 17.31  3.74  3.50  3.95  0.64  0.64  0.64   1.18e-02   1.15e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.441   83.9   1.12    248
ABELL_0267                  3580   0.00   2.67 53.12  0.00 140.08  8.47  6.05 13.03  0.26  0.26  0.26   4.73e-03   4.04e-03   5.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.123   79.2   0.80     91
ABELL_0370                   515   0.00   1.96 109.37 30.05 190.03 11.13  9.25 14.81  0.39  0.39  0.39   3.00e-03   2.71e-03   3.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.064   76.2   1.01    148
ABELL_0383                  2321   0.00   2.39 60.84  0.00 153.75  4.43  3.52  5.53  0.38  0.38  0.38   7.30e-03   5.94e-03   9.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.172   71.5   1.17    116
ABELL_0399                  3230   0.00   6.65 52.98 28.46 77.08  5.76  5.18  6.53  0.23  0.23  0.23   2.41e-02   2.23e-02   2.61e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.771   75.4   1.11    327
ABELL_0401                   518   0.00   7.43 13.49  0.00 32.05 12.27 10.45 15.12  0.46  0.46  0.46   4.55e-02   4.40e-02   4.72e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  1.850   96.7   1.32    321
ABELL_0478                  1669   0.00   3.39 34.33 24.83 44.04  6.82  6.53  7.13  0.31  0.31  0.31   6.91e-02   6.74e-02   7.10e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  2.576   88.0   1.20    326
