# Model: wabs(mekal) for r2500 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.69  4.36  0.00  0.00  9.42  7.97 11.44  0.42  0.20  0.65   2.05e-03   1.93e-03   2.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.143   73.8   1.01     95
3C_220.1                     839   0.00   1.46  1.91  0.00  0.00  6.54  5.10  8.65  0.00  0.00  0.17   9.59e-04   9.02e-04   1.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.089   69.0   0.90     59
3C_28.0                     3233   0.00   2.30  5.71  0.00  0.00  4.57  4.41  4.74  0.34  0.28  0.40   4.88e-03   4.78e-03   4.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.479   84.6   1.06    298
3C_346                      3129   0.00   0.98  5.67  0.00  0.00  4.40  3.96  4.94  0.27  0.11  0.48   8.10e-04   7.54e-04   8.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1620  0.115   61.4   1.11    114
4C_55.16                    4940   0.00   2.02  4.00  0.00  0.00  4.13  4.04  4.23  0.55  0.50  0.61   4.56e-03   4.48e-03   4.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.604   58.5   0.95    335
ABELL_0068                  3250   0.00   3.01  4.60  0.00  0.00  9.18  8.02 10.71  0.41  0.19  0.64   4.77e-03   4.55e-03   4.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.471   74.8   1.05    148
ABELL_0133                  2203   0.00   2.57  1.56  0.00  0.00  3.36  3.30  3.43  0.78  0.74  0.83   1.18e-02   1.16e-02   1.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.484   83.9   1.24    345
ABELL_0267                  3580   0.00   2.67  2.74  0.00  0.00  7.09  6.51  7.78  0.34  0.22  0.46   4.64e-03   4.50e-03   4.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.463   79.2   1.13    200
ABELL_0370                   515   0.00   1.96  3.37  0.00  0.00 10.53  9.63 11.63  0.49  0.37  0.62   2.54e-03   2.48e-03   2.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.337   76.2   1.24    289
ABELL_0383                  2321   0.00   2.39  4.07  0.00  0.00  4.16  4.00  4.33  0.59  0.50  0.68   6.55e-03   6.36e-03   6.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  1.026   71.5   1.12    231
ABELL_0399                  3230   0.00   6.65 11.51  0.00  0.00  6.56  6.39  6.73  0.19  0.15  0.23   2.17e-02   2.15e-02   2.19e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  2.299   75.4   1.34    426
ABELL_0401                   518   0.00   7.43 12.48  0.00  0.00  8.62  8.35  8.90  0.71  0.64  0.79   4.48e-02   4.42e-02   4.54e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0745  5.762   96.7   2.08    421
ABELL_0478                  1669   0.00   3.39 15.48  0.00  0.00 14.28  0.00  0.00  0.35  0.00  0.00   5.90e-02   0.00e+00   0.00e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  8.348   96.7  11.95    428
ABELL_0478                  6102   0.00   5.95 15.48  0.00  0.00 12.51 11.92 13.17  0.52  0.44  0.61   6.12e-02   6.03e-02   6.21e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  6.722   92.1   2.41    410
ABELL_0520                  4215   0.00   3.08  7.84  0.00  0.00  6.91  6.65  7.18  0.30  0.25  0.35   7.63e-03   7.53e-03   7.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.722   81.6   1.30    387
ABELL_0521                   430   0.00   2.48  6.17  0.00  0.00  7.13  6.62  7.71  0.41  0.30  0.53   4.26e-03   4.15e-03   4.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2533  0.578   54.4   1.15    235
ABELL_0576                  3289   0.00   3.85  5.57  0.00  0.00  4.04  3.93  4.14  0.44  0.39  0.49   1.17e-02   1.15e-02   1.19e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0385  1.959   53.5   1.00    347
ABELL_0586                   530   0.00   3.82  5.40  0.00  0.00  6.34  5.90  6.86  0.45  0.32  0.59   8.49e-03   8.19e-03   8.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1710  0.946   82.7   0.91    202
ABELL_0644                  2211   0.00   6.38  6.31  0.00  0.00  7.62  7.44  7.80  0.38  0.34  0.42   3.97e-02   3.94e-02   4.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  4.856   88.0   1.37    423
ABELL_0665                  3586   0.00   3.56  4.24  0.00  0.00  7.33  7.00  7.70  0.26  0.20  0.33   1.07e-02   1.06e-02   1.09e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  1.101   84.0   1.03    345
ABELL_0697                  4217   0.00   2.66  3.34  0.00  0.00  9.42  8.67 10.28  0.35  0.24  0.46   7.68e-03   7.50e-03   7.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.722   85.7   1.05    253
ABELL_0773                  5006   0.00   3.13  1.46  0.00  0.00  7.83  7.26  8.48  0.34  0.24  0.45   6.68e-03   6.51e-03   6.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.681   80.3   1.10    248
ABELL_0781                   534   0.00   2.79  1.90  0.00  0.00  5.19  4.54  6.01  0.26  0.06  0.49   2.70e-03   2.51e-03   2.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.249   69.0   1.35     88
ABELL_0907                  3185   0.00   3.19  5.69  0.00  0.00  5.11  4.97  5.26  0.42  0.37  0.48   9.56e-03   9.39e-03   9.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  1.025   85.9   1.19    375
ABELL_0963                   903   0.00   2.87  1.39  0.00  0.00  6.66  6.39  6.95  0.35  0.28  0.42   7.25e-03   7.13e-03   7.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  1.107   67.3   1.05    333
ABELL_1068                  1652   0.00   3.05  0.71  0.00  0.00  3.82  3.73  3.92  0.44  0.39  0.49   1.09e-02   1.07e-02   1.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  1.804   72.7   1.06    318
ABELL_1204                  2205   0.00   2.52  1.44  0.00  0.00  3.43  3.33  3.55  0.39  0.33  0.46   8.21e-03   7.98e-03   8.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.861   89.7   1.21    244
ABELL_1361                  2200   0.00   2.94  2.18  0.00  0.00  4.37  3.95  4.87  0.55  0.35  0.78   6.76e-03   6.33e-03   7.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  1.224   68.7   1.07    110
