# Model: wabs(mekal) for r500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   3.79 10.23  5.03 15.73  6.96  5.56  9.08  0.29  0.09  0.50   2.41e-03   2.16e-03   2.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.146   32.0   1.33    138
3C_28.0                     3233   0.02   5.13  4.51  3.25  5.79  5.81  5.49  6.18  0.21  0.15  0.27   8.12e-03   7.93e-03   8.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.778   62.1   1.12    391
CL_1221+4918                1662   0.01   3.16 19.90 16.23 27.29  2.77  2.32  3.49  0.69  0.33  1.20   9.72e-04   8.15e-04   1.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.035    1.8   1.22    195
CL_1416+4446                 541   0.01   3.01  0.00  0.00  0.55 79.90 62.65 79.90 10.95  6.09 24.27   8.52e-04   5.15e-04   1.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4000  0.140  100.0   2.96    119
CL_J0542.8-4100              914   0.01   3.17  1.54  0.00  8.61  5.58  4.07  7.79  0.18  0.00  0.48   7.59e-04   6.88e-04   9.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.049   48.1   0.92    160
CL_J1113.1-2615              915   0.01   3.10 11.31  7.63 15.43 79.90 77.85 79.90  1.25  0.31  2.34   1.03e-03   9.21e-04   1.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.071  100.0   7.73    191
CL_J2302.8+0844              918   0.01   3.66  7.60  4.90 10.44 79.90 78.57 79.90  2.92  1.93  4.43   1.32e-03   1.16e-03   1.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.107  100.0   8.61    257
MS_0016.9+1609               520   0.01   4.16  6.97  4.94  9.07  5.93  5.40  6.53  0.24  0.17  0.31   3.92e-03   3.75e-03   4.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.249   52.8   1.22    337
MS_0302.7+1658               525   0.01   2.87 20.60  2.96 39.53  2.39  1.67  3.68  0.49  0.00  1.97   9.23e-04   5.47e-04   1.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.046   37.5   1.38     27
MS_1137.5+6625               536   0.01   2.84 11.01  8.85 13.31 79.90 78.16 79.90  1.33  0.31  2.48   1.51e-03   1.35e-03   1.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7820  0.091  100.0   4.94    237
MS_1455.0+2232              4192   0.02   4.45  0.36  0.00  1.68  4.85  4.62  5.03  0.32  0.27  0.37   5.49e-03   5.38e-03   5.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.477   50.6   1.51    396
MS_1621.5+2640               546   0.01   4.16  0.00  0.00  1.86  7.17  6.04  8.75  0.44  0.20  0.70   1.54e-03   1.47e-03   1.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.141   56.5   1.07    198
MS_2053.7-0449              1667   0.01   4.04  4.87  0.00 23.88  2.76  1.59  4.68  0.04  0.00  0.82   5.24e-04   3.46e-04   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.019   32.6   1.19    150
RBS_0797                    2202   0.02   4.29  5.25  2.04  8.56  6.09  5.29  7.13  0.32  0.19  0.47   6.10e-03   5.71e-03   6.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.526   66.8   1.04    175
RX_J0647.7+7015             3584   0.01   3.84 12.75  7.47 18.27  7.97  6.37 10.60  0.26  0.07  0.45   2.84e-03   2.57e-03   3.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.166   14.9   1.01    139
RX_J1347.5-1145             3592   0.01   4.81  3.39  2.25  4.51 13.26 12.22 14.54  0.30  0.22  0.38   1.03e-02   1.01e-02   1.05e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4510  0.800   66.5   1.14    403
RX_J1423.8+2404             1657   0.01   3.21  4.39  0.00 10.61  5.02  4.03  6.45  0.43  0.20  0.70   1.86e-03   1.63e-03   2.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5450  0.123   52.0   1.36     97
RX_J1532.9+3021             1665   0.02   4.01  0.98  0.00  4.71  5.64  4.86  6.35  0.47  0.31  0.64   5.49e-03   5.17e-03   5.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3450  0.492   69.6   0.83    154
RX_J1716.9+6708              548   0.01   3.50  0.00  0.00  7.71  8.28  5.61 12.76  0.65  0.12  1.20   6.00e-04   5.48e-04   7.20e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8100  0.041   50.6   0.89    175
RX_J1720.2+3536             3280   0.01   3.77  6.54  2.76 10.69  5.55  4.74  6.54  0.44  0.28  0.61   3.20e-03   2.96e-03   3.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3913  0.252   48.3   1.24    172
V_1121.0+2327               1660   0.01   3.21 10.34  0.41 21.29  2.23  1.52  3.12  0.02  0.00  0.42   7.30e-04   5.10e-04   1.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5600  0.023   31.6   1.30    172
