# Model: wabs(mekal) for r500-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = no; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.01   3.79  0.00  0.00 163.57  7.66  5.18 11.49  0.52  0.52  0.52   2.13e-03   1.80e-03   2.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.027   32.0   2.18     45
3C_28.0                     3233   0.02   5.13 235.00 158.42 309.78  3.28  2.82  3.91  0.12  0.12  0.12   1.73e-02   1.34e-02   2.23e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.203   62.1   0.85    276
CL_1221+4918                1662   0.01   3.16 172.44  0.00 1731.09  1.75  0.93  3.38  0.30  0.30  0.30   4.58e-03   0.00e+00   6.70e-01  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.001    1.8   1.50     70
CL_1416+4446                 541   0.01   3.01 893.61 690.47 1127.09 79.90 56.06 79.90  0.30  0.30  0.30   3.64e-03   3.18e-03   4.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4000  0.044  100.0   4.41     42
CL_J0542.8-4100              914   0.01   3.17  0.00  0.00 2615.00  2.89  0.84  8.14  0.30  0.30  0.30   1.68e-03   0.00e+00   1.35e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.006   48.1   0.95     58
CL_J1113.1-2615              915   0.01   3.10 2746.10 2506.09 3002.98 79.90 59.37 79.90  0.30  0.30  0.30   7.61e-03   6.89e-03   8.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.027  100.0   3.08     81
CL_J2302.8+0844              918   0.01   3.66 2748.80 2547.32 2955.77 79.90 60.37 79.90  0.30  0.30  0.30   1.14e-02   1.05e-02   1.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.041  100.0   3.51    113
MS_0016.9+1609               520   0.01   4.16  0.00  0.00 59.14  4.04  3.08  5.41  0.30  0.30  0.30   5.67e-03   4.23e-03   8.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.038   52.8   1.57    174
MS_0302.7+1658               525   0.01   2.87 357.70  0.00 100000000.00  0.44  0.14  1.72  0.30  0.30  0.30   4.97e+00   0.00e+00   1.00e+24  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.003   37.5   0.72      6
MS_1137.5+6625               536   0.01   2.84 2160.30 1919.10 2426.88 79.90 56.27 79.90  0.30  0.30  0.30   6.55e-03   5.91e-03   7.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7820  0.026  100.0   3.71     85
MS_1455.0+2232              4192   0.02   4.45 212.30 109.15 319.40  2.75  2.33  3.33  0.35  0.35  0.35   1.22e-02   8.69e-03   1.73e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.102   50.6   1.40    272
MS_1621.5+2640               546   0.01   4.16  0.72  0.00 274.24  8.07  4.74 19.75  0.30  0.30  0.30   1.56e-03   8.76e-04   2.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.028   56.5   1.11     83
MS_2053.7-0449              1667   0.01   4.04  0.00  0.00 100000000.00  1.06  0.19  4.33  0.31  0.31  0.31   1.08e-02   0.00e+00   2.81e+14  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830 -0.002   32.6   1.18     64
RBS_0797                    2202   0.02   4.29 64.41  0.00 419.18  4.76  2.51  7.15  0.30  0.30  0.30   7.83e-03   5.85e-03   2.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.109   66.8   0.99     65
RX_J0647.7+7015             3584   0.01   3.84  0.00  0.00 201.44  6.18  4.00  9.29  0.30  0.30  0.30   3.33e-03   2.92e-03   5.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.030   14.9   0.93     44
RX_J1347.5-1145             3592   0.01   4.81 19.25  0.00 69.49 11.19  9.80 13.11  0.30  0.30  0.30   1.10e-02   1.04e-02   1.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4510  0.194   66.5   1.13    253
RX_J1423.8+2404             1657   0.01   3.21 560.82  0.00 2111.20  1.76  1.00  4.16  0.30  0.30  0.30   2.05e-02   2.44e-03   6.50e-01  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5450  0.017   52.0   1.44     27
RX_J1532.9+3021             1665   0.02   4.01 230.99 15.94 538.02  4.15  2.57  6.44  0.30  0.30  0.30   9.32e-03   5.67e-03   2.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3450  0.099   69.6   0.91     51
RX_J1716.9+6708              548   0.01   3.50 3425.40  0.00 5443.29  1.54  0.93  7.66  0.30  0.30  0.30   1.85e-01   0.00e+00   8.40e+00  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8100  0.006   50.6   0.94     64
RX_J1720.2+3536             3280   0.01   3.77 243.50  0.00 693.47  3.42  1.93  5.77  0.30  0.30  0.30   6.88e-03   0.00e+00   2.68e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3913  0.051   48.3   1.15     64
V_1121.0+2327               1660   0.01   3.21 11950.00 9617.57 14815.90  0.21  0.17  0.26  0.30  0.30  0.30   2.21e+11   0.00e+00   1.00e+24  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5600 -0.001   31.6   1.57     68
